date,forecast_units
2024-07-01,9.919814265320789e-08
2024-07-02,9.919814265320789e-08
2024-07-03,9.919814265320789e-08
2024-07-04,9.919814265320789e-08
2024-07-05,9.919814265320789e-08
2024-07-06,9.919814265320789e-08
2024-07-07,9.919814265320789e-08
2024-07-08,9.919814265320789e-08
2024-07-09,9.919814265320789e-08
2024-07-10,9.919814265320789e-08
2024-07-11,9.919814265320789e-08
2024-07-12,9.919814265320789e-08
2024-07-13,9.919814265320789e-08
2024-07-14,9.919814265320789e-08
2024-07-15,9.919814265320789e-08
2024-07-16,9.919814265320789e-08
2024-07-17,9.919814265320789e-08
2024-07-18,9.919814265320789e-08
2024-07-19,9.919814265320789e-08
2024-07-20,9.919814265320789e-08
2024-07-21,9.919814265320789e-08
2024-07-22,9.919814265320789e-08
2024-07-23,9.919814265320789e-08
2024-07-24,9.919814265320789e-08
2024-07-25,9.919814265320789e-08
2024-07-26,9.919814265320789e-08
2024-07-27,9.919814265320789e-08
2024-07-28,9.919814265320789e-08
