date,forecast_units
2024-07-01,6.981340155885587e-05
2024-07-02,7.733412070639941e-05
2024-07-03,7.733412070639941e-05
2024-07-04,7.733412070639941e-05
2024-07-05,7.733412070639941e-05
2024-07-06,7.733412070639941e-05
2024-07-07,7.733412070639941e-05
2024-07-08,7.733412070639941e-05
2024-07-09,7.733412070639941e-05
2024-07-10,7.733412070639941e-05
2024-07-11,7.733412070639941e-05
2024-07-12,7.733412070639941e-05
2024-07-13,7.733412070639941e-05
2024-07-14,7.733412070639941e-05
2024-07-15,7.733412070639941e-05
2024-07-16,7.733412070639941e-05
2024-07-17,7.733412070639941e-05
2024-07-18,7.733412070639941e-05
2024-07-19,7.733412070639941e-05
2024-07-20,7.733412070639941e-05
2024-07-21,7.733412070639941e-05
2024-07-22,7.733412070639941e-05
2024-07-23,7.733412070639941e-05
2024-07-24,7.733412070639941e-05
2024-07-25,7.733412070639941e-05
2024-07-26,7.733412070639941e-05
2024-07-27,7.733412070639941e-05
2024-07-28,7.733412070639941e-05
