date,forecast_units
2024-07-01,9.289855243756516e-29
2024-07-02,8.359468881895509e-29
2024-07-03,7.522261451204471e-29
2024-07-04,6.768901007912632e-29
2024-07-05,6.090990209810405e-29
2024-07-06,5.480972715162666e-29
2024-07-07,4.932048955845013e-29
2024-07-08,4.438100345867158e-29
2024-07-09,3.9936210804727356e-29
2024-07-10,3.5936567656132955e-29
2024-07-11,3.2337491937290916e-29
2024-07-12,2.90988665027917e-29
2024-07-13,2.618459197111838e-29
2024-07-14,2.356218434240999e-29
2024-07-15,2.1202412915124683e-29
2024-07-16,1.907897446563589e-29
2024-07-17,1.7168200059000015e-29
2024-07-18,1.5448791222858027e-29
2024-07-19,1.3901582543729782e-29
2024-07-20,1.250932803947755e-29
2024-07-21,1.1256508926736547e-29
2024-07-22,1.0129160640589577e-29
2024-07-23,9.11471717835829e-30
2024-07-24,8.201871032487058e-30
2024-07-25,7.380447151259483e-30
2024-07-26,6.641289522448996e-30
2024-07-27,5.976159115706687e-30
2024-07-28,5.377642046099853e-30
