date,forecast_units
2024-07-01,5.092599431823084e-07
2024-07-02,1.0078222599354008e-05
2024-07-03,8.479861244660877e-06
2024-07-04,-1.5483699349782458e-07
2024-07-05,1.2847991190419536e-06
2024-07-06,8.694239857748477e-06
2024-07-07,7.400379828889768e-06
2024-07-08,1.0427809225048863e-06
2024-07-09,2.2033194394411966e-06
2024-07-10,7.658010504916673e-06
2024-07-11,6.618951213131548e-06
2024-07-12,1.939268276973633e-06
2024-07-13,2.8680035658719107e-06
2024-07-14,6.88250698550327e-06
2024-07-15,6.053669141445909e-06
2024-07-16,2.6100409197212196e-06
2024-07-17,3.348662942310646e-06
2024-07-18,6.302384777626927e-06
2024-07-19,5.645039129217758e-06
2024-07-20,3.1117094061201027e-06
2024-07-21,3.6959927088875356e-06
2024-07-22,5.868606388666424e-06
2024-07-23,5.349870058320339e-06
2024-07-24,3.4867457261153202e-06
2024-07-25,3.9467854243285655e-06
2024-07-26,5.544391003298955e-06
2024-07-27,5.136824608806008e-06
2024-07-28,3.7669981119196094e-06
