date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2022-04-12,2022-04-12_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-13,2022-04-13_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-14,2022-04-14_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-15,2022-04-15_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-16,2022-04-16_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-17,2022-04-17_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-18,2022-04-18_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-19,2022-04-19_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,2,494.65591397849454,0,0
2022-04-20,2022-04-20_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-21,2022-04-21_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,9,494.65591397849454,0,0
2022-04-22,2022-04-22_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-23,2022-04-23_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-24,2022-04-24_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-25,2022-04-25_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-26,2022-04-26_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-27,2022-04-27_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-28,2022-04-28_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-29,2022-04-29_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-04-30,2022-04-30_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-05-01,2022-05-01_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-05-02,2022-05-02_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-05-03,2022-05-03_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-05-04,2022-05-04_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-05-05,2022-05-05_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-05-06,2022-05-06_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,18,494.65591397849454,0,0
2022-05-07,2022-05-07_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,35,494.65591397849454,0,0
2022-05-08,2022-05-08_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,62,494.65591397849454,0,0
2022-05-09,2022-05-09_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,86,494.65591397849454,0,0
2022-05-10,2022-05-10_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,42,494.65591397849454,0,0
2022-05-11,2022-05-11_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,63,494.65591397849454,0,0
2022-05-12,2022-05-12_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,91,494.65591397849454,0,0
2022-05-13,2022-05-13_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,64,494.65591397849454,0,0
2022-05-14,2022-05-14_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,68,494.65591397849454,0,0
2022-05-15,2022-05-15_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,76,494.65591397849454,0,0
2022-05-16,2022-05-16_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,70,494.65591397849454,0,0
2022-05-17,2022-05-17_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,45,494.65591397849454,0,0
2022-05-18,2022-05-18_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,46,494.65591397849454,0,0
2022-05-19,2022-05-19_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,37,494.65591397849454,0,0
2022-05-20,2022-05-20_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,60,494.65591397849454,0,0
2022-05-21,2022-05-21_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,41,494.65591397849454,0,0
2022-05-22,2022-05-22_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,45,494.65591397849454,0,0
2022-05-23,2022-05-23_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,63,494.65591397849454,0,0
2022-05-24,2022-05-24_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,67,494.65591397849454,0,0
2022-05-25,2022-05-25_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,57,494.65591397849454,0,0
2022-05-26,2022-05-26_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,50,494.65591397849454,0,0
2022-05-27,2022-05-27_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,71,494.65591397849454,0,0
2022-05-28,2022-05-28_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,73,494.65591397849454,0,0
2022-05-29,2022-05-29_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,40,494.65591397849454,0,0
2022-05-30,2022-05-30_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,35,494.65591397849454,0,0
2022-05-31,2022-05-31_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,77,494.65591397849454,0,0
2022-06-01,2022-06-01_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,70,494.65591397849454,0,0
2022-06-02,2022-06-02_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,100,494.65591397849454,0,0
2022-06-03,2022-06-03_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,89,494.65591397849454,0,0
2022-06-04,2022-06-04_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,79,494.65591397849454,0,0
2022-06-05,2022-06-05_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,79,494.65591397849454,0,0
2022-06-06,2022-06-06_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,64,494.65591397849454,0,0
2022-06-07,2022-06-07_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,9,494.65591397849454,0,0
2022-06-08,2022-06-08_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,7,494.65591397849454,0,0
2022-06-09,2022-06-09_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,37,494.65591397849454,0,0
2022-06-10,2022-06-10_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,69,494.65591397849454,0,0
2022-06-11,2022-06-11_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,61,494.65591397849454,0,0
2022-06-12,2022-06-12_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,65,494.65591397849454,0,0
2022-06-13,2022-06-13_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,40,494.65591397849454,0,0
2022-06-14,2022-06-14_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,43,494.65591397849454,0,0
2022-06-15,2022-06-15_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,46,494.65591397849454,0,0
2022-06-16,2022-06-16_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,14,494.65591397849454,0,0
2022-06-17,2022-06-17_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,6,494.65591397849454,0,0
2022-06-18,2022-06-18_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,4,494.65591397849454,0,0
2022-06-19,2022-06-19_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,7,494.65591397849454,0,0
2022-06-20,2022-06-20_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,8,494.65591397849454,0,0
2022-06-21,2022-06-21_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,7,494.65591397849454,0,0
2022-06-22,2022-06-22_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,10,494.65591397849454,0,0
2022-06-23,2022-06-23_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,10,494.65591397849454,0,0
2022-06-24,2022-06-24_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,9,494.65591397849454,0,0
2022-06-25,2022-06-25_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,12,494.65591397849454,0,0
2022-06-26,2022-06-26_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,5,494.65591397849454,0,0
2022-06-27,2022-06-27_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,3,494.65591397849454,0,0
2022-06-28,2022-06-28_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,1,0
2022-06-29,2022-06-29_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,4,494.65591397849454,0,0
2022-06-30,2022-06-30_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,1,494.65591397849454,0,0
2022-07-01,2022-07-01_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,2,494.65591397849454,0,0
2022-07-02,2022-07-02_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-03,2022-07-03_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,1,494.65591397849454,0,0
2022-07-04,2022-07-04_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,1,494.65591397849454,0,0
2022-07-05,2022-07-05_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,1,0
2022-07-06,2022-07-06_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,1,0
2022-07-07,2022-07-07_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,15,494.65591397849454,0,0
2022-07-08,2022-07-08_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,3,494.65591397849454,0,0
2022-07-09,2022-07-09_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,3,0
2022-07-10,2022-07-10_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,3,0
2022-07-11,2022-07-11_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,5,0
2022-07-12,2022-07-12_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-13,2022-07-13_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,1,494.65591397849454,0,0
2022-07-14,2022-07-14_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,1,494.65591397849454,0,0
2022-07-15,2022-07-15_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-16,2022-07-16_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-17,2022-07-17_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-18,2022-07-18_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-19,2022-07-19_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-20,2022-07-20_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-21,2022-07-21_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-22,2022-07-22_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,1,494.65591397849454,0,0
2022-07-23,2022-07-23_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-24,2022-07-24_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,1,494.65591397849454,0,0
2022-07-25,2022-07-25_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-26,2022-07-26_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-27,2022-07-27_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,1,494.65591397849454,0,0
2022-07-28,2022-07-28_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,5,494.65591397849454,0,0
2022-07-29,2022-07-29_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,2,494.65591397849454,0,0
2022-07-30,2022-07-30_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,22,494.65591397849454,0,0
2022-07-31,2022-07-31_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,19,494.65591397849454,0,0
2022-08-01,2022-08-01_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,31,494.65591397849454,0,0
2022-08-02,2022-08-02_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,24,494.65591397849454,0,0
2022-08-03,2022-08-03_B09MR3Y296,B09MR3Y296,"NapQueen Margaret 8"" Charcoal Memory Foam Mattress, Full",4.23,23,494.65591397849454,0,0
