date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2022-05-27,2022-05-27_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-05-28,2022-05-28_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-05-29,2022-05-29_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-05-30,2022-05-30_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-05-31,2022-05-31_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-06-01,2022-06-01_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-06-02,2022-06-02_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-06-03,2022-06-03_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,3,558.0,0,0
2022-06-04,2022-06-04_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-06-05,2022-06-05_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-06-06,2022-06-06_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-06-07,2022-06-07_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-06-08,2022-06-08_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-06-09,2022-06-09_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-06-10,2022-06-10_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-26,2022-07-26_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-27,2022-07-27_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-28,2022-07-28_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-29,2022-07-29_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-30,2022-07-30_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-07-31,2022-07-31_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,1,558.0,0,0
2022-08-01,2022-08-01_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-08-02,2022-08-02_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-08-03,2022-08-03_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-08-04,2022-08-04_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-08-05,2022-08-05_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-08-06,2022-08-06_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",11.83,1,558.0,0,0
2022-08-07,2022-08-07_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.52,0,0.0,0,0
2022-08-08,2022-08-08_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-08-09,2022-08-09_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-08-25,2022-08-25_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-08-26,2022-08-26_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-08-27,2022-08-27_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",5.47,0,0.0,0,0
2022-08-28,2022-08-28_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",8.23,0,0.0,0,0
2022-08-29,2022-08-29_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",1.01,2,558.0,0,0
2022-08-30,2022-08-30_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",11.34,0,0.0,0,0
2022-08-31,2022-08-31_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",3.1,0,0.0,0,0
2022-09-01,2022-09-01_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",5.96,0,0.0,0,0
2022-09-02,2022-09-02_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.95,0,0.0,0,0
2022-09-03,2022-09-03_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",35.04,1,558.0,0,0
2022-09-04,2022-09-04_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",9.86,1,558.0,0,0
2022-09-05,2022-09-05_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",0.0,0,0.0,0,0
2022-09-06,2022-09-06_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-07,2022-09-07_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-08,2022-09-08_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-09,2022-09-09_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-10,2022-09-10_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-11,2022-09-11_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-12,2022-09-12_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-13,2022-09-13_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-14,2022-09-14_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,1,558.0,0,0
2022-09-15,2022-09-15_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-16,2022-09-16_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-17,2022-09-17_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,1,558.0,0,0
2022-09-18,2022-09-18_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,1,558.0,0,0
2022-09-19,2022-09-19_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-20,2022-09-20_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,1,558.0,0,0
2022-09-21,2022-09-21_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-22,2022-09-22_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-23,2022-09-23_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-24,2022-09-24_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,1,0
2022-09-25,2022-09-25_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
2022-09-26,2022-09-26_B09X1FWK8Z,B09X1FWK8Z,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Full",4.23,0,0.0,0,0
