date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2022-05-27,2022-05-27_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-05-28,2022-05-28_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-05-29,2022-05-29_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-05-30,2022-05-30_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-05-31,2022-05-31_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,1,146.0,0,0.0
2022-06-01,2022-06-01_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-06-02,2022-06-02_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-06-03,2022-06-03_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-06-04,2022-06-04_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,4,146.0,0,0.0
2022-06-05,2022-06-05_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-06-06,2022-06-06_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-06-07,2022-06-07_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-06-08,2022-06-08_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-06-09,2022-06-09_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-06-10,2022-06-10_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-08-06,2022-08-06_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",16.73,2,146.0,0,0.0
2022-08-07,2022-08-07_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",3.15,1,146.0,0,0.0
2022-08-25,2022-08-25_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-08-26,2022-08-26_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",4.23,0,0.0,0,0.0
2022-08-27,2022-08-27_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",0.0,0,0.0,0,0.0
2022-08-28,2022-08-28_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",0.0,0,0.0,0,0.0
2022-08-29,2022-08-29_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",5.66,0,0.0,0,0.0
2022-08-30,2022-08-30_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",6.65,0,0.0,0,0.0
2022-08-31,2022-08-31_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",6.79,0,0.0,0,0.0
2022-09-01,2022-09-01_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",11.15,0,0.0,0,0.0
2022-09-02,2022-09-02_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",10.03,0,0.0,0,0.0
2022-09-03,2022-09-03_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",57.1,1,254.96,0,0.0
2022-09-04,2022-09-04_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",119.58,0,0.0,0,0.0
2022-09-05,2022-09-05_B09X1H629F,B09X1H629F,"NapQueen Elizabeth 14"" Gel Memory Foam Mattress, Twin",126.31,0,0.0,0,0.0
