date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2022-05-27,2022-05-27_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-05-28,2022-05-28_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-05-29,2022-05-29_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-05-30,2022-05-30_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-05-31,2022-05-31_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-06-01,2022-06-01_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-06-02,2022-06-02_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-06-03,2022-06-03_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-06-04,2022-06-04_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,1,289.945,0,0.0
2022-06-05,2022-06-05_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,2,289.945,0,0.0
2022-06-06,2022-06-06_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,3,289.945,0,0.0
2022-06-07,2022-06-07_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,5,289.945,0,0.0
2022-06-08,2022-06-08_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,13,289.945,0,0.0
2022-06-09,2022-06-09_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,9,289.945,0,0.0
2022-06-10,2022-06-10_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,14,289.945,0,0.0
2022-06-11,2022-06-11_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,8,289.945,0,0.0
2022-06-12,2022-06-12_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,1,289.945,0,0.0
2022-06-13,2022-06-13_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,10,289.945,0,0.0
2022-06-14,2022-06-14_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,21,289.945,0,0.0
2022-06-15,2022-06-15_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,34,289.945,0,0.0
2022-06-16,2022-06-16_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,55,289.945,0,0.0
2022-06-17,2022-06-17_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,41,289.945,0,0.0
2022-06-18,2022-06-18_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,43,289.945,0,0.0
2022-06-19,2022-06-19_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,60,289.945,0,0.0
2022-06-20,2022-06-20_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,64,289.945,0,0.0
2022-06-21,2022-06-21_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,20,289.945,0,0.0
2022-06-22,2022-06-22_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,47,289.945,0,0.0
2022-06-23,2022-06-23_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,59,289.945,0,0.0
2022-06-24,2022-06-24_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,60,289.945,0,0.0
2022-06-25,2022-06-25_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,77,289.945,0,0.0
2022-06-26,2022-06-26_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,40,289.945,0,0.0
2022-06-27,2022-06-27_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,5,289.945,0,0.0
2022-06-28,2022-06-28_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,2,289.945,0,0.0
2022-06-29,2022-06-29_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,3,289.945,0,0.0
2022-06-30,2022-06-30_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-07-01,2022-07-01_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,3,289.945,0,0.0
2022-07-02,2022-07-02_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-07-03,2022-07-03_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-07-04,2022-07-04_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-07-05,2022-07-05_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,3,0.0
2022-07-06,2022-07-06_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,2,289.945,0,0.0
2022-07-07,2022-07-07_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,1,0.0
2022-07-08,2022-07-08_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,1,289.945,0,0.0
2022-07-09,2022-07-09_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,2,0.0
2022-07-10,2022-07-10_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,3,289.945,0,0.0
2022-07-11,2022-07-11_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,1,0.0
2022-07-12,2022-07-12_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,10,289.945,0,0.0
2022-07-13,2022-07-13_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,16,289.945,0,0.0
2022-07-14,2022-07-14_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,7,289.945,0,0.0
2022-07-15,2022-07-15_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,3,289.945,0,0.0
2022-07-16,2022-07-16_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,1,0.0
2022-07-17,2022-07-17_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,1,289.945,0,0.0
2022-07-18,2022-07-18_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,1,289.945,0,0.0
2022-07-19,2022-07-19_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,1,289.945,0,0.0
2022-07-20,2022-07-20_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,1,0.0
2022-07-21,2022-07-21_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-07-22,2022-07-22_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,2,289.945,0,0.0
2022-07-23,2022-07-23_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,8,289.945,0,0.0
2022-07-24,2022-07-24_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,11,289.945,0,0.0
2022-07-25,2022-07-25_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,3,289.945,0,0.0
2022-07-26,2022-07-26_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,4,289.945,0,0.0
2022-07-27,2022-07-27_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,4,289.945,0,0.0
2022-07-28,2022-07-28_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,11,289.945,0,0.0
2022-07-29,2022-07-29_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,7,289.945,0,0.0
2022-07-30,2022-07-30_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,6,289.945,0,0.0
2022-07-31,2022-07-31_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,9,289.945,0,0.0
2022-08-01,2022-08-01_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,9,289.945,0,0.0
2022-08-02,2022-08-02_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,7,289.945,0,0.0
2022-08-03,2022-08-03_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,1,289.945,0,0.0
2022-08-04,2022-08-04_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,5,289.945,0,0.0
2022-08-05,2022-08-05_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,2,289.945,0,0.0
2022-08-06,2022-08-06_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,1,289.945,0,0.0
2022-08-07,2022-08-07_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,0,0.0,0,0.0
2022-08-08,2022-08-08_B0B31R1ZBV,B0B31R1ZBV,"NapQueen Margaret 6"" Charcoal Memory Foam Mattress, Full",4.23,8,289.945,0,0.0
