date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2022-08-06,2022-08-06_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",0.0,0,0.0,0,0.0
2022-08-07,2022-08-07_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",0.0,0,0.0,0,0.0
2022-08-25,2022-08-25_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",4.23,1,616.0,0,0.0
2022-08-26,2022-08-26_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-08-27,2022-08-27_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",2.28,0,0.0,0,0.0
2022-08-28,2022-08-28_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",3.58,0,0.0,0,0.0
2022-08-29,2022-08-29_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",2.25,0,0.0,0,0.0
2022-08-30,2022-08-30_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",0.27,0,0.0,0,0.0
2022-08-31,2022-08-31_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",2.19,0,0.0,0,0.0
2022-09-01,2022-09-01_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",7.79,0,0.0,0,0.0
2022-09-02,2022-09-02_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",0.0,1,616.0,0,0.0
2022-09-03,2022-09-03_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",3.35,1,616.0,0,0.0
2022-09-04,2022-09-04_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",3.57,0,0.0,0,0.0
2022-09-05,2022-09-05_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",3.25,0,0.0,0,0.0
2022-09-06,2022-09-06_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",2.21,0,0.0,0,0.0
2022-09-07,2022-09-07_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",17.68,1,616.0,0,0.0
2022-09-08,2022-09-08_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",16.42,0,0.0,0,0.0
2022-09-09,2022-09-09_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",3.0,0,0.0,0,0.0
2022-09-10,2022-09-10_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",0.0,1,616.0,0,0.0
2022-09-11,2022-09-11_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",2.96,0,0.0,0,0.0
2022-09-12,2022-09-12_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",3.5,0,0.0,0,0.0
2022-09-13,2022-09-13_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",14.59,0,0.0,0,0.0
2022-09-14,2022-09-14_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",35.17,0,0.0,0,0.0
2022-09-15,2022-09-15_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",31.23,4,616.0,0,0.0
2022-09-16,2022-09-16_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",42.16,4,1593.24,0,0.0
2022-09-17,2022-09-17_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",24.11,1,616.0,0,0.0
2022-09-18,2022-09-18_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",19.89,0,0.0,0,0.0
2022-09-19,2022-09-19_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",24.42,1,398.31,0,0.0
2022-09-20,2022-09-20_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",32.4,2,796.62,0,0.0
2022-09-21,2022-09-21_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",4.05,1,616.0,0,0.0
2022-09-22,2022-09-22_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",6.85,0,0.0,0,0.0
2022-09-23,2022-09-23_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",5.63,1,616.0,0,0.0
2022-09-24,2022-09-24_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",15.43,1,616.0,0,0.0
2022-09-25,2022-09-25_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",2.9,1,616.0,0,0.0
2022-09-26,2022-09-26_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",17.09,1,616.0,0,0.0
2022-09-27,2022-09-27_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",3.51,1,616.0,0,0.0
2022-09-28,2022-09-28_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",2.98,1,616.0,0,0.0
2022-09-29,2022-09-29_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",0.0,0,0.0,0,0.0
2022-09-30,2022-09-30_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",5.27,1,398.31,0,0.0
2022-10-01,2022-10-01_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",1.5,2,616.0,0,0.0
2022-10-02,2022-10-02_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",20.81,1,398.31,0,0.0
2022-10-03,2022-10-03_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",20.47,1,616.0,0,0.0
2022-10-04,2022-10-04_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",21.51,2,616.0,0,0.0
2022-10-05,2022-10-05_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",16.02,2,796.62,0,0.0
2022-10-06,2022-10-06_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",33.21,2,616.0,0,0.0
2022-10-07,2022-10-07_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",53.1,2,616.0,0,0.0
2022-10-08,2022-10-08_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",36.74,0,0.0,0,0.0
2022-10-09,2022-10-09_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",58.24,1,616.0,0,0.0
2022-10-10,2022-10-10_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",32.23,1,616.0,0,0.0
2022-10-11,2022-10-11_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",66.33,0,0.0,0,0.0
2022-10-12,2022-10-12_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",62.48,5,1991.55,0,0.0
2022-10-13,2022-10-13_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",49.75,3,585.765,0,0.0
2022-10-14,2022-10-14_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",37.55,0,0.0,0,0.0
2022-10-15,2022-10-15_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",16.14,1,616.0,0,0.0
2022-10-16,2022-10-16_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",10.8,0,0.0,0,0.0
2022-10-17,2022-10-17_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",13.87,1,616.0,0,0.0
2022-10-18,2022-10-18_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",11.36,2,616.0,0,0.0
2022-10-19,2022-10-19_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",18.16,1,616.0,0,0.0
2022-10-20,2022-10-20_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",5.99,1,349.99,0,0.0
2022-10-21,2022-10-21_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",28.76,2,616.0,0,0.0
2022-10-22,2022-10-22_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",10.42,2,616.0,0,0.0
2022-10-23,2022-10-23_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",30.09,0,0.0,0,0.0
2022-10-24,2022-10-24_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",38.43,2,699.98,0,0.0
2022-10-25,2022-10-25_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",12.63,2,616.0,0,0.0
2022-10-26,2022-10-26_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",34.59,0,0.0,0,0.0
2022-10-27,2022-10-27_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",15.71,1,616.0,0,0.0
2022-10-28,2022-10-28_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",32.18,2,616.0,0,0.0
2022-10-29,2022-10-29_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",30.48,2,616.0,0,0.0
2022-10-30,2022-10-30_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",28.05,1,616.0,0,0.0
2022-10-31,2022-10-31_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",19.14,1,616.0,0,0.0
2022-11-01,2022-11-01_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",15.91,1,616.0,0,0.0
2022-11-02,2022-11-02_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",39.01,2,616.0,0,0.0
2022-11-03,2022-11-03_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",8.97,5,616.0,0,0.0
2022-11-04,2022-11-04_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",16.37,3,616.0,0,0.0
2022-11-05,2022-11-05_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",14.22,4,616.0,0,0.0
2022-11-06,2022-11-06_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",16.09,1,616.0,0,0.0
2022-11-07,2022-11-07_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",0.0,1,616.0,0,0.0
2022-11-08,2022-11-08_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-11-09,2022-11-09_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-11-10,2022-11-10_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",4.23,1,616.0,0,0.0
2022-11-11,2022-11-11_B0B69C4GST,B0B69C4GST,"NapQueen Victoria 12'' Hybrid Mattress, King",0.0,3,616.0,0,0.0
