date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2022-07-26,2022-07-26_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-07-27,2022-07-27_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-07-28,2022-07-28_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-07-29,2022-07-29_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-07-30,2022-07-30_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-07-31,2022-07-31_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-08-01,2022-08-01_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-08-02,2022-08-02_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-08-03,2022-08-03_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,1,538.5016666666667,0,0.0
2022-08-04,2022-08-04_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-08-05,2022-08-05_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-08-06,2022-08-06_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",2.4,0,0.0,0,0.0
2022-08-07,2022-08-07_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",0.0,0,0.0,0,0.0
2022-08-08,2022-08-08_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-08-09,2022-08-09_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-08-25,2022-08-25_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-08-26,2022-08-26_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.23,0,0.0,0,0.0
2022-08-27,2022-08-27_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",1.17,1,339.0,0,0.0
2022-08-28,2022-08-28_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",5.08,0,0.0,0,0.0
2022-08-29,2022-08-29_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.21,1,538.5016666666667,0,0.0
2022-08-30,2022-08-30_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",4.76,0,0.0,0,0.0
2022-08-31,2022-08-31_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",18.79,1,538.5016666666667,0,0.0
2022-09-01,2022-09-01_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",21.38,0,0.0,1,0.0
2022-09-02,2022-09-02_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",33.41,0,0.0,0,0.0
2022-09-03,2022-09-03_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",38.82,0,0.0,0,0.0
2022-09-04,2022-09-04_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",38.73,2,538.5016666666667,0,0.0
2022-09-05,2022-09-05_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",16.72,0,0.0,0,0.0
2022-09-06,2022-09-06_B0B69G3YRM,B0B69G3YRM,"NapQueen Victoria 10'' Hybrid Mattress, King",20.7,0,0.0,0,0.0
