date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2022-07-26,2022-07-26_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-07-27,2022-07-27_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-07-28,2022-07-28_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,1,170.3,0,0.0
2022-07-29,2022-07-29_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-07-30,2022-07-30_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-07-31,2022-07-31_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-08-01,2022-08-01_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-08-02,2022-08-02_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-08-03,2022-08-03_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-08-04,2022-08-04_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-08-05,2022-08-05_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-08-06,2022-08-06_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",3.86,0,0.0,0,0.0
2022-08-07,2022-08-07_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",0.0,0,0.0,0,0.0
2022-08-08,2022-08-08_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-08-09,2022-08-09_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-08-10,2022-08-10_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",0.0,2,170.3,0,0.0
2022-08-11,2022-08-11_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",0.0,2,170.3,0,0.0
2022-08-17,2022-08-17_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",0.0,0,0.0,0,0.0
2022-08-25,2022-08-25_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-08-26,2022-08-26_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",4.23,0,0.0,0,0.0
2022-08-27,2022-08-27_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",10.35,0,0.0,0,0.0
2022-08-28,2022-08-28_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",37.85,0,0.0,0,0.0
2022-08-29,2022-08-29_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",19.22,0,0.0,0,0.0
2022-08-30,2022-08-30_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",84.68,1,106.385,0,0.0
2022-08-31,2022-08-31_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",198.21,1,106.505,0,0.0
2022-09-01,2022-09-01_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",152.06,0,0.0,0,0.0
2022-09-02,2022-09-02_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",114.39,0,0.0,0,0.0
2022-09-03,2022-09-03_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",117.24,1,170.3,0,0.0
2022-09-04,2022-09-04_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",83.7,1,106.505,0,0.0
2022-09-05,2022-09-05_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",42.59,1,213.25,0,0.0
2022-09-06,2022-09-06_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",17.08,4,425.92,0,0.0
2022-09-07,2022-09-07_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",20.22,1,170.3,0,0.0
2022-09-08,2022-09-08_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",36.23,1,170.3,0,0.0
2022-09-09,2022-09-09_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",34.69,1,170.3,0,0.0
2022-09-10,2022-09-10_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",25.11,0,0.0,0,0.0
2022-09-11,2022-09-11_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",39.76,0,0.0,0,0.0
2022-09-12,2022-09-12_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",102.14,0,70.68,1,70.68
2022-09-13,2022-09-13_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",138.22,2,424.08,0,0.0
2022-09-14,2022-09-14_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",139.62,0,0.0,0,0.0
2022-09-15,2022-09-15_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",146.84,1,106.02,0,0.0
2022-09-16,2022-09-16_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",171.95,0,0.0,0,0.0
2022-09-17,2022-09-17_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",126.06,1,70.68,0,0.0
2022-09-18,2022-09-18_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",78.39,0,0.0,0,0.0
2022-09-19,2022-09-19_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",43.44,3,170.3,0,0.0
2022-09-20,2022-09-20_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",73.94,0,0.0,0,0.0
2022-09-21,2022-09-21_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",92.61,1,170.3,0,0.0
2022-09-22,2022-09-22_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",55.42,1,106.02,0,0.0
2022-09-23,2022-09-23_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",106.12,2,212.04,0,0.0
2022-09-24,2022-09-24_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",93.75,2,424.08,0,0.0
2022-09-25,2022-09-25_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",93.62,3,212.04,0,0.0
2022-09-26,2022-09-26_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",110.22,2,212.04,0,0.0
2022-09-27,2022-09-27_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",17.38,2,170.3,0,0.0
2022-09-28,2022-09-28_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",12.58,0,0.0,0,0.0
2022-09-29,2022-09-29_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",15.14,3,170.3,0,0.0
2022-09-30,2022-09-30_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",12.34,1,170.3,0,0.0
2022-10-01,2022-10-01_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",23.4,0,0.0,0,0.0
2022-10-02,2022-10-02_B0B69N4B1S,B0B69N4B1S,"NapQueen Victoria 10'' Hybrid Mattress, Twin XL",210.98,2,141.36,0,0.0
