date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-01-07,2023-01-07_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",4.23,1,16.495,0,0
2023-01-08,2023-01-08_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",4.23,2,16.495,0,0
2023-01-09,2023-01-09_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",4.23,0,0.0,0,0
2023-01-10,2023-01-10_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",4.23,4,16.495,0,0
2023-01-11,2023-01-11_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",4.23,0,0.0,0,0
2023-01-12,2023-01-12_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",4.23,0,0.0,0,0
2023-01-13,2023-01-13_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",4.23,1,16.495,0,0
2023-01-14,2023-01-14_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",4.23,0,0.0,0,0
2023-01-15,2023-01-15_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",0.0,2,16.495,0,0
2023-01-16,2023-01-16_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",22.63,0,0.0,0,0
2023-01-17,2023-01-17_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",14.73,0,0.0,0,0
2023-01-18,2023-01-18_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",10.86,1,32.99,0,0
2023-01-19,2023-01-19_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",20.6,0,0.0,0,0
2023-01-20,2023-01-20_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",33.15,0,0.0,0,0
2023-01-21,2023-01-21_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",29.63,0,0.0,0,0
2023-01-22,2023-01-22_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",16.24,0,0.0,0,0
2023-01-23,2023-01-23_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",39.97,0,0.0,0,0
2023-01-24,2023-01-24_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",21.95,1,6.598,0,0
2023-01-25,2023-01-25_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",37.51,0,0.0,0,0
2023-01-26,2023-01-26_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",30.59,0,0.0,0,0
2023-01-27,2023-01-27_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",51.99,0,0.0,0,0
2023-01-28,2023-01-28_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",49.63,2,16.495,0,0
2023-01-29,2023-01-29_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",61.8,1,10.996666666666666,0,0
2023-01-30,2023-01-30_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",59.6,1,16.495,0,0
2023-01-31,2023-01-31_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",52.55,0,0.0,0,0
2023-02-01,2023-02-01_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",60.25,3,14.138571428571428,0,0
2023-02-02,2023-02-02_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",37.93,1,10.996666666666666,0,0
2023-02-03,2023-02-03_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",38.4,0,0.0,0,0
2023-02-04,2023-02-04_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",50.09,0,0.0,0,0
2023-02-05,2023-02-05_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",45.9,0,0.0,0,0
2023-02-06,2023-02-06_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",0.0,2,16.495,0,0
2023-02-07,2023-02-07_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",0.0,0,0.0,0,0
2023-02-08,2023-02-08_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",0.0,1,16.495,0,0
2023-02-09,2023-02-09_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",0.0,0,0.0,0,0
2023-02-10,2023-02-10_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",0.0,0,0.0,0,0
2023-02-11,2023-02-11_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",0.0,0,0.0,0,0
2023-02-12,2023-02-12_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",14.2,0,0.0,0,0
2023-02-13,2023-02-13_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",36.92,0,0.0,0,0
2023-02-14,2023-02-14_B0BNKXC5H1,B0BNKXC5H1,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin",39.18,0,0.0,0,0
