date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-01-07,2023-01-07_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",4.23,0,0.0,0,0.0
2023-01-08,2023-01-08_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",4.23,1,113.91,0,0.0
2023-01-09,2023-01-09_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",4.23,0,0.0,0,0.0
2023-01-10,2023-01-10_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",4.23,1,113.91,0,0.0
2023-01-11,2023-01-11_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",4.23,0,0.0,0,0.0
2023-01-12,2023-01-12_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",4.23,0,0.0,0,0.0
2023-01-13,2023-01-13_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",4.23,0,0.0,0,0.0
2023-01-14,2023-01-14_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",4.23,0,0.0,0,0.0
2023-01-15,2023-01-15_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",0.0,0,0.0,0,0.0
2023-01-16,2023-01-16_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",0.0,0,0.0,0,0.0
2023-01-17,2023-01-17_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",0.75,0,0.0,0,0.0
2023-01-18,2023-01-18_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",0.0,0,0.0,0,0.0
2023-01-19,2023-01-19_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",1.32,0,0.0,0,0.0
2023-01-20,2023-01-20_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",1.92,0,0.0,0,0.0
2023-01-21,2023-01-21_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",2.57,0,0.0,0,0.0
2023-01-22,2023-01-22_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",8.44,0,0.0,0,0.0
2023-01-23,2023-01-23_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",9.56,0,0.0,0,0.0
2023-01-24,2023-01-24_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",6.65,0,0.0,0,0.0
2023-01-25,2023-01-25_B0BNKYPGZQ,B0BNKYPGZQ,"NapQueen 2 Inch 5-Zone Gel Memory Foam Mattress Topper, CertiPUR-US Certified, Twin-XL",9.56,0,0.0,0,0.0
