date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-01-15,2023-01-15_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-01-16,2023-01-16_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-01-17,2023-01-17_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-01-18,2023-01-18_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.75,0,0.0,0,0
2023-01-19,2023-01-19_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.44,0,0.0,0,0
2023-01-20,2023-01-20_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-01-24,2023-01-24_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-01-25,2023-01-25_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-01-26,2023-01-26_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-02-06,2023-02-06_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",4.23,0,0.0,0,0
2023-02-07,2023-02-07_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",4.23,0,0.0,0,0
2023-02-08,2023-02-08_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",4.23,0,0.0,0,0
2023-02-09,2023-02-09_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",4.23,0,0.0,0,0
2023-02-10,2023-02-10_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-02-11,2023-02-11_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-02-12,2023-02-12_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-02-13,2023-02-13_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.39,0,0.0,0,0
2023-02-14,2023-02-14_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-02-15,2023-02-15_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.75,0,0.0,0,0
2023-02-16,2023-02-16_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.66,0,0.0,0,0
2023-02-17,2023-02-17_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.74,0,0.0,0,0
2023-02-18,2023-02-18_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",1.5,0,0.0,0,0
2023-02-19,2023-02-19_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",1.48,0,0.0,0,0
2023-02-20,2023-02-20_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.75,1,100.815,0,0
2023-02-21,2023-02-21_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.94,1,100.815,0,0
2023-02-22,2023-02-22_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",1.48,0,0.0,0,0
2023-02-23,2023-02-23_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",2.25,0,0.0,0,0
2023-02-24,2023-02-24_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",2.0,0,0.0,0,0
2023-02-25,2023-02-25_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",24.08,2,100.815,0,0
2023-02-26,2023-02-26_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",4.31,1,100.815,0,0
2023-02-27,2023-02-27_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-02-28,2023-02-28_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-03-01,2023-03-01_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,0,0.0,0,0
2023-03-02,2023-03-02_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",0.0,1,100.815,0,0
2023-03-03,2023-03-03_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",1.87,1,100.815,0,0
2023-03-04,2023-03-04_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",2.19,0,0.0,0,0
2023-03-05,2023-03-05_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",2.75,0,0.0,0,0
2023-03-06,2023-03-06_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",3.35,0,0.0,0,0
2023-03-07,2023-03-07_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",3.55,1,84.28,0,0
2023-03-08,2023-03-08_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",4.27,1,100.815,0,0
2023-03-09,2023-03-09_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",1.92,0,0.0,0,0
2023-03-10,2023-03-10_B0BNKZFCFT,B0BNKZFCFT,"NapQueen 3'' 5-Zone Mattress Topper, King",2.99,0,0.0,0,0
