date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-01-07,2023-01-07_B0BNKZFZVL,B0BNKZFZVL,"NapQueen 1.5'' 5-Zone Mattress Topper, Queen",4.23,0,0.0,0,0
2023-01-08,2023-01-08_B0BNKZFZVL,B0BNKZFZVL,"NapQueen 1.5'' 5-Zone Mattress Topper, Queen",4.23,0,0.0,0,0
2023-01-09,2023-01-09_B0BNKZFZVL,B0BNKZFZVL,"NapQueen 1.5'' 5-Zone Mattress Topper, Queen",4.23,0,0.0,0,0
2023-01-10,2023-01-10_B0BNKZFZVL,B0BNKZFZVL,"NapQueen 1.5'' 5-Zone Mattress Topper, Queen",4.23,0,0.0,0,0
2023-01-11,2023-01-11_B0BNKZFZVL,B0BNKZFZVL,"NapQueen 1.5'' 5-Zone Mattress Topper, Queen",4.23,0,0.0,0,0
2023-01-12,2023-01-12_B0BNKZFZVL,B0BNKZFZVL,"NapQueen 1.5'' 5-Zone Mattress Topper, Queen",4.23,0,0.0,0,0
2023-01-13,2023-01-13_B0BNKZFZVL,B0BNKZFZVL,"NapQueen 1.5'' 5-Zone Mattress Topper, Queen",4.23,0,0.0,0,0
2023-01-14,2023-01-14_B0BNKZFZVL,B0BNKZFZVL,"NapQueen 1.5'' 5-Zone Mattress Topper, Queen",4.23,0,0.0,0,0
2023-01-15,2023-01-15_B0BNKZFZVL,B0BNKZFZVL,"NapQueen 1.5'' 5-Zone Mattress Topper, Queen",0.64,0,0.0,0,0
2023-01-16,2023-01-16_B0BNKZFZVL,B0BNKZFZVL,"NapQueen 1.5'' 5-Zone Mattress Topper, Queen",1.45,1,115.98,0,0
2023-01-17,2023-01-17_B0BNKZFZVL,B0BNKZFZVL,"NapQueen 1.5'' 5-Zone Mattress Topper, Queen",0.0,0,0.0,0,0
2023-01-18,2023-01-18_B0BNKZFZVL,B0BNKZFZVL,"NapQueen 1.5'' 5-Zone Mattress Topper, Queen",2.25,0,0.0,0,0
