date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-01-15,2023-01-15_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.0,0,0.0,0,0
2023-01-16,2023-01-16_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.0,0,0.0,0,0
2023-01-17,2023-01-17_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.75,0,0.0,0,0
2023-01-18,2023-01-18_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.0,0,0.0,0,0
2023-01-19,2023-01-19_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.0,0,0.0,0,0
2023-01-20,2023-01-20_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.0,0,0.0,0,0
2023-01-21,2023-01-21_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.49,0,0.0,0,0
2023-01-22,2023-01-22_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.0,0,0.0,0,0
2023-01-23,2023-01-23_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",1.25,0,0.0,0,0
2023-01-24,2023-01-24_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",1.45,0,0.0,0,0
2023-01-25,2023-01-25_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",1.5,0,0.0,0,0
2023-01-26,2023-01-26_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.0,0,0.0,0,0
2023-02-11,2023-02-11_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.0,0,0.0,0,0
2023-02-12,2023-02-12_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.75,0,0.0,0,0
2023-02-13,2023-02-13_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",2.99,0,0.0,0,0
2023-02-14,2023-02-14_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",3.44,2,42.60666666666666,0,0
2023-02-15,2023-02-15_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",5.86,0,0.0,0,0
2023-02-16,2023-02-16_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",14.09,0,0.0,0,0
2023-02-17,2023-02-17_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",20.8,0,0.0,0,0
2023-02-18,2023-02-18_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",26.14,0,0.0,0,0
2023-02-19,2023-02-19_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",45.91,0,0.0,0,0
2023-02-20,2023-02-20_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",31.43,0,0.0,0,0
2023-02-21,2023-02-21_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",18.34,0,0.0,0,0
2023-02-22,2023-02-22_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",21.08,0,0.0,0,0
2023-02-23,2023-02-23_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",15.84,0,0.0,0,0
2023-02-24,2023-02-24_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",7.49,0,0.0,0,0
2023-02-25,2023-02-25_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",13.06,0,0.0,0,0
2023-02-26,2023-02-26_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",24.26,0,0.0,0,0
2023-02-27,2023-02-27_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",11.9,2,42.60666666666666,0,0
2023-02-28,2023-02-28_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",21.73,1,42.60666666666666,0,0
2023-03-01,2023-03-01_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",25.63,0,0.0,0,0
2023-03-02,2023-03-02_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",25.32,4,42.60666666666666,0,0
2023-03-03,2023-03-03_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",10.06,0,0.0,0,0
2023-03-04,2023-03-04_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",26.69,0,0.0,0,0
2023-03-05,2023-03-05_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",41.6,0,0.0,0,0
2023-03-06,2023-03-06_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",13.51,0,0.0,0,0
2023-03-07,2023-03-07_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.0,0,0.0,0,0
2023-03-08,2023-03-08_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.0,0,0.0,0,0
2023-03-09,2023-03-09_B0BNL2DXZ8,B0BNL2DXZ8,"NapQueen 4'' 5-Zone Mattress Topper, Twin XL",0.0,1,42.60666666666666,0,0
