date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-01-07,2023-01-07_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,0,0.0,0,0
2023-01-08,2023-01-08_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,0,0.0,0,0
2023-01-09,2023-01-09_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,0,0.0,0,0
2023-01-10,2023-01-10_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,0,0.0,0,0
2023-01-11,2023-01-11_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,0,0.0,0,0
2023-01-12,2023-01-12_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,0,0.0,0,0
2023-01-13,2023-01-13_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,0,0.0,0,0
2023-01-14,2023-01-14_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,0,0.0,0,0
2023-01-15,2023-01-15_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",1.98,0,0.0,0,0
2023-01-16,2023-01-16_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",2.2,0,0.0,0,0
2023-01-17,2023-01-17_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",1.93,0,0.0,0,0
2023-01-18,2023-01-18_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",0.75,0,0.0,0,0
2023-01-19,2023-01-19_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",0.75,0,0.0,0,0
2023-01-20,2023-01-20_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.04,0,0.0,0,0
2023-01-21,2023-01-21_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",2.68,0,0.0,0,0
2023-01-22,2023-01-22_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",2.61,1,52.99,0,0
2023-01-23,2023-01-23_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",0.0,0,0.0,0,0
2023-01-24,2023-01-24_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",1.94,0,0.0,0,0
2023-01-25,2023-01-25_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",1.14,0,0.0,0,0
2023-01-26,2023-01-26_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",1.28,0,0.0,0,0
2023-01-27,2023-01-27_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",0.0,1,52.99,0,0
2023-01-28,2023-01-28_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",3.31,1,49.44,0,0
2023-01-29,2023-01-29_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,0,0.0,0,0
2023-01-30,2023-01-30_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",6.0,0,0.0,0,0
2023-01-31,2023-01-31_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",1.46,0,0.0,0,0
2023-02-01,2023-02-01_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",0.0,0,0.0,0,0
2023-02-02,2023-02-02_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",1.36,0,0.0,0,0
2023-02-03,2023-02-03_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",0.75,1,52.99,0,0
2023-02-04,2023-02-04_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",1.5,0,0.0,0,0
2023-02-05,2023-02-05_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",0.0,0,0.0,0,0
2023-02-06,2023-02-06_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",0.0,0,0.0,0,0
2023-02-07,2023-02-07_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,1,52.99,0,0
2023-02-08,2023-02-08_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,0,0.0,0,0
2023-02-09,2023-02-09_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,0,0.0,0,0
2023-02-10,2023-02-10_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,0,0.0,0,0
2023-02-11,2023-02-11_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",4.23,0,0.0,0,0
2023-02-12,2023-02-12_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",2.25,0,0.0,0,0
2023-02-13,2023-02-13_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",1.5,1,52.99,0,0
2023-02-14,2023-02-14_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",0.0,0,0.0,0,0
2023-02-15,2023-02-15_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",0.75,2,52.99,0,0
2023-02-16,2023-02-16_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",3.0,1,52.99,0,0
2023-02-17,2023-02-17_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",0.75,1,52.99,0,0
2023-02-18,2023-02-18_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",1.5,0,0.0,0,0
2023-02-19,2023-02-19_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",5.06,5,52.99,0,0
2023-02-20,2023-02-20_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",1.5,1,52.99,0,0
2023-02-21,2023-02-21_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",2.04,0,0.0,0,0
2023-02-22,2023-02-22_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",2.16,0,0.0,1,0
2023-02-23,2023-02-23_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",3.98,0,0.0,0,0
2023-02-24,2023-02-24_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",0.75,1,52.99,0,0
2023-02-25,2023-02-25_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",3.65,0,0.0,0,0
2023-02-26,2023-02-26_B0BNL46Y7W,B0BNL46Y7W,"NapQueen 1.5 Inch Ventilated Bamboo Charcoal Memory Foam Mattress Topper, CertiPUR-US Certified, Queen",9.98,0,0.0,0,0
