date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-01-15,2023-01-15_B0BNLBQN9N,B0BNLBQN9N,"NapQueen 3'' Bamboo Charcoal Mattress Topper, King",0.0,0,0.0,0,0
2023-01-16,2023-01-16_B0BNLBQN9N,B0BNLBQN9N,"NapQueen 3'' Bamboo Charcoal Mattress Topper, King",0.0,1,104.38,0,0
2023-01-17,2023-01-17_B0BNLBQN9N,B0BNLBQN9N,"NapQueen 3'' Bamboo Charcoal Mattress Topper, King",0.0,0,0.0,0,0
2023-01-18,2023-01-18_B0BNLBQN9N,B0BNLBQN9N,"NapQueen 3'' Bamboo Charcoal Mattress Topper, King",0.0,0,0.0,0,0
2023-01-19,2023-01-19_B0BNLBQN9N,B0BNLBQN9N,"NapQueen 3'' Bamboo Charcoal Mattress Topper, King",0.0,0,0.0,0,0
2023-01-20,2023-01-20_B0BNLBQN9N,B0BNLBQN9N,"NapQueen 3'' Bamboo Charcoal Mattress Topper, King",0.0,0,0.0,0,0
2023-01-21,2023-01-21_B0BNLBQN9N,B0BNLBQN9N,"NapQueen 3'' Bamboo Charcoal Mattress Topper, King",0.0,1,104.38,0,0
2023-01-22,2023-01-22_B0BNLBQN9N,B0BNLBQN9N,"NapQueen 3'' Bamboo Charcoal Mattress Topper, King",0.0,0,0.0,0,0
2023-01-23,2023-01-23_B0BNLBQN9N,B0BNLBQN9N,"NapQueen 3'' Bamboo Charcoal Mattress Topper, King",0.0,0,0.0,0,0
2023-01-24,2023-01-24_B0BNLBQN9N,B0BNLBQN9N,"NapQueen 3'' Bamboo Charcoal Mattress Topper, King",0.0,0,0.0,0,0
2023-01-25,2023-01-25_B0BNLBQN9N,B0BNLBQN9N,"NapQueen 3'' Bamboo Charcoal Mattress Topper, King",0.75,0,0.0,0,0
2023-01-26,2023-01-26_B0BNLBQN9N,B0BNLBQN9N,"NapQueen 3'' Bamboo Charcoal Mattress Topper, King",0.0,0,0.0,0,0
2023-01-27,2023-01-27_B0BNLBQN9N,B0BNLBQN9N,"NapQueen 3'' Bamboo Charcoal Mattress Topper, King",0.0,0,0.0,0,0
