date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-01-05,2023-01-05_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",0.0,0,0.0,0,0.0
2023-01-06,2023-01-06_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",0.71,0,0.0,0,0.0
2023-01-07,2023-01-07_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",0.0,0,0.0,0,0.0
2023-01-08,2023-01-08_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",2.93,1,259.99,0,0.0
2023-01-09,2023-01-09_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",0.75,0,0.0,0,0.0
2023-01-10,2023-01-10_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",3.53,0,0.0,0,0.0
2023-01-11,2023-01-11_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",3.1,0,0.0,0,0.0
2023-01-12,2023-01-12_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.71,0,0.0,0,0.0
2023-01-13,2023-01-13_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",1.59,0,0.0,0,0.0
2023-01-14,2023-01-14_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",3.45,0,0.0,0,0.0
2023-01-15,2023-01-15_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.44,0,0.0,0,0.0
2023-01-16,2023-01-16_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.23,1,362.6,0,0.0
2023-01-17,2023-01-17_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.23,0,0.0,0,0.0
2023-01-18,2023-01-18_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.23,0,0.0,0,0.0
2023-01-19,2023-01-19_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",0.0,0,0.0,0,0.0
2023-01-20,2023-01-20_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.23,0,0.0,1,0.0
2023-01-21,2023-01-21_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.23,0,0.0,0,0.0
2023-01-22,2023-01-22_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",38.27,2,362.6,0,0.0
2023-01-23,2023-01-23_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",11.56,1,362.6,0,0.0
2023-01-24,2023-01-24_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",14.14,3,779.97,0,0.0
2023-01-25,2023-01-25_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",3.17,2,362.6,0,0.0
2023-01-26,2023-01-26_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",6.38,1,259.99,0,0.0
2023-01-27,2023-01-27_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",7.21,0,0.0,0,0.0
2023-01-28,2023-01-28_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.12,2,362.6,0,0.0
2023-01-29,2023-01-29_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.1,0,0.0,0,0.0
2023-01-30,2023-01-30_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",3.48,0,0.0,0,0.0
2023-01-31,2023-01-31_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",1.93,1,362.6,0,0.0
2023-02-01,2023-02-01_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",1.77,1,362.6,0,0.0
2023-02-02,2023-02-02_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",6.82,0,0.0,0,0.0
2023-02-03,2023-02-03_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",6.37,0,0.0,0,0.0
2023-02-04,2023-02-04_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",19.93,2,362.6,0,0.0
2023-02-05,2023-02-05_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",26.78,0,0.0,0,0.0
2023-02-06,2023-02-06_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",17.33,2,362.6,0,0.0
2023-02-07,2023-02-07_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",22.63,1,259.0,0,0.0
2023-02-08,2023-02-08_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",14.77,0,0.0,0,0.0
2023-02-09,2023-02-09_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",19.09,1,362.6,0,0.0
2023-02-10,2023-02-10_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",27.53,3,362.6,0,0.0
2023-02-11,2023-02-11_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",25.97,3,777.0,0,0.0
2023-02-12,2023-02-12_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",25.95,2,518.0,0,0.0
2023-02-13,2023-02-13_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",19.7,2,362.6,0,0.0
2023-02-14,2023-02-14_B0BRDC22VH,B0BRDC22VH,"NapQueen 10 Inch Maxima Hybrid Mattress, King Size, Cooling Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",16.72,0,0.0,0,0.0
