date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-02-21,2023-02-21_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",4.23,0,0.0,0,0
2023-02-22,2023-02-22_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",10.59,0,0.0,0,0
2023-02-23,2023-02-23_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",0.0,0,0.0,0,0
2023-02-24,2023-02-24_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",31.98,1,129.99,0,0
2023-02-25,2023-02-25_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",63.02,1,129.99,0,0
2023-02-26,2023-02-26_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",39.05,0,0.0,0,0
2023-02-27,2023-02-27_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",2.39,0,0.0,0,0
2023-02-28,2023-02-28_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",76.31,2,129.99,0,0
2023-03-01,2023-03-01_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",77.21,0,0.0,0,0
2023-03-02,2023-03-02_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",47.29,0,0.0,0,0
2023-03-03,2023-03-03_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",84.82,3,117.73,0,0
2023-03-04,2023-03-04_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",54.99,1,117.73,0,0
2023-03-05,2023-03-05_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",52.27,0,0.0,0,0
2023-03-06,2023-03-06_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",0.0,0,0.0,0,0
2023-03-07,2023-03-07_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",0.0,1,234.0,0,0
2023-03-08,2023-03-08_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",45.06,0,0.0,0,0
2023-03-09,2023-03-09_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",41.2,2,234.0,0,0
2023-03-10,2023-03-10_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",24.8,0,0.0,0,0
2023-03-11,2023-03-11_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",39.13,1,234.0,0,0
2023-03-12,2023-03-12_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",55.9,0,0.0,0,0
2023-03-13,2023-03-13_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",20.99,0,0.0,0,0
2023-03-14,2023-03-14_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",45.26,1,234.0,0,0
2023-03-15,2023-03-15_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",56.04,1,119.98,0,0
2023-03-16,2023-03-16_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",39.94,2,234.0,0,0
2023-03-17,2023-03-17_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",53.07,1,234.0,0,0
2023-03-18,2023-03-18_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",19.35,0,0.0,0,0
2023-03-19,2023-03-19_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",33.97,0,0.0,0,0
2023-03-20,2023-03-20_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",38.05,1,118.91,0,0
2023-03-21,2023-03-21_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",25.31,1,129.99,0,0
2023-03-22,2023-03-22_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",19.75,1,234.0,0,0
2023-03-23,2023-03-23_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",0.0,1,234.0,0,0
2023-03-24,2023-03-24_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",13.81,1,234.0,0,0
2023-03-25,2023-03-25_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",26.72,1,129.99,0,0
2023-03-26,2023-03-26_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",22.53,2,259.98,0,0
2023-03-27,2023-03-27_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",2.42,0,0.0,0,0
2023-03-28,2023-03-28_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",7.73,0,0.0,0,0
2023-03-29,2023-03-29_B0BSLVXHYJ,B0BSLVXHYJ,"NapQueen Alpha New Metal Platform Bed Frame / Modular Design / Mattress Foundation with Steel Slats for Support / No Box Spring Required / Easy Assembly, Queen",13.76,1,234.0,0,0
