date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-02-21,2023-02-21_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",4.23,0,0.0,0,0
2023-02-22,2023-02-22_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",0.07,0,0.0,0,0
2023-02-23,2023-02-23_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",0.0,0,0.0,0,0
2023-02-24,2023-02-24_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",0.0,0,0.0,0,0
2023-02-25,2023-02-25_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",2.28,0,0.0,0,0
2023-02-26,2023-02-26_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",0.0,0,0.0,0,0
2023-02-27,2023-02-27_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",7.01,0,0.0,0,0
2023-02-28,2023-02-28_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",11.74,0,0.0,0,0
2023-03-01,2023-03-01_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",13.44,0,0.0,0,0
2023-03-02,2023-03-02_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",15.04,1,469.99,0,0
2023-03-03,2023-03-03_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",12.58,0,0.0,0,0
2023-03-04,2023-03-04_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",17.31,0,0.0,0,0
2023-03-05,2023-03-05_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",34.83,0,0.0,0,0
2023-03-06,2023-03-06_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",14.2,0,0.0,0,0
2023-03-07,2023-03-07_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",52.79,2,469.99,0,0
2023-03-08,2023-03-08_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",143.2,1,234.995,0,0
2023-03-09,2023-03-09_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",71.68,0,0.0,0,0
2023-03-10,2023-03-10_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",104.41,1,469.99,0,0
2023-03-11,2023-03-11_B0BT4Y4SMT,B0BT4Y4SMT,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, King",145.95,1,234.995,0,0
