date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-02-21,2023-02-21_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",4.23,0,0.0,0,0
2023-02-22,2023-02-22_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.12,0,0.0,0,0
2023-02-23,2023-02-23_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",6.41,0,0.0,0,0
2023-02-24,2023-02-24_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.0,0,0.0,0,0
2023-02-25,2023-02-25_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",6.06,0,0.0,0,0
2023-02-26,2023-02-26_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",12.49,0,0.0,0,0
2023-02-27,2023-02-27_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",3.33,0,0.0,0,0
2023-02-28,2023-02-28_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",28.8,0,0.0,0,0
2023-03-01,2023-03-01_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",61.59,0,0.0,0,0
2023-03-02,2023-03-02_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",96.81,0,0.0,0,0
2023-03-03,2023-03-03_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",16.71,0,0.0,0,0
2023-03-04,2023-03-04_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",11.86,2,286.095,0,0
2023-03-05,2023-03-05_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",19.81,0,0.0,0,0
2023-03-06,2023-03-06_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",13.85,1,286.095,0,0
2023-03-07,2023-03-07_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",5.6,0,0.0,0,0
2023-03-08,2023-03-08_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",6.98,0,0.0,1,0
2023-03-09,2023-03-09_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",16.92,0,0.0,0,0
2023-03-10,2023-03-10_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",26.46,0,0.0,0,0
2023-03-11,2023-03-11_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",9.92,0,0.0,0,0
2023-03-12,2023-03-12_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",16.03,0,0.0,0,0
2023-03-13,2023-03-13_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",18.26,0,0.0,0,0
2023-03-14,2023-03-14_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",17.33,0,0.0,0,0
2023-03-15,2023-03-15_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",3.38,0,0.0,0,0
2023-03-16,2023-03-16_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.0,0,0.0,0,0
2023-03-17,2023-03-17_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.44,2,286.095,0,0
2023-03-18,2023-03-18_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.0,0,0.0,0,0
2023-03-19,2023-03-19_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.0,0,0.0,0,0
2023-03-20,2023-03-20_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.0,0,0.0,0,0
2023-03-21,2023-03-21_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.0,0,0.0,0,0
2023-03-22,2023-03-22_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.0,0,0.0,0,0
2023-03-23,2023-03-23_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.0,0,0.0,0,0
2023-03-24,2023-03-24_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.0,0,0.0,0,0
2023-03-25,2023-03-25_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.37,0,0.0,0,0
2023-03-26,2023-03-26_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.37,0,0.0,0,0
2023-03-27,2023-03-27_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",3.79,0,0.0,0,0
2023-03-28,2023-03-28_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",1.9,1,286.095,0,0
2023-03-29,2023-03-29_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",6.96,0,0.0,0,0
2023-03-30,2023-03-30_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",1.97,0,0.0,0,0
2023-03-31,2023-03-31_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.09,0,0.0,0,0
2023-04-01,2023-04-01_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.03,0,0.0,1,0
2023-04-02,2023-04-02_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.78,0,0.0,0,0
2023-04-03,2023-04-03_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.52,0,0.0,0,0
2023-04-04,2023-04-04_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",2.73,0,0.0,0,0
2023-04-05,2023-04-05_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.84,0,0.0,0,0
2023-04-06,2023-04-06_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.52,0,0.0,0,0
2023-04-07,2023-04-07_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",0.0,0,0.0,0,0
2023-04-08,2023-04-08_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",1.22,0,0.0,0,0
2023-04-09,2023-04-09_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",2.86,0,0.0,0,0
2023-04-10,2023-04-10_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",2.74,0,0.0,0,0
2023-04-11,2023-04-11_B0BT51RJS3,B0BT51RJS3,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin",3.54,0,0.0,0,0
