date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-02-22,2023-02-22_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",7.69,0,0.0,0,0
2023-02-23,2023-02-23_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",7.64,0,0.0,0,0
2023-02-24,2023-02-24_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",13.25,0,0.0,0,0
2023-02-25,2023-02-25_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",19.31,2,424.205,0,0
2023-02-26,2023-02-26_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",20.68,0,0.0,0,0
2023-02-27,2023-02-27_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",12.5,1,424.205,0,0
2023-02-28,2023-02-28_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",75.42,0,0.0,0,0
2023-03-01,2023-03-01_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",42.95,0,0.0,0,0
2023-03-02,2023-03-02_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",96.02,1,424.205,0,0
2023-03-03,2023-03-03_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",17.38,0,0.0,0,0
2023-03-04,2023-03-04_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",7.12,1,424.205,0,0
2023-03-05,2023-03-05_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",19.84,0,0.0,0,0
2023-03-06,2023-03-06_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",21.11,2,424.205,0,0
2023-03-07,2023-03-07_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",15.23,0,0.0,0,0
2023-03-08,2023-03-08_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",17.76,0,0.0,0,0
2023-03-09,2023-03-09_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",21.69,0,0.0,0,0
2023-03-10,2023-03-10_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",31.21,0,0.0,0,0
2023-03-11,2023-03-11_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",23.09,0,0.0,0,0
2023-03-12,2023-03-12_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",19.78,0,0.0,0,0
2023-03-13,2023-03-13_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",11.87,0,0.0,0,0
2023-03-14,2023-03-14_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",9.68,0,0.0,0,0
2023-03-15,2023-03-15_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",3.63,0,0.0,0,0
2023-03-16,2023-03-16_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",0.37,1,424.205,0,0
2023-03-17,2023-03-17_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",0.0,0,0.0,0,0
2023-03-18,2023-03-18_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",0.0,0,0.0,0,0
2023-03-19,2023-03-19_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",0.0,0,0.0,0,0
2023-03-20,2023-03-20_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",0.0,1,424.205,0,0
2023-03-21,2023-03-21_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",0.0,0,0.0,0,0
2023-03-22,2023-03-22_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",0.0,0,0.0,0,0
2023-03-23,2023-03-23_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",0.74,2,424.205,0,0
2023-03-24,2023-03-24_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",0.0,0,0.0,0,0
2023-03-25,2023-03-25_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",0.0,0,0.0,0,0
2023-03-26,2023-03-26_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",0.0,0,0.0,0,0
2023-03-27,2023-03-27_B0BT52345P,B0BT52345P,"Nap Queen Cashmere 14"" Hybrid Pillow Top Mattress, Twin XL",0.0,1,424.205,0,0
