date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2023-02-21,2023-02-21_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.23,0,0.0,0,0.0
2023-02-22,2023-02-22_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.23,0,0.0,0,0.0
2023-02-23,2023-02-23_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.23,0,0.0,0,0.0
2023-02-24,2023-02-24_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.23,0,0.0,0,0.0
2023-02-25,2023-02-25_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.23,0,0.0,0,0.0
2023-02-26,2023-02-26_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.23,0,0.0,0,0.0
2023-02-27,2023-02-27_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.23,0,0.0,0,0.0
2023-02-28,2023-02-28_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",0.0,0,0.0,0,0.0
2023-03-01,2023-03-01_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",4.23,0,0.0,0,0.0
2023-03-02,2023-03-02_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",0.2,2,168.0,0,0.0
2023-03-03,2023-03-03_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",0.0,0,0.0,0,0.0
2023-03-04,2023-03-04_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",0.0,1,168.0,0,0.0
2023-03-05,2023-03-05_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",0.0,1,168.0,0,0.0
2023-03-06,2023-03-06_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",0.34,3,168.0,0,0.0
2023-03-07,2023-03-07_B0BVSMLG96,B0BVSMLG96,"NapQueen 12 Inch Maxima Hybrid Mattress, Twin-XL Size, Cool Gel Infused Memory Foam and Innerspring Mattress, Bed in a box",0.0,0,0.0,0,0.0
