date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2024-01-24,2024-01-24_B0CQVL5T61,B0CQVL5T61,,94.63,0,0.0,0,0
2024-01-25,2024-01-25_B0CQVL5T61,B0CQVL5T61,,103.0,225,0.0,0,0
2024-01-26,2024-01-26_B0CQVL5T61,B0CQVL5T61,,14.6,0,0.0,0,0
2024-01-27,2024-01-27_B0CQVL5T61,B0CQVL5T61,,11.22,0,0.0,0,0
2024-01-28,2024-01-28_B0CQVL5T61,B0CQVL5T61,,8.64,1,0.0,0,0
2024-01-29,2024-01-29_B0CQVL5T61,B0CQVL5T61,,20.05,0,0.0,0,0
2024-01-30,2024-01-30_B0CQVL5T61,B0CQVL5T61,,6.52,12,0.0,0,0
2024-01-31,2024-01-31_B0CQVL5T61,B0CQVL5T61,,4.3,1,0.0,0,0
2024-02-01,2024-02-01_B0CQVL5T61,B0CQVL5T61,,20.12,0,0.0,0,0
2024-02-02,2024-02-02_B0CQVL5T61,B0CQVL5T61,,8.57,0,0.0,0,0
2024-02-03,2024-02-03_B0CQVL5T61,B0CQVL5T61,,37.92,116,0.0,0,0
2024-02-04,2024-02-04_B0CQVL5T61,B0CQVL5T61,,32.58,1,0.0,0,0
2024-02-05,2024-02-05_B0CQVL5T61,B0CQVL5T61,,24.69,0,0.0,0,0
2024-02-06,2024-02-06_B0CQVL5T61,B0CQVL5T61,,35.61,66,0.0,0,0
2024-02-07,2024-02-07_B0CQVL5T61,B0CQVL5T61,,23.1,33,0.0,0,0
2024-02-08,2024-02-08_B0CQVL5T61,B0CQVL5T61,,4.78,38,0.0,0,0
2024-02-09,2024-02-09_B0CQVL5T61,B0CQVL5T61,,3.12,18,0.0,0,0
2024-02-10,2024-02-10_B0CQVL5T61,B0CQVL5T61,,4.7,1,0.0,0,0
2024-02-11,2024-02-11_B0CQVL5T61,B0CQVL5T61,,20.02,20,0.0,0,0
2024-02-12,2024-02-12_B0CQVL5T61,B0CQVL5T61,,4.13,0,0.0,0,0
2024-02-13,2024-02-13_B0CQVL5T61,B0CQVL5T61,,1.79,24,0.0,0,0
2024-02-14,2024-02-14_B0CQVL5T61,B0CQVL5T61,,0.0,1,0.0,0,0
2024-02-15,2024-02-15_B0CQVL5T61,B0CQVL5T61,,0.0,0,0.0,0,0
2024-02-19,2024-02-19_B0CQVL5T61,B0CQVL5T61,,9.16,8,0.0,0,0
2024-02-20,2024-02-20_B0CQVL5T61,B0CQVL5T61,,1.9,7,0.0,0,0
