date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2024-01-25,2024-01-25_B0CR4BK4FW,B0CR4BK4FW,,4.23,1,246.58,0,0
2024-01-26,2024-01-26_B0CR4BK4FW,B0CR4BK4FW,,4.23,1,246.58,0,0
2024-01-27,2024-01-27_B0CR4BK4FW,B0CR4BK4FW,,4.23,0,0.0,0,0
2024-01-28,2024-01-28_B0CR4BK4FW,B0CR4BK4FW,,4.23,0,0.0,0,0
2024-01-29,2024-01-29_B0CR4BK4FW,B0CR4BK4FW,,4.23,1,246.58,0,0
2024-02-06,2024-02-06_B0CR4BK4FW,B0CR4BK4FW,,0.0,0,0.0,0,0
2024-02-07,2024-02-07_B0CR4BK4FW,B0CR4BK4FW,,0.0,0,0.0,0,0
2024-02-08,2024-02-08_B0CR4BK4FW,B0CR4BK4FW,,0.0,0,0.0,0,0
2024-02-09,2024-02-09_B0CR4BK4FW,B0CR4BK4FW,,1.15,1,246.58,0,0
2024-02-10,2024-02-10_B0CR4BK4FW,B0CR4BK4FW,,0.0,0,0.0,0,0
2024-02-11,2024-02-11_B0CR4BK4FW,B0CR4BK4FW,,0.0,4,246.58,0,0
2024-02-12,2024-02-12_B0CR4BK4FW,B0CR4BK4FW,,0.0,3,246.58,0,0
2024-02-13,2024-02-13_B0CR4BK4FW,B0CR4BK4FW,,4.0,1,246.58,0,0
2024-02-14,2024-02-14_B0CR4BK4FW,B0CR4BK4FW,,2.0,0,0.0,0,0
2024-02-15,2024-02-15_B0CR4BK4FW,B0CR4BK4FW,,4.8,0,0.0,0,0
2024-02-16,2024-02-16_B0CR4BK4FW,B0CR4BK4FW,,13.44,19,246.58,0,0
2024-02-17,2024-02-17_B0CR4BK4FW,B0CR4BK4FW,,10.52,1,246.58,0,0
2024-02-18,2024-02-18_B0CR4BK4FW,B0CR4BK4FW,,26.87,0,0.0,0,0
2024-02-19,2024-02-19_B0CR4BK4FW,B0CR4BK4FW,,0.0,0,0.0,0,0
2024-02-20,2024-02-20_B0CR4BK4FW,B0CR4BK4FW,,2.48,0,0.0,0,0
2024-02-21,2024-02-21_B0CR4BK4FW,B0CR4BK4FW,,1.24,1,246.58,0,0
2024-02-22,2024-02-22_B0CR4BK4FW,B0CR4BK4FW,,1.24,0,0.0,0,0
2024-02-23,2024-02-23_B0CR4BK4FW,B0CR4BK4FW,,1.66,3,246.58,0,0
2024-02-24,2024-02-24_B0CR4BK4FW,B0CR4BK4FW,,7.19,6,246.58,0,0
2024-02-25,2024-02-25_B0CR4BK4FW,B0CR4BK4FW,,10.17,0,0.0,0,0
2024-02-26,2024-02-26_B0CR4BK4FW,B0CR4BK4FW,,13.98,2,246.58,0,0
2024-02-27,2024-02-27_B0CR4BK4FW,B0CR4BK4FW,,12.34,1,246.58,0,0
2024-02-28,2024-02-28_B0CR4BK4FW,B0CR4BK4FW,,35.96,12,246.58,0,0
2024-02-29,2024-02-29_B0CR4BK4FW,B0CR4BK4FW,,21.45,0,0.0,0,0
2024-03-01,2024-03-01_B0CR4BK4FW,B0CR4BK4FW,,19.49,5,246.58,0,0
2024-03-02,2024-03-02_B0CR4BK4FW,B0CR4BK4FW,,12.93,0,0.0,0,0
2024-03-03,2024-03-03_B0CR4BK4FW,B0CR4BK4FW,,16.34,0,0.0,0,0
2024-03-04,2024-03-04_B0CR4BK4FW,B0CR4BK4FW,,19.4,1,246.58,0,0
2024-03-05,2024-03-05_B0CR4BK4FW,B0CR4BK4FW,,13.11,0,0.0,0,0
2024-03-06,2024-03-06_B0CR4BK4FW,B0CR4BK4FW,,16.22,0,0.0,0,0
2024-03-07,2024-03-07_B0CR4BK4FW,B0CR4BK4FW,,19.34,0,0.0,0,0
2024-03-08,2024-03-08_B0CR4BK4FW,B0CR4BK4FW,,13.27,0,0.0,0,0
