date,ID,Item Id,Item Name,ad_spend,units,unit_price,units_return,unit_price_return
2024-04-03,2024-04-03_B0CY5KFQBD,B0CY5KFQBD,,4.23,1,367.4125,0,0
2024-04-07,2024-04-07_B0CY5KFQBD,B0CY5KFQBD,,4.23,1,367.4125,0,0
2024-04-08,2024-04-08_B0CY5KFQBD,B0CY5KFQBD,,4.23,0,0.0,0,0
2024-04-09,2024-04-09_B0CY5KFQBD,B0CY5KFQBD,,4.23,1,367.4125,0,0
2024-04-10,2024-04-10_B0CY5KFQBD,B0CY5KFQBD,,4.23,0,0.0,0,0
2024-04-12,2024-04-12_B0CY5KFQBD,B0CY5KFQBD,,4.23,1,367.4125,0,0
2024-04-13,2024-04-13_B0CY5KFQBD,B0CY5KFQBD,,4.23,0,0.0,0,0
2024-04-15,2024-04-15_B0CY5KFQBD,B0CY5KFQBD,,4.23,0,0.0,0,0
2024-04-18,2024-04-18_B0CY5KFQBD,B0CY5KFQBD,,4.23,0,0.0,0,0
2024-04-19,2024-04-19_B0CY5KFQBD,B0CY5KFQBD,,4.23,0,0.0,0,0
2024-04-27,2024-04-27_B0CY5KFQBD,B0CY5KFQBD,,4.23,0,0.0,0,0
2024-04-28,2024-04-28_B0CY5KFQBD,B0CY5KFQBD,,4.23,1,367.4125,0,0
2024-05-02,2024-05-02_B0CY5KFQBD,B0CY5KFQBD,,4.23,0,0.0,0,0
2024-05-03,2024-05-03_B0CY5KFQBD,B0CY5KFQBD,,4.23,1,367.4125,0,0
2024-05-04,2024-05-04_B0CY5KFQBD,B0CY5KFQBD,,4.23,0,0.0,0,0
2024-05-05,2024-05-05_B0CY5KFQBD,B0CY5KFQBD,,4.23,0,0.0,0,0
2024-05-13,2024-05-13_B0CY5KFQBD,B0CY5KFQBD,,7.87,0,0.0,0,0
2024-05-14,2024-05-14_B0CY5KFQBD,B0CY5KFQBD,,12.07,3,367.4125,0,0
2024-05-15,2024-05-15_B0CY5KFQBD,B0CY5KFQBD,,11.97,2,367.4125,0,0
2024-05-16,2024-05-16_B0CY5KFQBD,B0CY5KFQBD,,34.81,7,367.4125,0,0
2024-05-17,2024-05-17_B0CY5KFQBD,B0CY5KFQBD,,34.07,4,367.4125,0,0
2024-05-18,2024-05-18_B0CY5KFQBD,B0CY5KFQBD,,40.08,2,367.4125,0,0
2024-05-19,2024-05-19_B0CY5KFQBD,B0CY5KFQBD,,25.06,1,367.4125,0,0
2024-05-20,2024-05-20_B0CY5KFQBD,B0CY5KFQBD,,19.32,0,0.0,0,0
2024-05-21,2024-05-21_B0CY5KFQBD,B0CY5KFQBD,,19.97,0,0.0,0,0
2024-05-22,2024-05-22_B0CY5KFQBD,B0CY5KFQBD,,10.35,1,367.4125,0,0
2024-05-23,2024-05-23_B0CY5KFQBD,B0CY5KFQBD,,19.89,2,367.4125,0,0
2024-05-24,2024-05-24_B0CY5KFQBD,B0CY5KFQBD,,70.28,1,367.4125,0,0
2024-05-25,2024-05-25_B0CY5KFQBD,B0CY5KFQBD,,95.67,1,367.4125,0,0
2024-05-26,2024-05-26_B0CY5KFQBD,B0CY5KFQBD,,79.56,2,226.1,0,0
2024-05-27,2024-05-27_B0CY5KFQBD,B0CY5KFQBD,,88.68,3,508.725,0,0
2024-05-28,2024-05-28_B0CY5KFQBD,B0CY5KFQBD,,35.45,0,0.0,0,0
2024-05-29,2024-05-29_B0CY5KFQBD,B0CY5KFQBD,,41.74,1,367.4125,0,0
2024-05-30,2024-05-30_B0CY5KFQBD,B0CY5KFQBD,,16.78,3,367.4125,0,0
2024-05-31,2024-05-31_B0CY5KFQBD,B0CY5KFQBD,,0.0,1,367.4125,0,0
