date,forecast_units_sales,forecast_units_returns,actual_forecast
2024-07-01,1.3097711064891304,5.902140121308971e-07,1.3097705162751183
2024-07-02,1.7141761549132224,5.165321630959455e-07,1.7141756383810594
2024-07-03,1.6992094613634254,5.25730546674825e-07,1.6992089356328788
2024-07-04,1.8189211634150444,5.24582227766269e-07,1.8189206388328167
2024-07-05,1.9498237659922584,5.247255829878076e-07,1.9498232412666754
2024-07-06,2.01428498939598,5.247076866356799e-07,2.0142844646882936
2024-07-07,2.083847807529412,5.247099208020817e-07,2.083847282819491
2024-07-08,2.1481273192193484,5.247096418905205e-07,2.1481267945097064
2024-07-09,2.1968106758126167,5.247096767096186e-07,2.19681015110294
2024-07-10,2.239833126956017,5.2470967236283e-07,2.239832602246345
2024-07-11,2.277277064060552,5.247096729054797e-07,2.277276539350879
2024-07-12,2.3083968350499475,5.247096728377357e-07,2.3083963103402745
2024-07-13,2.3350574064922944,5.247096728461928e-07,2.3350568817826214
2024-07-14,2.3578846876648765,5.247096728451369e-07,2.3578841629552034
2024-07-15,2.377229534730557,5.247096728452688e-07,2.377229010020884
2024-07-16,2.3937192844087933,5.247096728452523e-07,2.3937187596991203
2024-07-17,2.40778071247612,5.247096728452544e-07,2.407780187766447
2024-07-18,2.419744480315436,5.247096728452541e-07,2.419743955605763
2024-07-19,2.4299347216227765,5.247096728452541e-07,2.4299341969131034
2024-07-20,2.4386159089085027,5.247096728452541e-07,2.4386153841988296
2024-07-21,2.446007947672565,5.247096728452541e-07,2.446007422962892
2024-07-22,2.4523035474690147,5.247096728452541e-07,2.4523030227593416
2024-07-23,2.457665646871847,5.247096728452541e-07,2.457665122162174
2024-07-24,2.46223219838077,5.247096728452541e-07,2.4622316736710967
2024-07-25,2.466121373317037,5.247096728452541e-07,2.466120848607364
2024-07-26,2.469433702171894,5.247096728452541e-07,2.469433177462221
2024-07-27,2.4722546835041728,5.247096728452541e-07,2.4722541587944997
2024-07-28,2.474657218048306,5.247096728452541e-07,2.474656693338633
