date,forecast_units_sales,forecast_units_returns,actual_forecast
2024-07-01,46.43649432263898,-7.876091740244706e-136,46.43649432263898
2024-07-02,55.36330726835482,-6.805593386398874e-136,55.36330726835482
2024-07-03,60.81681152321161,-4.034568611735995e-136,60.81681152321161
2024-07-04,67.54989992880485,-2.6675910926966728e-136,67.54989992880485
2024-07-05,73.19094484482903,-6.681958774695636e-137,73.19094484482903
2024-07-06,77.9170654343297,-3.6992713191027655e-137,77.9170654343297
2024-07-07,81.8766538012035,-7.625979609455495e-137,81.8766538012035
2024-07-08,85.19403424848043,-7.899524471315685e-137,85.19403424848043
2024-07-09,87.9733668488194,-8.301808997606442e-137,87.9733668488194
2024-07-10,90.30191789265513,-6.449544314598711e-137,90.30191789265513
2024-07-11,92.252799900475,-3.6492798346997677e-137,92.252799900475
2024-07-12,93.88726723092522,-2.2529064926165117e-137,93.88726723092522
2024-07-13,95.25663936291514,-1.49204419603912e-137,95.25663936291514
2024-07-14,96.4039122394884,-1.26728928048483e-137,96.4039122394884
2024-07-15,97.36510826690277,-1.3165339293074978e-137,97.36510826690277
2024-07-16,98.17040735658118,-1.1526572692357396e-137,98.17040735658118
2024-07-17,98.84509452271664,-8.967178541449569e-138,98.84509452271664
2024-07-18,99.41035378847552,-6.420627852337388e-138,99.41035378847552
2024-07-19,99.883933328096,-4.231753067482742e-138,99.883933328096
2024-07-20,100.28070272920615,-3.043186655959086e-138,100.28070272920615
2024-07-21,100.61311987244568,-2.471714410603664e-138,100.61311987244568
2024-07-22,100.89162208761232,-2.0921290673842132e-138,100.89162208761232
2024-07-23,101.12495386796772,-1.7724269028047634e-138,101.12495386796772
2024-07-24,101.32044143237088,-1.4016926731176127e-138,101.32044143237088
2024-07-25,101.48422275602115,-1.0370499506182035e-138,101.48422275602115
2024-07-26,101.6214402923823,-7.561372502133892e-139,101.6214402923823
2024-07-27,101.73640243742652,-5.599220636778366e-139,101.73640243742652
2024-07-28,101.83271880589987,-4.357952861941152e-139,101.83271880589987
