date,forecast_units_sales,forecast_units_returns,actual_forecast
2024-07-01,7.282037970668646e-14,0.0,7.282037970668646e-14
2024-07-02,7.6618917604422e-11,0.0,7.6618917604422e-11
2024-07-03,1.0063162300043598e-10,0.0,1.0063162300043598e-10
2024-07-04,7.800756069416922e-11,0.0,7.800756069416922e-11
2024-07-05,6.046985374993038e-11,0.0,6.046985374993038e-11
2024-07-06,4.687498468095654e-11,0.0,4.687498468095654e-11
2024-07-07,3.6336522293018447e-11,0.0,3.6336522293018447e-11
2024-07-08,2.816732338874619e-11,0.0,2.816732338874619e-11
2024-07-09,2.1834728719722532e-11,0.0,2.1834728719722532e-11
2024-07-10,1.6925831811706907e-11,0.0,1.6925831811706907e-11
2024-07-11,1.3120556073564534e-11,0.0,1.3120556073564534e-11
2024-07-12,1.0170784726838816e-11,0.0,1.0170784726838816e-11
2024-07-13,7.88418275717138e-12,0.0,7.88418275717138e-12
2024-07-14,6.11165602438216e-12,0.0,6.11165602438216e-12
2024-07-15,4.737629823001173e-12,0.0,4.737629823001173e-12
2024-07-16,3.6725130226973386e-12,0.0,3.6725130226973386e-12
2024-07-17,2.8468564252108735e-12,0.0,2.8468564252108735e-12
2024-07-18,2.206824443010929e-12,0.0,2.206824443010929e-12
2024-07-19,1.7106848378943997e-12,0.0,1.7106848378943997e-12
2024-07-20,1.326087638674617e-12,0.0,1.326087638674617e-12
2024-07-21,1.0279558142399189e-12,0.0,1.0279558142399189e-12
2024-07-22,7.968501667701136e-13,0.0,7.968501667701136e-13
2024-07-23,6.177018306482963e-13,0.0,6.177018306482963e-13
2024-07-24,4.7882973173341e-13,0.0,4.7882973173341e-13
2024-07-25,3.71178942033012e-13,0.0,3.71178942033012e-13
2024-07-26,2.877302679388591e-13,0.0,2.877302679388591e-13
2024-07-27,2.230425751922225e-13,0.0,2.230425751922225e-13
2024-07-28,1.7289800862712622e-13,0.0,1.7289800862712622e-13
