date,forecast_units_sales,forecast_units_returns,actual_forecast
2024-07-01,2.17026528265165,0.0,2.17026528265165
2024-07-02,0.0586805952470839,0.0,0.0586805952470839
2024-07-03,1.4997872281455844,0.0,1.4997872281455844
2024-07-04,2.1194643635852333,0.0,2.1194643635852333
2024-07-05,2.385926083641541,0.0,2.385926083641541
2024-07-06,2.5005048605476663,0.0,2.5005048605476663
2024-07-07,2.549773836648734,0.0,2.549773836648734
2024-07-08,2.5709595402458003,0.0,2.5709595402458003
2024-07-09,2.580069411658229,0.0,2.580069411658229
2024-07-10,2.583986664477837,0.0,2.583986664477837
2024-07-11,2.5856710866785493,0.0,2.5856710866785493
2024-07-12,2.586395389724819,0.0,2.586395389724819
2024-07-13,2.586706840679701,0.0,2.586706840679701
2024-07-14,2.5868407648676444,0.0,2.5868407648676444
2024-07-15,2.5868983523877187,0.0,2.5868983523877187
2024-07-16,2.586923115072632,0.0,2.586923115072632
2024-07-17,2.5869337630491955,0.0,2.5869337630491955
2024-07-18,2.5869383416886,0.0,2.5869383416886
2024-07-19,2.5869403105076207,0.0,2.5869403105076207
2024-07-20,2.586941157101553,0.0,2.586941157101553
2024-07-21,2.586941521137698,0.0,2.586941521137698
2024-07-22,2.5869416776735643,0.0,2.5869416776735643
2024-07-23,2.5869417449841263,0.0,2.5869417449841263
2024-07-24,2.586941773927728,0.0,2.586941773927728
2024-07-25,2.5869417863735023,0.0,2.5869417863735023
2024-07-26,2.5869417917251964,0.0,2.5869417917251964
2024-07-27,2.58694179402643,0.0,2.58694179402643
2024-07-28,2.586941795015962,0.0,2.586941795015962
