date,units_return,unit_price_return
2023-01-07,0,0
2023-01-08,0,0
2023-01-09,0,0
2023-01-10,0,0
2023-01-11,0,0
2023-01-12,0,0
2023-01-13,0,0
2023-01-14,0,0
2023-01-15,0,0
2023-01-16,0,0
2023-01-17,0,0
2023-01-18,0,0
2023-01-19,0,0
2023-01-20,0,0
2023-01-21,0,0
2023-01-22,0,0
2023-01-23,0,0
2023-01-24,0,0
2023-01-25,0,0
2023-02-14,0,0
2023-02-15,0,0
2023-02-16,0,0
2023-02-17,0,0
2023-02-18,0,0
2023-02-19,0,0
2023-02-20,0,0
2023-02-21,0,0
2023-02-22,0,0
2023-02-23,0,0
2023-02-24,0,0
2023-02-25,0,0
2023-02-26,0,0
2023-02-27,0,0
2023-02-28,0,0
2023-03-01,0,0
2023-03-02,0,0
2023-03-03,0,0
2023-03-04,0,0
2023-03-05,0,0
2023-03-06,0,0
2023-03-07,0,0
2023-03-08,0,0
2023-03-09,0,0
2023-03-10,0,0
2023-03-11,0,0
2023-03-12,0,0
2023-03-13,0,0
2023-07-21,0,0
2023-07-22,0,0
2023-07-23,0,0
2023-07-24,0,0
2023-07-25,0,0
2023-07-26,0,0
2023-07-27,0,0
2023-07-28,0,0
2023-07-29,0,0
2023-07-30,0,0
2023-07-31,0,0
2023-08-01,0,0
2023-08-02,0,0
2023-08-03,0,0
