date,units,unit_price
2022-05-12,2,169.15
2022-05-13,0,0.0
2022-05-14,1,169.15
2022-05-15,0,0.0
2022-05-16,0,0.0
2022-05-17,1,169.15
2022-05-18,1,169.15
2022-05-19,0,0.0
2022-05-20,1,169.15
2022-05-21,0,0.0
2022-05-22,1,169.15
2022-05-23,0,0.0
2022-05-24,0,0.0
2022-05-25,0,0.0
2022-05-26,1,169.15
2022-05-27,1,169.15
2022-05-28,1,169.15
2022-05-29,0,0.0
2022-05-30,0,0.0
2022-05-31,1,169.15
2022-06-01,1,169.15
2022-06-02,1,169.15
2022-06-03,4,169.15
2022-06-04,2,169.15
2022-06-05,2,169.15
2022-06-06,2,169.15
2022-06-07,0,0.0
2022-06-08,2,169.15
2022-06-09,0,0.0
2022-06-10,5,169.15
2022-06-11,2,169.15
2022-06-12,3,169.15
2022-06-13,0,0.0
2022-06-14,1,169.15
2022-06-15,1,169.15
2022-06-16,2,169.15
2022-06-17,2,169.15
2022-06-18,1,169.15
2022-06-19,3,169.15
2022-06-20,1,169.15
2022-06-21,1,169.15
2022-06-22,2,169.15
2022-06-23,1,169.15
2022-06-24,3,169.15
2022-06-25,2,169.15
2022-06-26,3,169.15
2022-06-27,2,169.15
2022-06-28,12,169.15
2022-06-29,2,169.15
2022-06-30,1,169.15
2022-07-01,0,0.0
2022-07-02,1,169.15
2022-07-03,2,169.15
2022-07-04,1,169.15
2022-07-05,0,0.0
2022-07-06,0,0.0
2022-07-07,0,0.0
2022-07-08,1,169.15
2022-07-09,0,0.0
2022-07-10,2,169.15
2022-07-11,1,169.15
2022-07-12,3,169.15
2022-07-13,5,169.15
2022-07-14,1,169.15
2022-07-15,0,0.0
2022-07-16,2,169.15
2022-07-17,1,169.15
2022-07-18,3,169.15
2022-07-19,0,0.0
2022-07-20,5,169.15
2022-07-21,2,169.15
2022-07-22,0,0.0
2022-07-23,1,169.15
2022-07-24,0,0.0
2022-07-25,1,169.15
2022-07-26,1,169.15
2022-07-27,0,0.0
2022-07-28,5,169.15
2022-07-29,1,169.15
2022-07-30,3,169.15
2022-07-31,0,0.0
2022-08-01,2,169.15
2022-08-02,2,169.15
2022-08-03,1,169.15
2022-08-04,1,169.15
2022-08-05,0,0.0
2022-08-06,0,0.0
2022-08-07,3,169.15
2022-08-08,3,169.15
2022-08-09,1,169.15
2022-08-10,0,0.0
2022-08-11,2,169.15
2022-08-12,1,169.15
2022-08-13,1,169.15
2022-08-14,0,0.0
2022-08-15,1,169.15
2022-08-16,0,0.0
2022-08-17,2,169.15
2022-08-18,0,0.0
2022-08-19,3,169.15
2022-08-20,0,0.0
2022-08-21,0,0.0
2022-08-22,0,0.0
2022-08-23,0,0.0
2022-08-24,0,0.0
2022-08-25,0,0.0
2022-08-26,0,0.0
2022-08-27,1,169.15
2022-08-28,0,0.0
2022-08-29,0,0.0
2022-08-30,1,169.15
2022-08-31,1,169.15
2022-09-01,0,0.0
2022-09-02,1,169.15
2022-09-03,0,0.0
2022-09-04,0,0.0
2022-09-05,4,166.0
2022-09-06,2,103.75
2022-09-07,2,207.5
2022-09-08,5,259.375
2022-09-09,2,169.15
2022-09-10,1,69.16666666666666
2022-09-11,3,207.5
2022-09-12,2,169.15
2022-09-13,0,0.0
2022-09-14,1,169.15
2022-09-15,0,0.0
2022-09-16,1,169.15
2022-09-17,0,0.0
2022-09-18,1,169.15
2022-09-19,0,0.0
2022-09-20,2,169.15
2022-09-21,0,0.0
2022-09-22,0,0.0
2022-09-23,2,169.15
2022-09-24,2,169.15
2022-09-25,3,169.15
2022-09-26,0,0.0
2022-09-27,0,0.0
2022-09-28,0,0.0
2022-09-29,0,0.0
2022-09-30,0,0.0
2022-10-01,1,169.15
2022-10-02,0,0.0
2022-10-03,0,0.0
2022-10-04,0,0.0
2022-10-05,0,0.0
2022-10-06,0,0.0
2022-10-07,1,169.15
2022-10-08,1,169.15
2022-10-09,0,0.0
2022-10-10,1,169.15
2022-10-11,0,0.0
2022-10-12,3,169.15
2022-10-13,1,169.15
2022-10-14,1,169.15
2022-10-15,0,0.0
2022-10-16,0,0.0
2022-10-17,1,169.15
2022-10-18,0,0.0
2022-10-19,0,0.0
2022-10-20,0,0.0
2022-10-21,0,0.0
2022-10-22,2,169.15
2022-10-23,0,0.0
2022-10-24,0,0.0
2022-10-25,0,0.0
2022-10-26,2,169.15
2022-10-27,0,0.0
2022-10-28,0,0.0
2022-10-29,1,169.15
2022-10-30,0,0.0
2022-10-31,0,0.0
2022-11-01,1,169.15
2022-11-02,0,0.0
2022-11-03,1,169.15
2022-11-04,2,169.15
2022-11-05,0,0.0
2022-11-06,0,0.0
2022-11-07,1,169.15
2022-11-08,0,0.0
2022-11-09,0,0.0
2022-11-10,0,0.0
2022-11-11,0,0.0
2022-11-12,0,0.0
2022-11-13,0,0.0
2022-11-14,0,0.0
2022-11-15,1,169.15
2022-11-16,0,0.0
2022-11-17,1,169.15
2022-11-18,1,169.15
2022-11-19,1,169.15
2022-11-20,0,0.0
2022-11-21,0,0.0
2022-11-22,0,0.0
2022-11-23,0,0.0
2022-11-24,0,0.0
2022-11-25,3,89.57142857142857
2022-11-26,0,0.0
2022-11-27,1,169.15
2022-11-28,2,169.15
2022-11-29,2,169.15
2022-11-30,5,169.15
2022-12-01,4,169.15
2022-12-02,3,169.15
2022-12-03,0,0.0
2022-12-04,4,169.15
2022-12-05,4,169.15
2022-12-06,1,169.15
2022-12-07,2,169.15
2022-12-08,5,169.15
2022-12-09,3,169.15
2022-12-10,7,169.15
2022-12-11,1,169.15
2022-12-12,7,169.15
2022-12-13,2,169.15
2022-12-14,0,0.0
2022-12-15,0,0.0
2022-12-16,2,169.15
2022-12-17,1,169.15
2022-12-18,0,0.0
2022-12-19,3,169.15
2022-12-20,0,0.0
2022-12-21,0,0.0
2022-12-22,5,169.15
2022-12-23,0,0.0
2022-12-24,0,0.0
2022-12-25,0,0.0
2022-12-26,1,169.15
2022-12-27,0,0.0
2022-12-28,2,169.15
2022-12-29,1,169.15
2022-12-30,0,0.0
2022-12-31,0,0.0
2023-01-01,0,0.0
2023-01-02,1,169.15
2023-01-03,1,169.15
2023-01-04,0,0.0
2023-01-05,1,169.15
2023-01-06,0,0.0
2023-01-07,1,169.15
2023-01-08,1,169.15
2023-01-09,0,0.0
2023-01-10,0,0.0
2023-01-11,2,169.15
2023-01-12,0,0.0
2023-01-13,2,169.15
2023-01-14,2,169.15
2023-01-15,2,169.15
2023-01-16,0,0.0
2023-01-17,0,0.0
2023-01-18,0,0.0
2023-01-19,0,0.0
2023-01-20,0,0.0
2023-01-21,0,0.0
2023-01-22,0,0.0
2023-01-23,0,0.0
2023-01-24,0,0.0
2023-01-25,0,0.0
2023-01-26,0,0.0
2023-01-27,0,0.0
2023-01-28,0,0.0
2023-01-29,0,0.0
2023-01-30,0,0.0
2023-01-31,0,0.0
2023-02-01,0,0.0
2023-02-02,0,0.0
2023-02-03,0,0.0
2023-02-04,0,0.0
