date,units,unit_price
2022-04-12,0,0.0
2022-04-13,0,0.0
2022-04-14,0,0.0
2022-04-15,0,0.0
2022-04-16,0,0.0
2022-04-17,0,0.0
2022-04-18,0,0.0
2022-04-19,0,0.0
2022-04-20,0,0.0
2022-04-21,2,358.9925
2022-04-22,0,0.0
2022-04-23,0,0.0
2022-04-24,0,0.0
2022-04-25,0,0.0
2022-04-26,0,0.0
2022-04-27,0,0.0
2022-04-28,0,0.0
2022-04-29,0,0.0
2022-04-30,0,0.0
2022-05-01,0,0.0
2022-05-02,0,0.0
2022-05-03,0,0.0
2022-05-04,0,0.0
2022-05-05,0,0.0
2022-05-06,0,0.0
2022-05-07,0,0.0
2022-05-08,0,0.0
2022-05-09,0,0.0
2022-05-10,0,0.0
2022-05-11,0,0.0
2022-05-12,1,358.9925
2022-05-13,1,358.9925
2022-05-14,0,0.0
2022-05-15,0,0.0
2022-05-16,2,358.9925
2022-05-17,0,0.0
2022-05-18,1,358.9925
2022-05-19,1,358.9925
2022-05-20,0,0.0
2022-05-21,2,358.9925
2022-05-22,2,358.9925
2022-05-23,1,358.9925
2022-05-24,0,0.0
2022-05-25,0,0.0
2022-05-26,0,0.0
2022-05-27,1,358.9925
2022-05-28,0,0.0
2022-05-29,1,358.9925
2022-05-30,0,0.0
2022-05-31,6,358.9925
2022-06-01,1,358.9925
2022-06-02,5,358.9925
2022-06-03,4,358.9925
2022-06-04,1,358.9925
2022-06-05,3,358.9925
2022-06-06,0,0.0
2022-06-07,0,0.0
2022-06-08,1,358.9925
2022-06-09,0,0.0
2022-06-10,1,358.9925
2022-06-11,1,358.9925
2022-06-12,4,358.9925
2022-06-13,7,358.9925
2022-06-14,2,358.9925
2022-06-15,1,358.9925
2022-06-16,4,358.9925
2022-06-17,0,0.0
2022-06-18,0,0.0
2022-06-19,2,358.9925
2022-06-20,4,358.9925
2022-06-21,0,0.0
2022-06-22,1,358.9925
2022-06-23,2,358.9925
2022-06-24,5,358.9925
2022-06-25,1,358.9925
2022-06-26,3,358.9925
2022-06-27,9,358.9925
2022-06-28,6,358.9925
2022-06-29,8,358.9925
2022-06-30,2,358.9925
2022-07-01,1,358.9925
2022-07-02,2,358.9925
2022-07-03,0,0.0
2022-07-04,0,0.0
2022-07-05,0,0.0
2022-07-06,0,0.0
2022-07-07,2,358.9925
2022-07-08,1,358.9925
2022-07-09,0,0.0
2022-07-10,0,0.0
2022-07-11,0,0.0
2022-07-12,93,358.9925
2022-07-13,85,358.9925
2022-07-14,39,358.9925
2022-07-15,23,358.9925
2022-07-16,20,358.9925
2022-07-17,21,358.9925
2022-07-18,9,358.9925
2022-07-19,16,358.9925
2022-07-20,6,358.9925
2022-07-21,2,358.9925
2022-07-22,5,358.9925
2022-07-23,15,358.9925
2022-07-24,10,358.9925
2022-07-25,6,358.9925
2022-07-26,4,358.9925
2022-07-27,7,358.9925
2022-07-28,5,358.9925
2022-07-29,1,358.9925
2022-07-30,0,0.0
2022-07-31,0,0.0
2022-08-01,1,358.9925
2022-08-02,1,358.9925
2022-08-03,1,358.9925
2022-08-04,0,0.0
2022-08-05,2,358.9925
2022-08-06,5,999.95
2022-08-07,3,119.994
2022-08-08,1,358.9925
2022-08-09,4,358.9925
2022-08-10,1,358.9925
2022-08-11,2,358.9925
2022-08-12,3,358.9925
2022-08-13,2,358.9925
2022-08-14,0,0.0
2022-08-15,1,358.9925
2022-08-16,0,0.0
2022-08-17,1,358.9925
2022-08-18,0,0.0
2022-08-19,0,0.0
2022-08-20,0,0.0
2022-08-21,1,358.9925
2022-08-22,0,0.0
2022-08-23,1,358.9925
