date,units,unit_price
2022-04-27,0,0.0
2022-04-28,0,0.0
2022-04-29,0,0.0
2022-04-30,0,0.0
2022-05-01,0,0.0
2022-05-02,0,0.0
2022-05-03,0,0.0
2022-05-04,0,0.0
2022-05-05,0,0.0
2022-05-06,0,0.0
2022-05-07,0,0.0
2022-05-08,0,0.0
2022-05-09,0,0.0
2022-05-10,0,0.0
2022-05-11,2,349.0
2022-05-12,4,349.0
2022-05-13,0,0.0
2022-05-14,0,0.0
2022-05-15,1,349.0
2022-05-16,0,0.0
2022-05-17,1,349.0
2022-05-18,0,0.0
2022-05-19,0,0.0
2022-05-20,0,0.0
2022-05-21,1,349.0
2022-05-22,0,0.0
2022-05-23,0,0.0
2022-05-24,0,0.0
2022-05-25,0,0.0
2022-05-26,0,0.0
2022-05-27,0,0.0
2022-05-28,1,349.0
2022-05-29,0,0.0
2022-05-30,0,0.0
2022-05-31,0,0.0
2022-06-01,0,0.0
2022-06-02,0,0.0
2022-06-03,0,0.0
2022-06-04,0,0.0
2022-06-05,0,0.0
2022-06-06,0,0.0
2022-06-07,0,0.0
2022-06-08,1,349.0
2022-06-09,1,349.0
2022-06-10,2,349.0
2022-06-11,0,0.0
2022-06-12,0,0.0
2022-06-13,4,349.0
2022-06-14,3,349.0
2022-06-15,0,0.0
2022-06-16,1,349.0
2022-06-17,0,0.0
2022-06-18,0,0.0
2022-06-19,2,349.0
2022-06-20,0,0.0
2022-06-21,1,349.0
2022-06-22,5,349.0
2022-06-23,3,349.0
2022-06-24,8,349.0
2022-06-25,5,349.0
2022-06-26,1,349.0
2022-06-27,3,349.0
2022-06-28,1,349.0
2022-06-29,2,349.0
2022-06-30,3,349.0
2022-07-01,4,349.0
2022-07-02,3,349.0
2022-07-03,0,0.0
2022-07-04,2,349.0
2022-07-05,2,349.0
2022-07-06,3,349.0
2022-07-07,0,0.0
2022-07-08,2,349.0
2022-07-09,1,349.0
2022-07-10,5,349.0
2022-07-11,2,349.0
2022-07-12,3,349.0
2022-07-13,0,0.0
2022-07-14,0,0.0
2022-07-15,4,349.0
2022-07-16,2,349.0
2022-07-17,6,349.0
2022-07-18,0,0.0
2022-07-19,2,349.0
2022-07-20,0,0.0
2022-07-21,4,349.0
2022-07-22,0,0.0
2022-07-23,1,349.0
2022-07-24,0,0.0
2022-07-25,0,0.0
2022-07-26,2,349.0
2022-07-27,0,0.0
2022-07-28,0,0.0
2022-07-29,0,0.0
2022-07-30,0,0.0
2022-07-31,0,0.0
2022-08-01,0,0.0
2022-08-02,2,349.0
2022-08-03,0,0.0
2022-08-04,0,0.0
2022-08-05,0,0.0
2022-08-06,1,349.0
2022-08-07,2,349.0
2022-08-08,0,0.0
2022-08-09,0,0.0
2022-08-10,0,0.0
2022-08-11,0,0.0
2022-08-12,0,0.0
2022-08-13,0,0.0
2022-08-14,0,0.0
2022-08-15,0,0.0
2022-08-16,0,0.0
2022-08-17,0,0.0
2022-08-18,0,0.0
2022-08-19,0,0.0
2022-08-20,0,0.0
2022-08-21,0,0.0
2022-08-22,0,0.0
2022-08-23,0,0.0
2022-08-24,1,349.0
2022-08-25,0,0.0
2022-08-26,0,0.0
2022-08-27,0,0.0
2022-08-28,0,26.91
2022-08-29,2,41.86
2022-08-30,0,0.0
2022-08-31,0,0.0
2022-09-01,0,23.54625
2022-09-02,1,26.91
2022-09-03,0,0.0
2022-09-04,0,62.79
2022-09-05,0,0.0
2022-09-06,1,102.41
2022-09-07,0,0.0
2022-09-08,0,0.0
2022-09-09,0,0.0
2022-09-10,0,0.0
2022-09-11,0,0.0
2022-09-12,0,0.0
2022-09-13,0,0.0
2022-09-14,0,0.0
2022-09-15,0,0.0
2022-09-16,0,0.0
2022-09-17,0,0.0
2022-09-18,0,0.0
2022-09-19,0,0.0
2022-09-20,0,0.0
2022-09-21,0,0.0
2022-09-22,0,0.0
2022-09-23,0,0.0
2022-09-24,0,0.0
2022-09-25,0,0.0
2022-09-26,0,0.0
2022-09-27,0,0.0
2022-09-28,0,0.0
2022-09-29,0,0.0
2022-09-30,0,0.0
2022-10-01,0,0.0
2022-10-02,0,0.0
2022-10-03,0,0.0
2022-10-04,0,0.0
2022-10-05,0,0.0
2022-10-06,0,0.0
2022-10-07,0,0.0
2022-10-08,0,0.0
2022-10-09,0,0.0
2022-10-10,0,0.0
2022-10-11,0,0.0
2022-10-12,0,0.0
2022-10-13,0,0.0
2022-10-14,0,0.0
2022-10-15,0,0.0
2022-10-16,0,0.0
2022-10-17,0,0.0
2022-10-18,1,349.0
2022-10-19,2,349.0
2022-10-20,0,0.0
2022-10-21,2,349.0
2022-10-22,0,0.0
2022-10-23,0,0.0
2022-11-08,0,0.0
2022-11-09,0,0.0
2022-11-10,0,0.0
2022-11-11,0,0.0
2022-11-12,0,0.0
2022-11-13,0,0.0
2022-11-14,0,0.0
2022-11-15,3,349.0
2022-11-16,0,0.0
2022-11-17,0,0.0
2022-11-18,1,349.0
2022-11-19,0,0.0
2022-11-20,0,0.0
2022-11-21,0,0.0
2022-11-22,0,0.0
2022-11-23,0,0.0
2022-11-24,8,135.992
2022-11-25,25,96.58522727272728
2022-11-26,8,50.367407407407406
2022-11-27,9,54.63964285714285
2022-11-28,16,36.15267605633802
2022-11-29,10,142.40833333333333
2022-11-30,12,97.13714285714283
2022-12-01,5,49.99705882352941
2022-12-02,20,566.6333333333333
2022-12-03,11,169.99
2022-12-04,14,349.0
2022-12-05,4,97.13714285714283
2022-12-06,1,72.4975
2022-12-07,1,349.0
2022-12-08,1,41.998
2022-12-09,1,124.995
2022-12-10,0,104.995
2022-12-11,3,209.99
2022-12-12,0,0.0
2022-12-13,0,0.0
2022-12-14,2,349.0
2022-12-15,0,0.0
2022-12-16,0,0.0
2022-12-17,0,0.0
2022-12-18,0,0.0
2022-12-19,0,0.0
2022-12-20,0,0.0
2022-12-21,0,0.0
2022-12-22,0,0.0
2022-12-23,1,349.0
2022-12-24,0,0.0
2022-12-25,0,0.0
2022-12-26,3,62.724545454545456
2022-12-27,0,0.0
2022-12-28,2,153.32666666666665
2022-12-29,3,172.4925
2022-12-30,0,0.0
2022-12-31,4,459.98
2023-01-01,0,0.0
2023-01-02,0,0.0
2023-01-03,1,349.0
2023-01-04,2,349.0
2023-01-05,1,349.0
2023-01-06,2,349.0
2023-01-07,0,0.0
2023-01-08,2,349.0
2023-01-09,2,349.0
2023-01-10,0,0.0
2023-01-11,0,0.0
2023-01-12,0,0.0
2023-01-13,2,349.0
2023-01-14,0,0.0
2023-01-15,1,349.0
2023-01-16,0,0.0
2023-01-17,0,0.0
2023-01-18,0,0.0
2023-01-19,0,0.0
2023-01-20,0,0.0
2023-01-21,0,0.0
2023-01-22,0,0.0
2023-01-23,0,0.0
2023-01-24,0,0.0
2023-01-25,0,0.0
2023-01-26,0,0.0
2023-01-27,0,0.0
2023-01-28,0,0.0
2023-01-29,0,0.0
2023-01-30,0,0.0
2023-01-31,0,0.0
2023-02-01,0,0.0
2023-02-02,0,0.0
2023-02-03,0,0.0
2023-02-04,0,0.0
2023-02-05,0,0.0
2023-02-06,0,0.0
2023-02-07,0,0.0
2023-02-08,0,0.0
2023-02-09,0,0.0
2023-02-10,0,0.0
2023-02-11,0,0.0
2023-02-12,0,0.0
2023-02-13,0,0.0
2023-02-14,0,0.0
2023-02-15,0,0.0
2023-02-16,0,0.0
2023-02-17,0,0.0
2023-02-18,0,0.0
2023-02-19,0,0.0
2023-02-20,0,0.0
2023-02-21,0,0.0
2023-02-22,0,0.0
2023-02-23,0,0.0
2023-02-24,0,0.0
2023-02-25,0,0.0
2023-02-26,0,0.0
2023-02-27,0,0.0
2023-02-28,0,0.0
2023-03-01,0,0.0
2023-03-02,0,0.0
2023-03-03,3,541.29
2023-03-04,0,180.43
2023-03-05,1,119.995
2023-03-06,0,0.0
2023-03-07,0,0.0
2023-03-08,0,0.0
2023-03-09,1,349.0
2023-03-10,0,0.0
2023-03-11,1,239.99
2023-03-12,0,0.0
2023-03-13,0,0.0
2023-03-14,0,0.0
2023-03-15,0,0.0
2023-03-16,0,0.0
2023-03-17,1,349.0
2023-03-18,0,0.0
2023-03-19,0,0.0
2023-03-20,0,0.0
2023-03-21,0,0.0
2023-03-22,0,0.0
2023-03-23,0,0.0
2023-03-24,0,0.0
2023-03-25,8,349.0
2023-03-26,6,349.0
2023-03-27,0,0.0
2023-03-28,2,349.0
2023-03-29,0,0.0
2023-03-30,0,0.0
2023-03-31,2,349.0
2023-04-01,3,349.0
2023-04-02,0,0.0
2023-04-03,0,0.0
2023-04-04,0,0.0
2023-04-05,0,0.0
2023-04-06,0,0.0
2023-04-07,0,0.0
