date,units,unit_price
2022-05-12,0,0.0
2022-05-13,0,0.0
2022-05-14,0,0.0
2022-05-15,1,438.0
2022-05-16,0,0.0
2022-05-17,1,438.0
2022-05-18,0,0.0
2022-05-19,3,438.0
2022-05-20,0,0.0
2022-05-21,2,438.0
2022-05-22,1,438.0
2022-05-23,0,0.0
2022-05-24,0,0.0
2022-05-25,0,0.0
2022-05-26,2,438.0
2022-05-27,1,438.0
2022-05-28,1,438.0
2022-05-29,1,438.0
2022-05-30,1,438.0
2022-05-31,0,0.0
2022-06-01,0,0.0
2022-06-02,1,438.0
2022-06-03,2,438.0
2022-06-04,1,438.0
2022-06-05,2,438.0
2022-06-06,3,438.0
2022-06-07,1,438.0
2022-06-08,0,0.0
2022-06-09,0,0.0
2022-06-10,1,438.0
2022-06-11,1,438.0
2022-06-12,0,0.0
2022-06-13,1,438.0
2022-06-14,2,438.0
2022-06-15,0,0.0
2022-06-16,1,438.0
2022-06-17,1,438.0
2022-06-18,0,0.0
2022-06-19,2,438.0
2022-06-20,0,0.0
2022-06-21,2,438.0
2022-06-22,1,438.0
2022-06-23,1,438.0
2022-06-24,0,0.0
2022-06-25,0,0.0
2022-06-26,0,0.0
2022-06-27,1,438.0
2022-06-28,1,438.0
2022-06-29,2,438.0
2022-06-30,1,438.0
2022-07-01,0,0.0
2022-07-02,0,0.0
2022-07-03,0,0.0
2022-07-04,0,0.0
2022-07-05,0,0.0
2022-07-06,0,0.0
2022-07-07,0,0.0
2022-07-08,0,0.0
2022-07-09,0,0.0
2022-07-10,0,0.0
2022-07-11,0,0.0
2022-07-12,2,438.0
2022-07-13,0,0.0
2022-07-14,0,0.0
2022-07-15,1,438.0
2022-07-16,0,0.0
2022-07-17,0,0.0
2022-07-18,0,0.0
2022-07-19,0,0.0
2022-07-20,0,0.0
2022-07-21,1,438.0
2022-07-22,0,0.0
2022-07-23,1,438.0
2022-07-24,6,438.0
2022-07-25,7,438.0
2022-07-26,2,438.0
2022-07-27,8,438.0
2022-07-28,2,438.0
2022-07-29,6,438.0
2022-07-30,2,438.0
2022-07-31,3,438.0
2022-08-01,4,438.0
2022-08-02,6,438.0
2022-08-03,7,438.0
2022-08-04,5,438.0
2022-08-05,3,438.0
2022-08-06,2,438.0
2022-08-07,0,0.0
2022-08-08,1,438.0
2022-08-09,0,0.0
2022-08-10,1,438.0
2022-08-11,2,438.0
2022-08-12,0,0.0
2022-08-13,0,0.0
2022-08-14,1,438.0
2022-08-15,0,0.0
2022-08-16,0,0.0
2022-08-17,0,0.0
2022-08-18,0,0.0
2022-08-19,0,0.0
2022-08-20,1,438.0
2022-08-21,0,0.0
2022-08-22,0,0.0
2022-08-23,0,0.0
2022-08-24,0,0.0
2022-08-25,0,0.0
2022-08-26,0,0.0
2022-08-27,7,438.0
2022-08-28,8,438.0
2022-08-29,2,438.0
2022-08-30,3,438.0
2022-08-31,3,438.0
2022-09-01,1,438.0
2022-09-02,7,438.0
2022-09-03,7,438.0
2022-09-04,9,438.0
2022-09-05,7,438.0
2022-09-06,2,438.0
2022-09-07,3,438.0
2022-09-08,2,438.0
2022-09-09,4,438.0
2022-09-10,2,438.0
2022-09-11,4,438.0
2022-09-12,3,438.0
2022-09-13,1,438.0
2022-09-14,1,438.0
2022-09-15,4,438.0
2022-09-16,0,0.0
2022-09-17,0,0.0
2022-09-18,4,438.0
2022-09-19,1,438.0
2022-09-20,1,438.0
2022-09-21,1,438.0
2022-09-22,2,438.0
2022-09-23,1,438.0
2022-09-24,2,438.0
2022-09-25,1,438.0
2022-09-26,0,0.0
2022-09-27,1,438.0
2022-09-28,0,0.0
2022-09-29,1,438.0
2022-09-30,3,438.0
2022-10-01,0,0.0
2022-10-02,2,438.0
2022-10-03,1,438.0
2022-10-04,0,0.0
2022-10-05,0,0.0
2022-10-06,0,0.0
2022-10-07,1,438.0
2022-10-08,0,0.0
2022-10-09,0,0.0
2022-10-10,1,438.0
2022-10-11,0,0.0
2022-10-12,2,438.0
2022-10-13,0,0.0
2022-10-14,0,0.0
2022-10-15,1,438.0
2022-10-16,0,0.0
2022-10-17,0,0.0
2022-10-18,0,0.0
2022-10-19,0,0.0
2022-10-20,1,438.0
2022-10-21,0,0.0
2022-10-22,2,438.0
2022-10-23,1,438.0
2022-10-24,1,438.0
2022-10-25,1,438.0
2022-10-26,0,0.0
2022-10-27,0,0.0
2022-10-28,1,438.0
2022-10-29,0,0.0
2022-10-30,0,0.0
2022-10-31,0,0.0
2022-11-01,2,438.0
2022-11-02,0,0.0
2022-11-03,0,0.0
2022-11-04,0,0.0
2022-11-05,0,0.0
2022-11-06,1,438.0
2022-11-07,1,438.0
2022-11-08,1,438.0
2022-11-09,0,0.0
2022-11-10,0,0.0
2022-11-11,1,438.0
2022-11-12,0,0.0
2022-11-13,0,0.0
2022-11-14,0,0.0
2022-11-15,1,438.0
2022-11-16,0,0.0
2022-11-17,1,438.0
2022-11-18,3,438.0
2022-11-19,2,438.0
2022-11-20,4,438.0
2022-11-21,10,438.0
2022-11-22,10,438.0
2022-11-23,11,438.0
2022-11-24,21,438.0
2022-11-25,49,438.0
2022-11-26,23,438.0
2022-11-27,26,438.0
2022-11-28,54,438.0
2022-11-29,9,438.0
2022-11-30,24,438.0
2022-12-01,13,438.0
2022-12-02,0,0.0
2022-12-03,0,0.0
2022-12-04,0,0.0
2022-12-05,0,0.0
2022-12-06,0,0.0
2022-12-07,0,0.0
2022-12-08,0,0.0
2022-12-09,0,0.0
2022-12-10,0,0.0
2022-12-11,0,0.0
2022-12-12,0,0.0
2022-12-13,0,0.0
2022-12-14,0,0.0
2022-12-15,0,0.0
2022-12-16,0,0.0
2022-12-17,0,0.0
2022-12-18,0,0.0
2022-12-19,0,0.0
2022-12-20,0,0.0
2022-12-21,0,0.0
2022-12-22,0,0.0
2022-12-23,1,438.0
2022-12-24,2,438.0
2022-12-25,0,0.0
2022-12-26,1,438.0
2022-12-27,2,438.0
2022-12-28,3,438.0
2022-12-29,2,438.0
2022-12-30,7,438.0
2022-12-31,0,0.0
2023-01-01,2,438.0
2023-01-02,1,438.0
2023-01-03,0,0.0
2023-01-04,0,0.0
2023-01-05,0,0.0
2023-01-06,0,0.0
2023-01-07,0,0.0
2023-01-08,0,0.0
2023-01-09,0,0.0
2023-01-10,0,0.0
2023-01-11,8,1076.0
2023-01-12,5,192.1428571428572
2023-01-13,6,538.0
2023-01-14,0,0.0
2023-01-15,0,0.0
2023-01-16,0,0.0
2023-01-17,0,0.0
2023-01-18,0,0.0
2023-01-19,0,0.0
2023-01-20,0,0.0
2023-01-21,0,0.0
2023-01-22,0,0.0
2023-01-23,0,0.0
2023-01-24,0,0.0
2023-01-25,2,269.0
2023-01-26,0,0.0
2023-01-27,2,179.33333333333331
2023-01-28,3,134.5
2023-01-29,3,161.4
2023-01-30,1,438.0
2023-01-31,0,0.0
2023-02-01,1,438.0
2023-02-02,0,0.0
2023-02-03,0,0.0
2023-02-04,0,0.0
2023-02-05,0,0.0
2023-02-06,0,0.0
2023-02-07,1,438.0
2023-02-08,0,0.0
2023-02-09,3,438.0
2023-02-10,9,438.0
2023-02-11,12,438.0
2023-02-12,12,438.0
2023-02-13,11,438.0
2023-02-14,11,438.0
2023-02-15,13,438.0
2023-02-16,17,438.0
2023-02-17,13,438.0
2023-02-18,12,438.0
2023-02-19,15,438.0
2023-02-20,13,438.0
2023-02-21,19,438.0
2023-02-22,32,438.0
2023-02-23,55,438.0
2023-02-24,29,438.0
2023-02-25,46,438.0
2023-02-26,43,438.0
2023-02-27,24,438.0
2023-02-28,31,438.0
2023-03-01,28,438.0
2023-03-02,5,438.0
2023-03-03,7,438.0
2023-03-04,5,438.0
2023-03-05,2,438.0
2023-03-06,1,438.0
2023-03-07,2,438.0
2023-03-08,5,438.0
2023-03-09,1,438.0
2023-03-10,1,438.0
2023-03-11,0,0.0
2023-03-12,1,438.0
2023-03-13,0,0.0
2023-03-14,2,438.0
2023-03-15,0,0.0
2023-03-16,0,0.0
2023-03-17,0,0.0
2023-03-18,0,0.0
2023-03-19,1,438.0
2023-03-20,0,0.0
2023-03-21,1,438.0
2023-03-22,0,0.0
2023-03-23,0,0.0
2023-03-24,0,0.0
2023-03-25,1,438.0
2023-03-26,0,0.0
2023-03-27,0,0.0
2023-03-28,0,0.0
2023-03-29,0,0.0
2023-03-30,0,33.07
2023-03-31,2,438.0
2023-04-01,0,0.0
2023-04-02,0,0.0
2023-04-03,0,0.0
2023-04-04,0,0.0
2023-04-05,1,83.58333333333333
2023-04-06,0,0.0
2023-04-07,0,0.0
2023-04-08,0,0.0
2023-04-09,0,0.0
2023-04-10,0,0.0
2023-04-11,0,0.0
2023-04-12,0,0.0
2023-04-13,0,0.0
2023-04-14,0,0.0
2023-04-15,0,0.0
2023-04-16,0,0.0
2023-04-17,0,0.0
2023-04-18,0,0.0
2023-04-19,0,0.0
2023-04-20,0,0.0
2023-04-21,0,0.0
2023-04-22,0,0.0
2023-04-23,0,0.0
2023-04-24,2,438.0
2023-04-25,2,438.0
2023-04-26,0,0.0
2023-04-27,1,438.0
2023-04-28,0,0.0
2023-04-29,1,257.46
2023-04-30,0,0.0
2023-05-01,3,438.0
2023-05-02,1,287.18
2023-05-03,0,0.0
2023-05-04,1,438.0
2023-05-05,0,0.0
2023-05-06,0,0.0
2023-05-07,0,0.0
2023-05-08,0,0.0
2023-05-09,1,284.78
2023-05-10,0,0.0
2023-05-11,0,0.0
2023-05-12,1,438.0
2023-05-13,1,438.0
2023-05-14,0,0.0
2023-05-15,0,0.0
2023-05-16,3,438.0
2023-05-17,1,438.0
2023-05-18,0,0.0
2023-05-19,1,438.0
