date,units,unit_price
2022-04-27,0,0.0
2022-04-28,0,0.0
2022-04-29,0,0.0
2022-04-30,0,0.0
2022-05-01,0,0.0
2022-05-02,0,0.0
2022-05-03,0,0.0
2022-05-04,0,0.0
2022-05-05,0,0.0
2022-05-06,0,0.0
2022-05-07,0,0.0
2022-05-08,0,0.0
2022-05-09,2,273.125
2022-05-10,2,273.125
2022-05-11,2,273.125
2022-05-12,3,273.125
2022-05-13,12,273.125
2022-05-14,5,273.125
2022-05-15,0,0.0
2022-05-16,4,273.125
2022-05-17,6,273.125
2022-05-18,5,273.125
2022-05-19,2,273.125
2022-05-20,1,273.125
2022-05-21,2,273.125
2022-05-22,1,273.125
2022-05-23,2,273.125
2022-05-24,2,273.125
2022-05-25,0,0.0
2022-05-26,2,273.125
2022-05-27,1,273.125
2022-05-28,1,273.125
2022-05-29,9,273.125
2022-05-30,0,0.0
2022-05-31,4,273.125
2022-06-01,0,0.0
2022-06-02,2,273.125
2022-06-03,3,273.125
2022-06-04,2,273.125
2022-06-05,8,273.125
2022-06-06,4,273.125
2022-06-07,1,273.125
2022-06-08,0,0.0
2022-06-09,3,273.125
2022-06-10,0,0.0
2022-06-11,2,273.125
2022-06-12,5,273.125
2022-06-13,3,273.125
2022-06-14,2,273.125
2022-06-15,2,273.125
2022-06-16,1,273.125
2022-06-17,1,273.125
2022-06-18,5,273.125
2022-06-19,0,0.0
2022-06-20,2,273.125
2022-06-21,0,0.0
2022-06-22,1,273.125
2022-06-23,2,273.125
2022-06-24,5,273.125
2022-06-25,6,273.125
2022-06-26,9,273.125
2022-06-27,3,273.125
2022-06-28,8,273.125
2022-06-29,1,273.125
2022-06-30,0,0.0
2022-07-01,0,0.0
2022-07-02,1,273.125
2022-07-03,0,0.0
2022-07-04,2,273.125
2022-07-05,4,273.125
2022-07-06,0,0.0
2022-07-07,0,0.0
2022-07-08,2,273.125
2022-07-09,1,273.125
2022-07-10,3,273.125
2022-07-11,2,273.125
2022-07-12,11,273.125
2022-07-13,2,273.125
2022-07-14,5,273.125
2022-07-15,2,273.125
2022-07-16,5,273.125
2022-07-17,0,0.0
2022-07-18,1,273.125
2022-07-19,0,0.0
2022-07-20,1,273.125
2022-07-21,2,273.125
2022-07-22,1,273.125
2022-07-23,1,273.125
2022-07-24,4,273.125
2022-07-25,0,0.0
2022-07-26,2,273.125
2022-07-27,5,273.125
2022-07-28,7,273.125
2022-07-29,3,273.125
2022-07-30,5,273.125
2022-07-31,0,0.0
2022-08-01,2,273.125
2022-08-02,1,273.125
2022-08-03,1,273.125
2022-08-04,0,0.0
2022-08-05,2,273.125
2022-08-06,4,273.125
2022-08-07,0,0.0
2022-08-08,0,0.0
2022-08-09,0,0.0
2022-08-10,2,273.125
2022-08-11,0,0.0
2022-08-12,2,273.125
2022-08-13,0,0.0
2022-08-14,3,273.125
2022-08-15,0,0.0
2022-08-16,3,273.125
2022-08-17,1,273.125
2022-08-18,2,273.125
2022-08-19,3,273.125
2022-08-20,6,273.125
2022-08-21,2,273.125
2022-08-22,3,273.125
2022-08-23,4,273.125
2022-08-24,2,273.125
2022-08-25,1,273.125
2022-08-26,2,273.125
2022-08-27,3,273.125
2022-08-28,1,273.125
2022-08-29,1,273.125
2022-08-30,2,273.125
2022-08-31,0,0.0
2022-09-01,0,0.0
2022-09-02,0,0.0
2022-09-03,0,0.0
2022-09-04,0,0.0
2022-09-05,2,273.125
2022-09-06,0,0.0
2022-09-07,0,0.0
2022-09-08,1,273.125
2022-09-09,1,273.125
2022-09-10,2,273.125
2022-09-11,0,0.0
2022-09-12,1,273.125
2022-09-13,0,0.0
2022-09-14,0,0.0
2022-09-15,0,0.0
2022-09-16,0,0.0
2022-09-17,1,273.125
2022-09-18,0,0.0
2022-09-19,1,273.125
2022-09-20,0,0.0
2022-09-21,2,273.125
2022-09-22,0,0.0
2022-09-23,0,0.0
2022-09-24,0,0.0
2022-09-25,3,273.125
2022-09-26,1,273.125
2022-09-27,3,273.125
2022-09-28,0,0.0
2022-09-29,1,273.125
2022-09-30,1,273.125
2022-10-01,1,273.125
2022-10-02,2,273.125
2022-10-03,1,273.125
2022-10-04,0,0.0
2022-10-05,0,0.0
2022-10-06,0,0.0
2022-10-07,2,273.125
2022-10-08,0,0.0
2022-10-09,1,273.125
2022-10-10,1,273.125
2022-10-11,1,273.125
2022-10-12,3,273.125
2022-10-13,1,224.71
2022-10-14,0,0.0
2022-10-15,0,0.0
2022-10-16,0,0.0
2022-10-17,0,0.0
2022-10-18,2,273.125
2022-10-19,1,218.14
2022-10-20,2,273.125
2022-10-21,0,0.0
2022-10-22,0,0.0
2022-10-23,0,0.0
2022-10-24,0,0.0
2022-10-25,3,273.125
2022-10-26,0,0.0
2022-10-27,0,0.0
2022-10-28,0,0.0
2022-10-29,0,0.0
2022-10-30,1,273.125
2022-10-31,0,0.0
2022-11-01,0,0.0
2022-11-02,0,0.0
2022-11-03,0,0.0
2022-11-04,2,273.125
2022-11-05,1,273.125
2022-11-06,0,0.0
2022-11-07,0,0.0
2022-11-08,0,0.0
2022-11-09,0,0.0
2022-11-10,2,273.125
2022-11-11,1,273.125
2022-11-12,2,273.125
2022-11-13,2,273.125
2022-11-14,0,0.0
2022-11-15,1,273.125
2022-11-16,0,0.0
2022-11-17,0,0.0
2022-11-18,2,273.125
2022-11-19,3,273.125
2022-11-20,0,0.0
2022-11-21,6,190.8
2022-11-22,4,636.0
2022-11-23,14,2226.0
2022-11-24,4,273.125
2022-11-25,15,795.0
2022-11-26,7,222.6
2022-11-27,10,530.0
2022-11-28,22,273.125
2022-11-29,8,273.125
2022-11-30,0,0.0
2022-12-01,15,273.125
2022-12-02,17,273.125
2022-12-03,8,273.125
2022-12-04,4,273.125
2022-12-05,11,273.125
2022-12-06,4,273.125
2022-12-07,6,273.125
2022-12-08,13,273.125
2022-12-09,10,273.125
2022-12-10,8,273.125
2022-12-11,6,273.125
2022-12-12,10,273.125
2022-12-13,12,273.125
2022-12-14,15,273.125
2022-12-15,12,273.125
2022-12-16,8,273.125
2022-12-17,10,273.125
2022-12-18,11,273.125
2022-12-19,5,273.125
2022-12-20,3,273.125
2022-12-21,3,273.125
2022-12-22,6,273.125
2022-12-23,1,273.125
2022-12-24,3,273.125
2022-12-25,4,273.125
2022-12-26,7,273.125
2022-12-27,2,273.125
2022-12-28,2,273.125
2022-12-29,7,273.125
2022-12-30,6,273.125
2022-12-31,3,273.125
2023-01-01,5,273.125
2023-01-02,3,273.125
2023-01-03,10,273.125
2023-01-04,4,273.125
2023-01-05,8,273.125
2023-01-06,9,273.125
2023-01-07,7,273.125
2023-01-08,9,273.125
2023-01-09,4,636.0
2023-01-10,2,159.0
2023-01-11,0,0.0
2023-01-12,0,0.0
2023-01-13,0,0.0
2023-01-14,0,0.0
2023-01-15,0,0.0
2023-01-16,0,0.0
2023-01-17,0,0.0
2023-01-18,0,0.0
2023-01-19,9,477.0
2023-01-20,6,273.125
2023-01-21,12,1908.0
2023-01-22,6,318.0
2023-01-23,5,273.125
2023-01-24,7,273.125
2023-01-25,9,273.125
2023-01-26,6,273.125
2023-01-27,6,273.125
2023-01-28,1,273.125
2023-01-29,2,273.125
2023-01-30,2,273.125
2023-01-31,3,273.125
2023-02-01,2,273.125
2023-02-02,6,273.125
2023-02-03,4,273.125
2023-02-04,5,273.125
2023-02-05,5,273.125
2023-02-06,2,318.0
2023-02-07,3,79.5
2023-02-08,5,159.0
2023-02-09,6,477.0
2023-02-10,4,127.2
2023-02-11,2,79.5
2023-02-12,2,273.125
2023-02-13,3,159.0
2023-02-14,2,53.0
2023-02-15,7,278.25
2023-02-16,3,159.0
2023-02-17,7,556.5
2023-02-18,5,79.5
2023-02-19,3,39.75
2023-02-20,3,238.5
2023-02-21,5,265.0
2023-02-22,12,1908.0
2023-02-23,14,742.0
2023-02-24,6,954.0
2023-02-25,7,1113.0
2023-02-26,5,265.0
2023-02-27,6,318.0
2023-02-28,6,95.4
2023-03-01,9,477.0
2023-03-02,5,795.0
2023-03-03,10,530.0
2023-03-04,12,212.0
2023-03-05,2,159.0
2023-03-06,6,238.5
2023-03-07,8,212.0
2023-03-08,9,95.4
2023-03-09,18,318.0
2023-03-10,16,282.66666666666663
2023-03-11,12,318.0
2023-03-12,12,112.23529411764704
2023-03-13,16,159.0
2023-03-14,19,335.66666666666663
2023-03-15,17,300.3333333333333
2023-03-16,18,106.0
2023-03-17,23,203.16666666666663
2023-03-18,20,198.75
2023-03-19,16,149.6470588235294
2023-03-20,7,278.25
2023-03-21,10,159.0
2023-03-22,12,127.2
2023-03-23,25,209.21052631578948
2023-03-24,12,136.28571428571428
