date,units,unit_price
2022-04-12,0,0.0
2022-04-13,0,0.0
2022-04-14,0,0.0
2022-04-15,0,0.0
2022-04-16,0,0.0
2022-04-17,0,0.0
2022-04-18,0,0.0
2022-04-19,0,0.0
2022-04-20,0,0.0
2022-04-21,1,726.8
2022-04-22,1,726.8
2022-04-23,0,0.0
2022-04-24,0,0.0
2022-04-25,0,0.0
2022-04-26,0,0.0
2022-04-27,0,0.0
2022-04-28,0,0.0
2022-04-29,1,726.8
2022-04-30,0,0.0
2022-05-01,0,0.0
2022-05-02,0,0.0
2022-05-03,0,0.0
2022-05-04,0,0.0
2022-05-05,0,0.0
2022-05-06,0,0.0
2022-05-07,0,0.0
2022-05-08,0,0.0
2022-05-09,2,726.8
2022-05-10,10,726.8
2022-05-11,17,726.8
2022-05-12,25,726.8
2022-05-13,19,726.8
2022-05-14,19,726.8
2022-05-15,31,726.8
2022-05-16,17,726.8
2022-05-17,17,726.8
2022-05-18,16,726.8
2022-05-19,13,726.8
2022-05-20,12,726.8
2022-05-21,20,726.8
2022-05-22,12,726.8
2022-05-23,11,726.8
2022-05-24,16,726.8
2022-05-25,9,726.8
2022-05-26,23,726.8
2022-05-27,51,726.8
2022-05-28,56,726.8
2022-05-29,32,726.8
2022-05-30,22,726.8
2022-05-31,50,726.8
2022-06-01,47,726.8
2022-06-02,69,726.8
2022-06-03,80,726.8
2022-06-04,63,726.8
2022-06-05,61,726.8
2022-06-06,51,726.8
2022-06-07,38,726.8
2022-06-08,9,726.8
2022-06-09,8,726.8
2022-06-10,10,726.8
2022-06-11,4,726.8
2022-06-12,6,726.8
2022-06-13,4,726.8
2022-06-14,5,726.8
2022-06-15,6,726.8
2022-06-16,1,726.8
2022-06-17,7,726.8
2022-06-18,0,0.0
2022-06-19,2,726.8
2022-06-20,2,726.8
2022-06-21,5,726.8
2022-06-22,6,726.8
2022-06-23,7,726.8
2022-06-24,2,726.8
2022-06-25,9,726.8
2022-06-26,6,726.8
2022-06-27,10,726.8
2022-06-28,10,726.8
2022-06-29,4,726.8
2022-06-30,5,726.8
2022-07-01,1,726.8
2022-07-02,1,726.8
2022-07-03,5,726.8
2022-07-04,0,0.0
2022-07-05,1,726.8
2022-07-06,1,726.8
2022-07-07,0,0.0
2022-07-08,0,0.0
2022-07-09,0,0.0
2022-07-10,0,0.0
2022-07-11,2,726.8
2022-07-12,57,726.8
2022-07-13,104,726.8
2022-07-14,28,726.8
2022-07-15,30,726.8
2022-07-16,17,726.8
2022-07-17,19,726.8
2022-07-18,12,726.8
2022-07-19,4,726.8
2022-07-20,10,726.8
2022-07-21,8,726.8
2022-07-22,4,726.8
2022-07-23,4,726.8
2022-07-24,5,726.8
2022-07-25,6,726.8
2022-07-26,3,726.8
2022-07-27,2,726.8
2022-07-28,2,726.8
2022-07-29,1,726.8
2022-07-30,1,726.8
2022-07-31,0,0.0
2022-08-01,1,726.8
2022-08-02,4,726.8
2022-08-03,0,0.0
2022-08-04,2,726.8
2022-08-05,1,726.8
2022-08-06,0,0.0
2022-08-07,0,0.0
2022-08-08,3,726.8
2022-08-09,0,0.0
2022-08-10,1,726.8
2022-08-11,0,0.0
2022-08-12,0,0.0
2022-08-13,0,0.0
2022-08-14,1,726.8
2022-08-15,1,726.8
2022-08-16,0,0.0
2022-08-17,1,726.8
2022-08-18,0,0.0
2022-08-19,2,726.8
2022-08-20,2,726.8
2022-08-21,0,0.0
2022-08-22,0,0.0
2022-08-23,0,0.0
2022-08-24,0,0.0
2022-08-25,2,726.8
2022-08-26,0,0.0
2022-08-27,3,726.8
2022-08-28,4,726.8
2022-08-29,2,232.14
