date,units,unit_price
2022-04-12,0,0.0
2022-04-13,0,0.0
2022-04-14,0,0.0
2022-04-15,0,0.0
2022-04-16,0,0.0
2022-04-17,0,0.0
2022-04-18,0,0.0
2022-04-19,0,0.0
2022-04-20,0,0.0
2022-04-21,0,0.0
2022-04-22,1,981.715
2022-04-23,0,0.0
2022-04-24,0,0.0
2022-04-25,0,0.0
2022-04-26,0,0.0
2022-04-27,0,0.0
2022-04-28,0,0.0
2022-04-29,1,981.715
2022-04-30,0,0.0
2022-05-01,0,0.0
2022-05-02,0,0.0
2022-05-03,0,0.0
2022-05-04,1,981.715
2022-05-05,0,0.0
2022-05-06,1,981.715
2022-05-07,1,981.715
2022-05-08,1,981.715
2022-05-09,0,0.0
2022-05-10,0,0.0
2022-05-11,0,0.0
2022-05-12,0,0.0
2022-05-13,0,0.0
2022-05-14,0,0.0
2022-05-15,1,981.715
2022-05-16,0,0.0
2022-05-17,0,0.0
2022-05-18,0,0.0
2022-05-19,0,0.0
2022-05-20,0,0.0
2022-05-21,0,0.0
2022-05-22,1,981.715
2022-05-23,0,0.0
2022-05-24,0,0.0
2022-05-25,0,0.0
2022-05-26,0,0.0
2022-05-27,0,0.0
2022-05-28,0,0.0
2022-05-29,1,981.715
2022-05-30,1,981.715
2022-05-31,0,0.0
2022-06-01,0,0.0
2022-06-02,0,0.0
2022-06-03,0,0.0
2022-06-04,0,0.0
2022-06-05,0,0.0
2022-06-06,0,0.0
2022-06-07,0,0.0
2022-06-08,5,981.715
2022-06-09,10,981.715
2022-06-10,12,981.715
2022-06-11,10,981.715
2022-06-12,13,981.715
2022-06-13,12,981.715
2022-06-14,6,981.715
2022-06-15,1,981.715
2022-06-16,1,981.715
2022-06-17,0,0.0
2022-06-18,0,0.0
2022-06-19,2,981.715
2022-06-20,1,981.715
2022-06-21,1,981.715
2022-06-22,1,981.715
2022-06-23,2,981.715
2022-06-24,2,981.715
2022-06-25,4,981.715
2022-06-26,6,981.715
2022-06-27,3,981.715
2022-06-28,4,981.715
2022-06-29,5,981.715
2022-06-30,0,0.0
2022-07-01,4,981.715
2022-07-02,1,981.715
2022-07-03,0,0.0
2022-07-04,2,981.715
2022-07-05,1,981.715
2022-07-06,2,981.715
2022-07-07,0,0.0
2022-07-08,1,981.715
2022-07-09,0,0.0
2022-07-10,2,981.715
2022-07-11,2,981.715
2022-07-12,1,981.715
2022-07-13,9,981.715
2022-07-14,0,0.0
2022-07-15,2,981.715
2022-07-16,4,981.715
2022-07-17,0,0.0
2022-07-18,2,981.715
2022-07-19,4,981.715
2022-07-20,6,981.715
2022-07-21,5,981.715
2022-07-22,5,981.715
2022-07-23,3,981.715
2022-07-24,2,981.715
2022-07-25,2,981.715
2022-07-26,5,981.715
2022-07-27,6,981.715
2022-07-28,12,981.715
2022-07-29,5,981.715
2022-07-30,3,981.715
2022-07-31,10,981.715
2022-08-01,1,981.715
2022-08-02,3,981.715
2022-08-03,11,981.715
2022-08-04,3,981.715
2022-08-05,8,981.715
2022-08-06,5,981.715
2022-08-07,0,0.0
2022-08-08,10,981.715
2022-08-09,6,981.715
2022-08-10,10,981.715
2022-08-11,6,981.715
2022-08-12,3,981.715
2022-08-13,0,0.0
2022-08-14,0,0.0
2022-08-15,5,981.715
2022-08-16,3,981.715
2022-08-17,2,981.715
2022-08-18,2,981.715
2022-08-19,0,0.0
2022-08-20,1,981.715
2022-08-21,19,981.715
2022-08-22,0,0.0
2022-08-23,1,981.715
2022-08-24,3,981.715
2022-08-25,0,0.0
2022-08-26,2,981.715
2022-08-27,18,1682.94
2022-08-28,14,981.715
2022-08-29,23,6451.27
