date,units,unit_price
2022-04-12,0,0.0
2022-04-13,0,0.0
2022-04-14,0,0.0
2022-04-15,0,0.0
2022-04-16,0,0.0
2022-04-17,0,0.0
2022-04-18,0,0.0
2022-04-19,1,595.4
2022-04-20,0,0.0
2022-04-21,1,595.4
2022-04-22,0,0.0
2022-04-23,0,0.0
2022-04-24,0,0.0
2022-04-25,0,0.0
2022-04-26,2,595.4
2022-04-27,0,0.0
2022-04-28,1,595.4
2022-04-29,0,0.0
2022-04-30,0,0.0
2022-05-01,0,0.0
2022-05-02,0,0.0
2022-05-03,0,0.0
2022-05-04,0,0.0
2022-05-05,5,595.4
2022-05-06,1,595.4
2022-05-07,1,595.4
2022-05-08,15,595.4
2022-05-09,21,595.4
2022-05-10,10,595.4
2022-05-11,16,595.4
2022-05-12,24,595.4
2022-05-13,27,595.4
2022-05-14,22,595.4
2022-05-15,37,595.4
2022-05-16,38,595.4
2022-05-17,34,595.4
2022-05-18,19,595.4
2022-05-19,17,595.4
2022-05-20,24,595.4
2022-05-21,15,595.4
2022-05-22,14,595.4
2022-05-23,22,595.4
2022-05-24,32,595.4
2022-05-25,30,595.4
2022-05-26,33,595.4
2022-05-27,23,595.4
2022-05-28,24,595.4
2022-05-29,23,595.4
2022-05-30,20,595.4
2022-05-31,13,595.4
2022-06-01,28,595.4
2022-06-02,40,595.4
2022-06-03,45,595.4
2022-06-04,49,595.4
2022-06-05,48,595.4
2022-06-06,33,595.4
2022-06-07,8,595.4
2022-06-08,15,595.4
2022-06-09,16,595.4
2022-06-10,17,595.4
2022-06-11,15,595.4
2022-06-12,23,595.4
2022-06-13,21,595.4
2022-06-14,21,595.4
2022-06-15,24,595.4
2022-06-16,19,595.4
2022-06-17,17,595.4
2022-06-18,20,595.4
2022-06-19,23,595.4
2022-06-20,29,595.4
2022-06-21,9,595.4
2022-06-22,19,595.4
2022-06-23,8,595.4
2022-06-24,0,0.0
2022-06-25,6,595.4
2022-06-26,6,595.4
2022-06-27,3,595.4
2022-06-28,22,595.4
2022-06-29,16,595.4
2022-06-30,20,595.4
2022-07-01,9,595.4
2022-07-02,16,595.4
2022-07-03,14,595.4
2022-07-04,8,595.4
2022-07-05,12,595.4
2022-07-06,7,595.4
2022-07-07,15,595.4
2022-07-08,27,595.4
2022-07-09,7,595.4
2022-07-10,23,595.4
2022-07-11,25,595.4
2022-07-12,81,595.4
2022-07-13,43,595.4
2022-07-14,16,595.4
2022-07-15,33,595.4
2022-07-16,52,595.4
2022-07-17,70,595.4
2022-07-18,116,595.4
2022-07-19,117,595.4
2022-07-20,148,595.4
2022-07-21,165,595.4
2022-07-22,134,595.4
2022-07-23,115,595.4
2022-07-24,132,595.4
2022-07-25,63,595.4
2022-07-26,9,595.4
2022-07-27,5,595.4
2022-07-28,0,0.0
2022-07-29,0,0.0
2022-07-30,0,0.0
2022-07-31,2,595.4
2022-08-01,10,595.4
2022-08-02,78,595.4
2022-08-03,56,595.4
2022-08-04,64,595.4
2022-08-05,55,595.4
2022-08-06,28,266.0
2022-08-07,2,418.0
2022-08-08,59,595.4
2022-08-09,41,595.4
2022-08-10,29,595.4
2022-08-11,42,595.4
2022-08-12,32,595.4
2022-08-13,6,595.4
2022-08-14,12,595.4
2022-08-15,41,595.4
2022-08-16,28,595.4
2022-08-17,29,595.4
2022-08-18,16,595.4
2022-08-19,31,595.4
2022-08-20,22,595.4
2022-08-21,12,595.4
2022-08-22,14,595.4
2022-08-23,29,595.4
2022-08-24,32,595.4
2022-08-25,17,595.4
2022-08-26,24,595.4
2022-08-27,29,340.3327777777778
2022-08-28,48,401.28
