date,units,unit_price
2022-04-27,0,0.0
2022-04-28,0,0.0
2022-04-29,0,0.0
2022-04-30,0,0.0
2022-05-01,0,0.0
2022-05-02,0,0.0
2022-05-03,0,0.0
2022-05-04,0,0.0
2022-05-05,0,0.0
2022-05-06,0,0.0
2022-05-07,0,0.0
2022-05-08,0,0.0
2022-05-09,0,0.0
2022-05-10,0,0.0
2022-05-11,1,96.75
2022-05-12,0,0.0
2022-05-13,0,0.0
2022-05-14,0,0.0
2022-05-15,0,0.0
2022-05-16,0,0.0
2022-05-17,0,0.0
2022-05-18,0,0.0
2022-05-19,0,0.0
2022-05-20,0,0.0
2022-05-21,0,0.0
2022-05-22,0,0.0
2022-05-23,0,0.0
2022-05-24,0,0.0
2022-05-25,0,0.0
2022-05-26,0,0.0
2022-05-27,2,96.75
2022-05-28,1,96.75
2022-05-29,1,96.75
2022-05-30,0,0.0
2022-05-31,2,96.75
2022-06-01,0,0.0
2022-06-02,1,96.75
2022-06-03,1,96.75
2022-06-04,3,96.75
2022-06-05,0,0.0
2022-06-06,0,0.0
2022-06-07,0,0.0
2022-06-08,1,96.75
2022-06-09,0,0.0
2022-06-10,0,0.0
2022-06-11,0,0.0
2022-06-12,1,96.75
2022-06-13,0,0.0
2022-06-14,0,0.0
2022-06-15,0,0.0
2022-06-16,2,96.75
2022-06-17,0,0.0
2022-06-18,0,0.0
2022-06-19,0,0.0
2022-06-20,0,0.0
2022-06-21,0,0.0
2022-06-22,3,96.75
2022-06-23,0,0.0
2022-06-24,1,96.75
2022-06-25,7,96.75
2022-06-26,1,96.75
2022-06-27,1,96.75
2022-06-28,2,96.75
2022-06-29,1,96.75
2022-06-30,1,96.75
2022-07-01,0,0.0
2022-07-02,0,0.0
2022-07-03,1,96.75
2022-07-04,0,0.0
2022-07-05,2,96.75
2022-07-06,2,96.75
2022-07-07,0,0.0
2022-07-08,0,0.0
2022-07-09,0,0.0
2022-07-10,0,0.0
2022-07-11,0,0.0
2022-07-12,1,96.75
2022-07-13,0,0.0
2022-07-14,0,0.0
2022-07-15,0,0.0
2022-07-16,0,0.0
2022-07-17,1,96.75
2022-07-18,1,96.75
2022-07-19,0,0.0
2022-07-20,0,0.0
2022-07-21,2,96.75
2022-07-22,1,96.75
2022-07-23,0,0.0
2022-07-24,1,96.75
2022-07-25,0,0.0
2022-07-26,0,0.0
2022-07-27,0,0.0
2022-07-28,0,0.0
2022-07-29,0,0.0
2022-07-30,0,0.0
2022-07-31,1,96.75
2022-08-01,3,96.75
2022-08-02,0,0.0
2022-08-03,2,96.75
2022-08-04,0,0.0
2022-08-05,2,96.75
2022-08-06,3,484.26
2022-08-07,3,484.26
2022-08-08,0,0.0
2022-08-09,0,0.0
2022-08-10,1,96.75
2022-08-11,0,0.0
2022-08-12,0,0.0
2022-08-13,1,96.75
2022-08-14,2,96.75
2022-08-15,0,0.0
2022-08-16,0,0.0
2022-08-17,0,0.0
2022-08-18,0,0.0
2022-08-19,0,0.0
2022-08-20,0,0.0
2022-08-21,0,0.0
2022-08-22,0,0.0
2022-08-23,1,96.75
2022-08-24,0,0.0
2022-08-25,0,0.0
2022-08-26,1,96.75
2022-08-27,0,0.0
2022-08-28,3,96.75
2022-08-29,6,885.18
2022-08-30,15,2212.95
2022-08-31,1,96.75
2022-09-01,3,96.75
2022-09-02,0,0.0
2022-09-03,2,147.53
2022-09-04,0,0.0
2022-09-05,0,0.0
2022-09-06,0,0.0
2022-09-07,0,0.0
2022-09-08,0,0.0
2022-09-09,0,0.0
2022-09-10,0,0.0
2022-09-11,0,0.0
2022-09-12,0,0.0
2022-09-13,0,0.0
2022-09-14,0,0.0
2022-09-15,0,0.0
2022-09-16,0,0.0
2022-09-17,0,0.0
2022-09-18,0,0.0
2022-09-19,0,0.0
2022-09-20,0,0.0
2022-09-21,0,0.0
2022-09-22,0,0.0
2022-09-23,0,0.0
2022-09-24,0,0.0
2022-09-25,0,0.0
2022-09-26,0,0.0
2022-09-27,0,0.0
2022-09-28,0,0.0
2022-09-29,0,0.0
2022-09-30,0,0.0
2022-10-01,1,96.75
2022-10-02,0,0.0
2022-10-03,0,0.0
2022-10-04,0,0.0
2022-10-05,0,0.0
2022-10-06,0,0.0
2022-10-07,0,0.0
2022-10-08,0,0.0
2022-10-24,0,0.0
2022-10-25,0,0.0
2022-10-26,0,0.0
2022-10-27,0,0.0
2022-10-28,0,0.0
2022-10-29,0,0.0
2022-10-30,0,0.0
2022-10-31,0,0.0
2022-11-01,0,0.0
2022-11-02,0,0.0
2022-11-03,0,0.0
2022-11-04,0,0.0
2022-11-05,0,0.0
2022-11-06,0,0.0
2022-11-07,1,96.75
2022-11-08,0,0.0
2022-11-09,0,0.0
2022-11-10,0,0.0
2022-11-11,0,0.0
2022-11-12,0,0.0
2022-11-13,3,96.75
2022-11-14,0,0.0
2022-11-15,0,0.0
2022-11-16,0,0.0
2022-11-17,0,0.0
2022-11-18,0,0.0
2022-11-19,2,96.75
2022-11-20,3,96.75
2022-11-21,0,0.0
2022-11-22,0,0.0
2022-11-23,0,0.0
2022-11-24,0,0.0
2022-11-25,2,96.75
2022-11-26,0,0.0
2022-11-27,0,0.0
2022-11-28,1,96.75
2022-11-29,0,0.0
2022-11-30,0,0.0
2022-12-01,3,96.75
2022-12-02,0,0.0
2022-12-03,0,0.0
2022-12-04,2,96.75
2022-12-05,2,99.99333333333333
2022-12-06,1,96.75
2022-12-07,2,299.98
2022-12-08,2,149.99
2022-12-09,1,74.995
2022-12-10,0,0.0
2022-12-11,0,0.0
2022-12-12,2,96.75
2022-12-13,0,0.0
2022-12-14,2,96.75
2022-12-15,1,96.75
2022-12-16,0,0.0
2022-12-17,1,96.75
2022-12-18,0,0.0
2022-12-19,0,0.0
2022-12-20,2,96.75
2022-12-21,1,96.75
2022-12-22,1,96.75
2022-12-23,0,0.0
2022-12-24,0,0.0
2022-12-25,1,96.75
2022-12-26,1,96.75
2022-12-27,1,96.75
2022-12-28,3,96.75
2022-12-29,1,96.75
2022-12-30,1,96.75
2022-12-31,3,96.75
2023-01-01,0,0.0
2023-01-02,1,96.75
2023-01-03,1,96.75
2023-01-04,0,0.0
2023-01-05,0,0.0
2023-01-06,1,96.75
2023-01-07,3,96.75
2023-01-08,0,0.0
2023-01-09,0,0.0
2023-01-10,0,0.0
2023-01-11,0,0.0
2023-01-12,0,0.0
2023-01-13,0,0.0
2023-01-14,2,96.75
2023-01-15,0,0.0
2023-01-16,0,0.0
2023-01-17,0,0.0
2023-01-18,0,0.0
2023-01-19,0,0.0
2023-01-20,0,0.0
2023-01-21,0,0.0
2023-01-22,0,0.0
2023-01-23,0,0.0
2023-01-24,0,0.0
2023-01-25,0,0.0
2023-01-26,0,0.0
2023-01-27,0,0.0
2023-01-28,0,0.0
2023-01-29,2,96.75
2023-01-30,0,0.0
2023-01-31,0,0.0
2023-02-01,1,96.75
2023-02-02,0,0.0
2023-02-03,1,148.99
2023-02-04,0,0.0
2023-02-05,1,37.2475
2023-02-06,0,0.0
2023-02-07,0,0.0
2023-02-08,2,96.75
2023-02-09,0,0.0
2023-02-10,0,0.0
2023-02-11,0,0.0
2023-02-12,0,0.0
2023-02-13,0,0.0
2023-02-14,0,0.0
2023-02-15,0,0.0
2023-02-16,0,0.0
2023-02-17,0,0.0
2023-02-18,0,0.0
2023-02-19,1,74.495
2023-02-20,1,49.66333333333333
2023-02-21,0,0.0
2023-02-22,1,37.2475
2023-02-23,3,55.87125
2023-02-24,1,7.38111111111111
2023-02-25,1,14.793333333333331
2023-02-26,7,103.42111111111112
2023-02-27,2,26.292
2023-02-28,2,65.075
2023-03-01,5,54.25416666666666
2023-03-02,2,23.329090909090908
2023-03-03,8,42.7325
2023-03-04,4,34.00266666666666
2023-03-05,8,63.44
2023-03-06,7,218.3125
2023-03-07,4,98.864
2023-03-08,7,66.48384615384616
2023-03-09,5,77.24375
2023-03-10,8,198.454
2023-03-11,8,99.919
2023-03-12,0,17.82
2023-03-13,5,34.675
2023-03-14,2,17.58
2023-03-15,4,164.13333333333333
2023-03-16,2,34.9
2023-03-17,4,44.08363636363636
2023-03-18,2,26.94
2023-03-19,11,165.75625
2023-03-20,0,0.0
2023-03-21,2,239.9
2023-03-22,0,0.0
2023-03-23,0,0.0
2023-03-24,1,30.205
2023-03-25,0,0.0
2023-03-26,0,0.0
2023-03-27,0,0.0
2023-03-28,0,0.0
2023-03-29,0,0.0
2023-03-30,0,0.0
2023-03-31,0,0.0
2023-04-01,0,0.0
2023-04-02,0,0.0
2023-04-03,0,0.0
2023-04-04,1,128.5
2023-04-05,0,0.0
2023-04-06,0,0.0
2023-04-07,4,102.946
