date,units,unit_price
2022-05-27,0,0.0
2022-05-28,0,0.0
2022-05-29,0,0.0
2022-05-30,0,0.0
2022-05-31,0,0.0
2022-06-01,0,0.0
2022-06-02,0,0.0
2022-06-03,0,0.0
2022-06-04,1,289.945
2022-06-05,2,289.945
2022-06-06,3,289.945
2022-06-07,5,289.945
2022-06-08,13,289.945
2022-06-09,9,289.945
2022-06-10,14,289.945
2022-06-11,8,289.945
2022-06-12,1,289.945
2022-06-13,10,289.945
2022-06-14,21,289.945
2022-06-15,34,289.945
2022-06-16,55,289.945
2022-06-17,41,289.945
2022-06-18,43,289.945
2022-06-19,60,289.945
2022-06-20,64,289.945
2022-06-21,20,289.945
2022-06-22,47,289.945
2022-06-23,59,289.945
2022-06-24,60,289.945
2022-06-25,77,289.945
2022-06-26,40,289.945
2022-06-27,5,289.945
2022-06-28,2,289.945
2022-06-29,3,289.945
2022-06-30,0,0.0
2022-07-01,3,289.945
2022-07-02,0,0.0
2022-07-03,0,0.0
2022-07-04,0,0.0
2022-07-05,0,0.0
2022-07-06,2,289.945
2022-07-07,0,0.0
2022-07-08,1,289.945
2022-07-09,0,0.0
2022-07-10,3,289.945
2022-07-11,0,0.0
2022-07-12,10,289.945
2022-07-13,16,289.945
2022-07-14,7,289.945
2022-07-15,3,289.945
2022-07-16,0,0.0
2022-07-17,1,289.945
2022-07-18,1,289.945
2022-07-19,1,289.945
2022-07-20,0,0.0
2022-07-21,0,0.0
2022-07-22,2,289.945
2022-07-23,8,289.945
2022-07-24,11,289.945
2022-07-25,3,289.945
2022-07-26,4,289.945
2022-07-27,4,289.945
2022-07-28,11,289.945
2022-07-29,7,289.945
2022-07-30,6,289.945
2022-07-31,9,289.945
2022-08-01,9,289.945
2022-08-02,7,289.945
2022-08-03,1,289.945
2022-08-04,5,289.945
2022-08-05,2,289.945
2022-08-06,1,289.945
2022-08-07,0,0.0
2022-08-08,8,289.945
2022-08-09,2,289.945
2022-08-10,6,289.945
2022-08-11,7,289.945
2022-08-12,5,289.945
2022-08-13,0,0.0
2022-08-14,0,0.0
2022-08-15,3,289.945
2022-08-16,4,289.945
2022-08-17,10,289.945
2022-08-18,4,289.945
2022-08-19,2,289.945
2022-08-20,3,289.945
2022-08-21,0,0.0
2022-08-22,0,0.0
2022-08-23,5,289.945
2022-08-24,6,289.945
2022-08-25,2,289.945
2022-08-26,2,289.945
2022-08-27,9,289.945
2022-08-28,10,289.945
2022-08-29,10,289.945
2022-08-30,8,289.945
2022-08-31,7,289.945
2022-09-01,6,289.945
2022-09-02,16,289.945
2022-09-03,3,289.945
2022-09-04,10,289.945
2022-09-05,10,289.945
2022-09-06,8,289.945
2022-09-07,12,289.945
2022-09-08,4,289.945
2022-09-09,2,289.945
2022-09-10,3,289.945
2022-09-11,0,0.0
2022-09-12,0,0.0
2022-09-13,0,0.0
2022-09-14,0,0.0
2022-09-15,0,0.0
2022-09-16,1,40.5725
2022-09-17,0,0.0
2022-09-18,1,289.945
2022-09-19,0,0.0
2022-09-20,1,23.18428571428572
2022-09-21,0,12.483846153846152
2022-09-22,9,58.4244
2022-09-23,15,83.94310344827585
2022-09-24,10,81.145
2022-09-25,10,124.83846153846152
2022-09-26,3,97.374
2022-09-27,1,162.29
2022-09-28,3,289.945
2022-09-29,7,289.945
2022-09-30,3,99.638
2022-10-01,0,0.0
2022-10-02,0,0.0
2022-10-03,1,38.4275
2022-10-04,0,0.0
2022-10-05,0,0.0
2022-10-06,2,383.98
2022-10-07,2,113.09333333333332
2022-10-08,2,172.69
2022-10-09,3,105.444
2022-10-10,5,87.87
