date,units,unit_price
2022-05-27,0,0.0
2022-05-28,0,0.0
2022-05-29,0,0.0
2022-05-30,0,0.0
2022-05-31,0,0.0
2022-06-01,0,0.0
2022-06-02,0,0.0
2022-06-03,0,0.0
2022-06-04,0,0.0
2022-06-05,2,1162.585
2022-06-06,0,0.0
2022-06-07,1,1162.585
2022-06-08,1,1162.585
2022-06-09,4,1162.585
2022-06-10,2,1162.585
2022-06-11,1,1162.585
2022-06-12,3,1162.585
2022-06-13,4,1162.585
2022-06-14,3,1162.585
2022-06-15,4,1162.585
2022-06-16,3,1162.585
2022-06-17,2,1162.585
2022-06-18,3,1162.585
2022-06-19,1,1162.585
2022-06-20,1,1162.585
2022-06-21,0,0.0
2022-06-22,0,0.0
2022-06-23,4,1162.585
2022-06-24,5,1162.585
2022-06-25,4,1162.585
2022-06-26,3,1162.585
2022-06-27,5,1162.585
2022-06-28,2,1162.585
2022-06-29,6,1162.585
2022-06-30,0,0.0
2022-07-01,0,0.0
2022-07-02,1,1162.585
2022-07-03,7,1162.585
2022-07-04,0,0.0
2022-07-05,2,1162.585
2022-07-06,2,1162.585
2022-07-07,3,1162.585
2022-07-08,3,1162.585
2022-07-09,1,1162.585
2022-07-10,3,1162.585
2022-07-11,2,1162.585
2022-07-12,9,1162.585
2022-07-13,15,1162.585
2022-07-14,7,1162.585
2022-07-15,6,1162.585
2022-07-16,0,0.0
2022-07-17,0,0.0
2022-07-18,0,0.0
2022-07-19,0,0.0
2022-07-20,0,0.0
2022-07-21,0,0.0
2022-07-22,0,0.0
2022-07-23,0,0.0
2022-07-24,0,0.0
2022-07-25,0,0.0
2022-07-26,0,0.0
2022-07-27,1,1162.585
2022-07-28,2,1162.585
2022-07-29,2,1162.585
2022-07-30,2,1162.585
2022-07-31,7,1162.585
2022-08-01,2,1162.585
2022-08-02,6,1162.585
2022-08-03,4,1162.585
2022-08-04,3,1162.585
2022-08-05,5,1162.585
2022-08-06,0,0.0
2022-08-07,2,1162.585
2022-08-08,6,1162.585
2022-08-09,3,1162.585
2022-08-10,3,1162.585
2022-08-11,4,1162.585
2022-08-12,2,1162.585
2022-08-13,0,0.0
2022-08-14,0,0.0
2022-08-15,2,1162.585
2022-08-16,6,1162.585
2022-08-17,3,1162.585
2022-08-18,3,1162.585
2022-08-19,4,1162.585
2022-08-20,2,1162.585
2022-08-21,0,0.0
2022-08-22,3,1162.585
2022-08-23,2,1162.585
2022-08-24,2,1162.585
2022-08-25,0,0.0
2022-08-26,4,1162.585
2022-08-27,5,1162.585
2022-08-28,7,851.6666666666665
2022-08-29,4,365.0
2022-08-30,13,1186.25
2022-08-31,8,3072.37
2022-09-01,2,1162.585
2022-09-02,5,2078.95
2022-09-03,5,1039.475
2022-09-04,5,519.7375
2022-09-05,3,1239.96
2022-09-06,9,3719.88
2022-09-07,5,2066.6
2022-09-08,2,1162.585
2022-09-09,2,413.32
2022-09-10,3,1239.96
2022-09-11,7,1463.175
2022-09-12,4,1162.585
2022-09-13,3,1254.15
2022-09-14,2,1162.585
2022-09-15,0,0.0
2022-09-16,5,1898.2
2022-09-17,1,1162.585
2022-09-18,5,1162.585
2022-09-19,6,2277.84
2022-09-20,10,1265.4666666666667
2022-09-21,5,1162.585
2022-09-22,4,1162.585
2022-09-23,3,1138.92
2022-09-24,0,759.28
2022-09-25,7,664.37
2022-09-26,1,126.54666666666668
2022-09-27,11,835.208
2022-09-28,7,2527.94
2022-09-29,8,1162.585
2022-09-30,17,1162.585
2022-10-01,9,1162.585
2022-10-02,8,1162.585
2022-10-03,7,2414.93
2022-10-04,5,1162.585
