date,units,unit_price
2022-05-27,0,0.0
2022-05-28,0,0.0
2022-05-29,0,0.0
2022-05-30,0,0.0
2022-05-31,0,0.0
2022-06-01,0,0.0
2022-06-02,0,0.0
2022-06-03,0,0.0
2022-06-04,6,100.0
2022-06-05,8,100.0
2022-06-06,11,100.0
2022-06-07,5,100.0
2022-06-08,8,100.0
2022-06-09,7,100.0
2022-06-10,9,100.0
2022-06-11,19,100.0
2022-06-12,20,100.0
2022-06-13,22,100.0
2022-06-14,3,100.0
2022-06-15,17,100.0
2022-06-16,4,100.0
2022-06-17,5,100.0
2022-06-18,12,100.0
2022-06-19,18,100.0
2022-06-20,6,100.0
2022-06-21,3,100.0
2022-06-22,45,100.0
2022-06-23,40,100.0
2022-06-24,55,100.0
2022-06-25,43,100.0
2022-06-26,58,100.0
2022-06-27,0,0.0
2022-06-28,13,100.0
2022-06-29,13,100.0
2022-06-30,7,100.0
2022-07-01,3,100.0
2022-07-02,6,100.0
2022-07-03,3,100.0
2022-07-04,8,100.0
2022-07-05,1,100.0
2022-07-06,5,100.0
2022-07-07,1,100.0
2022-07-08,6,100.0
2022-07-09,7,100.0
2022-07-10,2,100.0
2022-07-11,1,100.0
2022-07-12,83,100.0
2022-07-13,0,0.0
2022-07-14,0,0.0
2022-07-15,0,0.0
2022-07-16,0,0.0
2022-07-17,0,0.0
2022-07-18,1,100.0
2022-07-19,1,100.0
2022-07-20,0,0.0
2022-07-21,1,100.0
2022-07-22,0,0.0
2022-07-23,0,0.0
2022-07-24,1,100.0
2022-07-25,0,0.0
2022-07-26,9,100.0
2022-07-27,3,100.0
2022-07-28,7,100.0
2022-07-29,2,100.0
2022-07-30,1,100.0
2022-07-31,1,100.0
2022-08-01,0,0.0
2022-08-02,0,0.0
2022-08-03,0,0.0
2022-08-04,0,0.0
2022-08-05,0,0.0
2022-08-06,5,13.974358974358974
2022-08-07,4,43.6
2022-08-08,0,0.0
2022-08-09,0,0.0
2022-08-10,3,100.0
2022-08-11,0,0.0
2022-08-12,0,0.0
2022-08-13,1,100.0
2022-08-14,0,0.0
2022-08-15,0,0.0
2022-08-16,0,0.0
2022-08-17,0,0.0
2022-08-18,0,0.0
2022-08-19,0,0.0
2022-08-20,3,100.0
2022-08-21,0,0.0
2022-08-22,0,0.0
2022-08-23,0,0.0
2022-08-24,0,0.0
2022-08-25,0,0.0
2022-08-26,0,0.0
2022-08-27,0,0.0
2022-08-28,3,100.0
2022-08-29,0,0.0
2022-08-30,8,100.0
2022-08-31,0,0.0
2022-09-01,0,0.0
2022-09-02,0,0.0
2022-09-03,0,0.0
2022-09-04,0,0.0
2022-09-05,0,0.0
2022-09-06,0,0.0
2022-09-07,3,11.816785714285714
2022-09-08,1,2.75725
2022-09-09,0,0.0
2022-09-10,0,0.0
2022-09-11,6,38.92588235294117
2022-09-12,0,0.0
2022-09-13,0,0.0
2022-09-14,6,73.21333333333332
2022-09-15,2,18.30333333333333
2022-09-16,0,0.0
2022-09-17,0,0.0
2022-09-18,0,0.0
2022-09-19,0,0.0
2022-09-20,1,15.688571428571429
2022-09-21,0,0.0
2022-09-22,0,0.0
2022-09-23,0,0.0
2022-09-24,0,0.0
2022-09-25,0,9.190833333333332
2022-09-26,2,21.964
2022-09-27,1,13.83
2022-09-28,0,46.94857142857144
2022-09-29,0,24.185
2022-09-30,0,8.447692307692307
2022-10-01,1,10.78
2022-10-02,0,1.6683333333333332
2022-10-03,0,21.51
2022-10-04,4,29.39733333333333
2022-10-05,0,0.0
2022-10-06,0,0.0
2022-10-07,0,0.0
2022-10-08,0,0.0
