date,units,unit_price
2022-07-26,0,0.0
2022-07-27,0,0.0
2022-07-28,0,0.0
2022-07-29,0,0.0
2022-07-30,0,0.0
2022-07-31,0,0.0
2022-08-01,0,0.0
2022-08-02,0,0.0
2022-08-03,1,538.5016666666667
2022-08-04,0,0.0
2022-08-05,0,0.0
2022-08-06,0,0.0
2022-08-07,0,0.0
2022-08-08,0,0.0
2022-08-09,0,0.0
2022-08-25,0,0.0
2022-08-26,0,0.0
2022-08-27,1,339.0
2022-08-28,0,0.0
2022-08-29,1,538.5016666666667
2022-08-30,0,0.0
2022-08-31,1,538.5016666666667
2022-09-01,0,0.0
2022-09-02,0,0.0
2022-09-03,0,0.0
2022-09-04,2,538.5016666666667
2022-09-05,0,0.0
2022-09-06,0,0.0
2022-09-07,0,0.0
2022-09-08,2,538.5016666666667
2022-09-09,0,0.0
2022-09-10,0,0.0
2022-09-11,0,0.0
2022-09-12,0,0.0
2022-09-13,0,0.0
2022-09-14,0,0.0
2022-09-15,3,287.08
2022-09-16,0,0.0
2022-09-17,0,0.0
2022-09-18,0,0.0
2022-09-19,0,0.0
2022-09-20,0,0.0
2022-09-21,0,0.0
2022-09-22,2,538.5016666666667
2022-09-23,0,0.0
2022-09-24,0,0.0
2022-09-25,1,538.5016666666667
2022-09-26,0,0.0
2022-09-27,0,0.0
2022-09-28,0,0.0
2022-09-29,1,538.5016666666667
2022-09-30,1,538.5016666666667
2022-10-01,0,0.0
2022-10-02,2,538.5016666666667
2022-10-03,0,0.0
2022-10-04,0,0.0
2022-10-05,0,0.0
2022-10-06,0,0.0
2022-10-07,0,0.0
2022-10-08,1,538.5016666666667
2022-10-09,0,0.0
2022-10-10,0,0.0
2022-10-11,0,0.0
2022-10-12,0,0.0
2022-10-13,2,538.5016666666667
2022-10-14,2,538.5016666666667
2022-10-15,0,0.0
2022-10-16,1,538.5016666666667
2022-10-17,2,538.5016666666667
2022-10-18,1,538.5016666666667
2022-10-19,3,1005.69
2022-10-20,0,0.0
2022-10-21,1,538.5016666666667
2022-10-22,2,538.5016666666667
2022-10-23,2,538.5016666666667
2022-10-24,2,538.5016666666667
2022-10-25,0,0.0
