date,units,unit_price
2022-07-26,0,0.0
2022-07-27,0,0.0
2022-07-28,0,0.0
2022-07-29,0,0.0
2022-07-30,0,0.0
2022-07-31,0,0.0
2022-08-01,0,0.0
2022-08-02,0,0.0
2022-08-03,0,0.0
2022-08-04,0,0.0
2022-08-05,1,311.5
2022-08-06,0,0.0
2022-08-07,0,0.0
2022-08-08,0,0.0
2022-08-09,0,0.0
2022-08-10,0,0.0
2022-08-11,0,0.0
2022-08-12,0,0.0
2022-08-13,0,0.0
2022-08-14,0,0.0
2022-08-15,0,0.0
2022-08-16,0,0.0
2022-08-17,0,0.0
2022-08-18,0,0.0
2022-08-19,0,0.0
2022-08-20,0,0.0
2022-08-21,0,0.0
2022-08-22,0,0.0
2022-08-23,0,0.0
2022-08-24,0,0.0
2022-08-27,0,0.0
2022-08-28,0,0.0
2022-08-29,0,0.0
2022-08-30,2,311.5
2022-08-31,0,0.0
2022-09-01,0,0.0
2022-09-02,0,0.0
2022-09-03,0,0.0
2022-09-04,1,311.5
2022-09-05,0,0.0
2022-09-06,4,311.5
2022-09-07,0,0.0
2022-09-08,2,311.5
2022-09-09,0,0.0
2022-09-10,0,0.0
2022-09-11,0,0.0
2022-09-12,1,311.5
2022-09-13,0,0.0
2022-09-14,0,0.0
2022-09-15,0,0.0
2022-09-16,0,0.0
2022-09-17,0,0.0
2022-09-18,0,0.0
2022-09-19,0,0.0
2022-09-20,2,243.22
2022-09-21,0,0.0
2022-09-22,1,243.22
2022-09-23,1,243.22
2022-09-24,1,243.22
2022-09-25,4,311.5
2022-09-26,0,0.0
2022-09-27,0,0.0
2022-09-28,0,0.0
2022-09-29,0,0.0
2022-09-30,0,0.0
2022-10-01,1,311.5
2022-10-02,0,0.0
2022-10-03,2,311.5
2022-10-04,0,0.0
2022-10-05,0,0.0
2022-10-06,2,486.44
2022-10-07,1,243.22
2022-10-08,2,311.5
2022-10-09,2,311.5
2022-10-10,1,311.5
2022-10-11,3,729.66
2022-10-12,3,311.5
2022-10-13,2,222.36
2022-10-14,6,311.5
2022-10-15,1,311.5
2022-10-16,0,0.0
2022-10-17,3,221.77
2022-10-18,0,0.0
2022-10-19,1,110.885
