date,units,unit_price
2022-07-26,0,0.0
2022-07-27,0,0.0
2022-07-28,1,170.3
2022-07-29,0,0.0
2022-07-30,0,0.0
2022-07-31,0,0.0
2022-08-01,0,0.0
2022-08-02,0,0.0
2022-08-03,0,0.0
2022-08-04,0,0.0
2022-08-05,0,0.0
2022-08-06,0,0.0
2022-08-07,0,0.0
2022-08-08,0,0.0
2022-08-09,0,0.0
2022-08-10,2,170.3
2022-08-11,2,170.3
2022-08-17,0,0.0
2022-08-25,0,0.0
2022-08-26,0,0.0
2022-08-27,0,0.0
2022-08-28,0,0.0
2022-08-29,0,0.0
2022-08-30,1,106.385
2022-08-31,1,106.505
2022-09-01,0,0.0
2022-09-02,0,0.0
2022-09-03,1,170.3
2022-09-04,1,106.505
2022-09-05,1,213.25
2022-09-06,4,425.92
2022-09-07,1,170.3
2022-09-08,1,170.3
2022-09-09,1,170.3
2022-09-10,0,0.0
2022-09-11,0,0.0
2022-09-12,0,70.68
2022-09-13,2,424.08
2022-09-14,0,0.0
2022-09-15,1,106.02
2022-09-16,0,0.0
2022-09-17,1,70.68
2022-09-18,0,0.0
2022-09-19,3,170.3
2022-09-20,0,0.0
2022-09-21,1,170.3
2022-09-22,1,106.02
2022-09-23,2,212.04
2022-09-24,2,424.08
2022-09-25,3,212.04
2022-09-26,2,212.04
2022-09-27,2,170.3
2022-09-28,0,0.0
2022-09-29,3,170.3
2022-09-30,1,170.3
2022-10-01,0,0.0
2022-10-02,2,141.36
2022-10-03,0,0.0
2022-10-04,3,159.03
2022-10-05,4,121.16571428571427
2022-10-06,3,127.224
2022-10-07,1,106.02
2022-10-08,1,53.01
2022-10-09,3,90.87428571428572
2022-10-10,4,282.72
2022-10-11,2,141.36
2022-10-12,6,424.08
2022-10-13,2,125.72666666666666
2022-10-14,5,313.7333333333333
2022-10-15,3,564.72
2022-10-16,7,219.6133333333333
2022-10-17,3,285.45
2022-10-18,6,380.6
2022-10-19,0,0.0
2022-10-20,4,145.768
2022-10-21,5,291.65
2022-10-22,5,874.95
2022-10-23,11,481.2225
2022-10-24,6,524.97
2022-10-25,2,174.99
2022-10-26,4,349.98
2022-10-27,0,0.0
