date,units,unit_price
2022-10-09,0,0.0
2022-10-10,0,0.0
2022-10-11,0,0.0
2022-10-12,0,0.0
2022-10-13,0,0.0
2022-10-14,0,0.0
2022-10-15,0,0.0
2022-10-16,0,0.0
2022-10-17,0,0.0
2022-10-18,0,0.0
2022-10-19,0,0.0
2022-10-20,1,365.625
2022-10-21,0,0.0
2022-10-22,0,0.0
2022-10-23,1,365.625
2022-10-24,2,365.625
2022-10-25,0,0.0
2022-10-26,0,0.0
2022-10-27,0,0.0
2022-10-28,0,0.0
2022-10-29,0,0.0
2022-10-30,0,0.0
2022-10-31,0,0.0
2022-11-01,0,0.0
2022-11-02,0,0.0
2022-11-03,0,0.0
2022-11-04,1,365.625
2022-11-05,0,0.0
2022-11-06,0,0.0
2022-11-07,0,0.0
2022-11-08,0,0.0
2022-11-09,0,0.0
2022-11-10,0,0.0
2022-11-11,0,0.0
2022-11-12,0,0.0
2022-11-13,0,0.0
2022-11-14,0,0.0
2022-11-15,0,0.0
2022-11-16,0,0.0
2022-11-17,0,0.0
2022-11-18,0,0.0
2022-11-19,0,0.0
2022-11-20,0,0.0
2022-11-21,1,365.625
2022-11-22,0,0.0
2022-11-23,0,0.0
2022-11-24,0,0.0
2022-11-25,0,0.0
2022-11-26,0,0.0
2022-11-27,0,0.0
2022-11-28,0,0.0
2022-11-29,0,0.0
2022-11-30,0,0.0
2022-12-01,0,0.0
2022-12-02,0,0.0
2022-12-03,0,0.0
2022-12-04,0,0.0
2022-12-05,0,0.0
2022-12-06,0,0.0
2022-12-07,0,0.0
2023-02-06,0,0.0
2023-02-07,0,0.0
2023-02-08,0,0.0
2023-02-09,0,0.0
2023-02-10,0,0.0
2023-02-11,0,0.0
2023-02-12,0,0.0
2023-02-13,0,0.0
2023-02-14,0,0.0
2023-02-15,0,0.0
2023-02-16,0,0.0
2023-02-17,0,0.0
2023-02-18,0,0.0
2023-02-19,0,0.0
2023-02-20,0,0.0
2023-10-19,4,365.625
2023-10-20,1,365.625
2023-10-21,1,365.625
2023-10-22,4,365.625
2023-10-23,2,365.625
2023-10-24,0,0.0
2023-10-25,2,365.625
2023-10-26,1,365.625
2023-10-27,0,0.0
2023-10-28,2,365.625
2023-10-29,59,365.625
2023-10-30,2,365.625
2023-10-31,1,89.0
2023-11-01,12,365.625
2023-11-02,3,365.625
2023-11-03,0,0.0
2023-11-04,1,89.0
2023-11-05,6,365.625
2023-11-06,6,365.625
2023-11-07,2,365.625
2023-11-08,1,365.625
2023-11-09,2,365.625
2023-11-10,1,365.625
2023-11-11,1,365.625
2023-11-12,1,365.625
2023-11-13,4,365.625
2023-11-14,1,365.625
2023-11-15,0,0.0
2023-11-16,2,151.3
2023-11-17,2,50.43333333333333
2023-11-18,9,85.10625
2023-11-19,6,113.475
2023-11-20,5,126.08333333333331
2023-11-21,34,471.86
2023-11-22,49,1690.5
2023-11-23,25,572.7833333333333
2023-11-24,232,470.8235294117647
2023-11-25,106,562.6153846153846
2023-11-26,84,322.0
2023-11-27,210,329.3181818181818
2023-11-28,81,698.625
2023-11-29,88,749.0
2023-11-30,128,594.2857142857143
2023-12-01,113,386.3684210526316
2023-12-02,138,407.7272727272728
2023-12-03,138,289.3548387096774
2023-12-04,145,277.2058823529412
2023-12-05,122,417.3684210526316
2023-12-06,152,299.3939393939394
2023-12-07,167,85.47244094488191
2023-12-08,170,112.75510204081633
2023-12-09,167,110.76530612244896
2023-12-10,192,204.59016393442624
2023-12-11,137,269.8484848484848
2023-12-12,143,193.6458333333333
2023-12-13,161,243.3720930232558
2023-12-14,131,170.3
