date,units,unit_price
2022-09-09,0,0.0
2022-09-10,0,0.0
2022-09-11,0,0.0
2022-09-12,0,0.0
2022-09-13,0,0.0
2022-09-14,0,0.0
2022-09-15,0,0.0
2022-09-16,0,0.0
2022-09-17,0,0.0
2022-09-18,0,0.0
2022-09-19,0,0.0
2022-09-20,0,0.0
2022-09-21,0,0.0
2022-09-22,1,148.0
2022-09-23,1,148.0
2022-09-24,1,148.0
2022-09-25,2,148.0
2022-09-26,7,148.0
2022-09-27,6,148.0
2022-09-28,7,148.0
2022-09-29,3,148.0
2022-09-30,9,148.0
2022-10-01,11,148.0
2022-10-02,11,148.0
2022-10-03,18,148.0
2022-10-04,7,148.0
2022-10-05,13,148.0
2022-10-06,5,148.0
2022-10-07,4,599.96
2022-10-08,11,148.0
2022-10-09,10,148.0
2022-10-10,3,148.0
2022-10-11,9,1349.91
2022-10-12,7,1049.93
2022-10-13,3,449.97
2022-10-14,8,1199.92
2022-10-15,5,148.0
2022-10-16,11,1649.89
2022-10-17,7,1049.93
2022-10-18,4,599.96
2022-10-19,4,299.98
2022-10-20,10,299.98
2022-10-21,9,168.73875
2022-10-22,2,149.99
2022-10-23,1,148.0
2022-10-24,3,89.994
2022-10-25,3,89.994
2022-10-26,5,93.74375
2022-10-27,4,299.98
2022-10-28,3,74.995
2022-10-29,3,224.985
2022-10-30,6,299.98
2022-10-31,3,449.97
2022-11-01,5,749.95
2022-11-02,2,148.0
2022-11-03,3,149.99
2022-11-04,1,49.99666666666666
2022-11-05,1,149.99
2022-11-06,4,119.992
2022-11-07,5,749.95
2022-11-08,11,206.23625
2022-11-09,6,299.98
2022-11-10,1,74.995
2022-11-11,4,74.995
2022-11-12,4,199.98666666666665
2022-11-13,5,374.975
2022-11-14,2,148.0
2022-11-15,2,49.99666666666666
2022-11-16,0,0.0
2022-11-17,3,112.4925
2022-11-18,4,299.98
2022-11-19,4,99.99333333333333
2022-11-20,2,99.99333333333333
2022-11-21,2,148.0
2022-11-22,2,149.99
2022-11-23,2,149.99
2022-11-24,4,85.70857142857142
2022-11-25,4,208.32
2022-11-26,1,38.7475
2022-11-27,4,103.32666666666664
2022-11-28,4,203.74666666666664
2022-11-29,0,0.0
2022-11-30,0,0.0
2022-12-01,0,0.0
2022-12-02,0,0.0
2022-12-03,0,0.0
2022-12-04,0,0.0
2022-12-05,0,0.0
2022-12-06,0,0.0
2022-12-07,0,0.0
2022-12-08,0,0.0
2022-12-09,0,0.0
2022-12-10,0,0.0
2022-12-11,0,0.0
2022-12-12,0,0.0
2022-12-13,0,0.0
2022-12-14,0,0.0
2022-12-15,0,0.0
2022-12-16,1,74.09
2022-12-17,0,0.0
2022-12-18,0,0.0
2022-12-19,0,0.0
2022-12-20,0,0.0
2022-12-21,4,148.0
2022-12-22,1,38.5125
2022-12-23,1,148.0
2022-12-24,2,157.02
2022-12-25,0,0.0
2022-12-26,1,31.998
2022-12-27,2,159.99
2022-12-28,0,0.0
2022-12-29,0,0.0
2022-12-30,0,0.0
2022-12-31,0,0.0
2023-01-01,2,309.12
2023-01-02,1,77.535
2023-01-03,0,0.0
2023-01-04,0,0.0
2023-01-05,1,154.56
2023-01-06,0,0.0
2023-01-07,1,25.755
2023-01-08,0,0.0
2023-01-09,1,77.265
2023-01-10,1,37.0525
2023-01-11,2,296.42
2023-01-12,0,0.0
2023-01-13,0,0.0
2023-01-14,0,0.0
2023-01-15,0,0.0
2023-01-16,0,0.0
2023-01-17,0,0.0
2023-01-18,0,0.0
2023-01-19,0,0.0
2023-01-20,0,0.0
2023-01-21,0,0.0
2023-01-22,0,0.0
2023-01-23,0,0.0
2023-01-24,2,295.6
2023-01-25,2,295.5
2023-01-26,0,0.0
2023-01-27,1,24.625
2023-01-28,2,49.28666666666666
2023-01-29,1,147.77
2023-01-30,3,110.8275
2023-01-31,1,36.9425
2023-02-01,0,0.0
2023-02-02,0,0.0
2023-02-03,0,0.0
2023-02-04,0,0.0
2023-02-05,1,148.59
2023-02-06,0,0.0
2023-02-07,0,0.0
2023-02-08,1,68.725
2023-02-09,7,192.626
2023-02-10,0,0.0
2023-02-11,3,412.77
2023-02-12,1,148.0
2023-02-13,0,0.0
2023-02-14,0,0.0
2023-02-15,2,148.0
2023-02-16,1,34.1575
2023-02-17,4,148.0
2023-02-18,3,204.945
2023-02-19,5,683.15
2023-02-20,5,227.71666666666664
2023-02-21,5,227.5
2023-02-22,3,136.5
2023-02-23,0,0.0
2023-02-24,2,65.74
2023-02-25,2,53.804
2023-02-26,4,89.72
2023-02-27,0,0.0
2023-02-28,5,83.83125
2023-03-01,0,0.0
2023-03-02,1,16.7725
2023-03-03,1,44.556666666666665
2023-03-04,3,84.384
2023-03-05,0,0.0
2023-03-06,1,148.0
2023-03-07,0,0.0
