date,units,unit_price
2022-10-17,2,224.966
2022-10-18,3,224.966
2022-10-19,0,0.0
2022-10-24,0,0.0
2022-10-25,0,0.0
2022-10-26,0,0.0
2022-10-27,0,0.0
2022-10-28,0,0.0
2022-10-29,0,0.0
2022-10-30,0,0.0
2022-10-31,0,0.0
2022-11-01,2,224.966
2022-11-02,0,0.0
2022-11-03,1,224.966
2022-11-04,1,224.966
2022-11-05,0,0.0
2022-11-06,6,224.966
2022-11-07,0,0.0
2022-11-08,0,0.0
2022-11-09,1,224.966
2022-11-10,0,0.0
2022-11-11,1,224.966
2022-11-12,1,224.966
2022-11-13,1,224.966
2022-11-14,0,0.0
2022-11-15,2,224.966
2022-11-16,0,0.0
2022-11-17,1,224.966
2022-11-18,0,0.0
2022-11-19,0,0.0
2022-11-20,0,0.0
2022-11-21,0,0.0
2022-11-22,0,0.0
2022-11-23,1,224.966
2022-11-24,1,224.966
2022-11-25,0,0.0
2022-11-26,0,0.0
2022-11-27,1,224.966
2022-11-28,0,0.0
2022-11-29,0,0.0
2022-11-30,0,0.0
2022-12-01,1,224.966
2022-12-02,0,0.0
2022-12-03,0,0.0
2022-12-04,0,0.0
2022-12-05,0,0.0
2022-12-06,0,0.0
2022-12-07,0,0.0
2022-12-08,0,0.0
2022-12-09,1,224.966
2022-12-10,0,0.0
2022-12-11,0,0.0
2022-12-12,0,0.0
2022-12-13,0,0.0
2022-12-14,1,224.966
2022-12-15,0,0.0
2022-12-16,0,0.0
2022-12-17,0,0.0
2022-12-18,0,0.0
2022-12-19,0,0.0
2022-12-20,0,0.0
2022-12-21,1,224.966
2022-12-22,1,224.966
2022-12-23,0,0.0
2022-12-24,0,0.0
2022-12-25,1,224.966
2022-12-26,0,0.0
2022-12-27,0,0.0
2022-12-28,1,224.966
2022-12-29,0,0.0
2022-12-30,0,0.0
2022-12-31,0,0.0
2023-01-01,0,0.0
2023-01-02,0,0.0
2023-01-03,0,0.0
2023-01-04,0,0.0
2023-01-05,2,224.966
2023-01-06,0,0.0
2023-01-07,0,0.0
2023-01-08,0,0.0
2023-01-09,0,0.0
2023-01-10,0,0.0
2023-01-11,2,224.966
2023-01-12,0,0.0
2023-01-13,0,0.0
2023-01-14,0,0.0
2023-01-15,0,0.0
2023-01-16,0,0.0
2023-01-17,0,0.0
2023-01-18,0,0.0
2023-01-19,0,0.0
2023-01-20,0,0.0
2023-01-21,0,0.0
2023-01-25,0,0.0
2023-01-26,1,224.966
2023-01-27,0,0.0
2023-01-28,0,0.0
2023-01-29,0,0.0
2023-01-30,0,0.0
2023-01-31,0,0.0
2023-02-01,0,0.0
2023-02-02,0,0.0
2023-02-03,1,224.966
2023-02-04,2,224.966
2023-02-05,55,224.966
2023-02-06,0,0.0
2023-02-07,4,224.966
2023-02-08,0,0.0
2023-02-09,0,0.0
2023-02-10,0,0.0
2023-02-11,0,0.0
2023-02-12,0,0.0
2023-02-13,1,224.966
2023-02-14,0,0.0
2023-02-15,1,224.966
2023-02-16,0,0.0
2023-02-17,1,224.966
2023-02-18,4,224.966
2023-02-19,3,224.966
2023-02-20,5,224.966
2023-02-21,0,0.0
2023-02-22,0,0.0
2023-02-23,1,224.966
2023-02-24,2,224.966
2023-02-25,0,0.0
2023-02-26,1,224.966
2023-02-27,0,0.0
2023-02-28,0,0.0
2023-03-01,1,224.966
2023-03-02,2,224.966
2023-03-03,3,224.966
2023-03-04,2,224.966
2023-03-05,1,224.966
2023-03-06,2,224.966
2023-03-07,4,730.26
2023-03-08,9,1698.57
2023-03-09,4,755.77
2023-03-10,3,224.966
2023-03-11,6,224.966
2023-03-12,2,381.02
2023-03-13,2,127.00666666666666
2023-03-14,2,357.06
2023-03-15,2,82.92
2023-03-16,1,224.32
2023-03-17,0,47.215
2023-03-18,1,224.966
2023-03-19,1,113.44
2023-03-20,1,235.77
2023-03-21,2,152.66
2023-03-22,3,224.966
2023-03-23,5,381.65
2023-03-24,2,165.51
2023-03-25,5,224.966
2023-03-26,1,145.92
2023-03-27,2,224.966
2023-03-28,0,0.0
2023-03-29,3,224.966
2023-03-30,6,224.966
2023-03-31,1,224.966
2023-04-01,6,224.966
2023-04-02,2,224.966
2023-04-03,2,224.966
2023-04-04,3,224.966
2023-04-05,3,224.966
2023-04-06,1,224.966
2023-04-07,4,224.966
2023-04-08,2,224.966
2023-04-09,2,224.966
2023-04-10,3,224.966
2023-04-11,1,224.966
2023-04-12,1,224.966
2023-04-13,6,224.966
2023-04-14,2,224.966
2023-04-15,2,224.966
2023-04-16,7,224.966
2023-04-17,1,224.966
2023-04-18,5,224.966
2023-04-19,6,224.966
2023-04-20,2,224.966
2023-04-21,6,224.966
2023-04-22,3,224.966
2023-04-23,1,224.966
2023-04-24,4,224.966
2023-04-25,1,224.966
2023-04-26,1,224.966
2023-04-27,3,224.966
2023-04-28,1,224.966
2023-04-29,5,224.966
2023-04-30,3,224.966
2023-05-01,6,224.966
2023-05-02,5,224.966
2023-05-03,2,224.966
2023-05-04,1,224.966
2023-05-05,0,0.0
2023-05-06,3,224.966
2023-05-07,5,224.966
2023-05-08,5,224.966
2023-05-09,3,224.966
2023-05-10,0,0.0
2023-05-11,0,0.0
2023-05-12,2,224.966
2023-05-13,0,0.0
2023-05-14,0,0.0
2023-05-15,0,0.0
2023-05-16,0,0.0
2023-05-17,0,0.0
2023-05-18,0,0.0
2023-05-19,2,224.966
2023-05-20,0,0.0
2023-05-21,0,0.0
2023-05-22,1,224.966
2023-05-23,1,224.966
2023-05-24,0,0.0
2023-05-25,0,0.0
2023-05-26,0,0.0
2023-05-27,0,0.0
2023-05-28,0,0.0
2023-05-29,1,224.966
2023-05-30,0,0.0
2023-05-31,0,0.0
2023-06-01,0,0.0
2023-06-02,0,0.0
2023-06-03,0,0.0
2023-06-04,0,0.0
2023-06-05,0,0.0
2023-06-06,0,0.0
2023-06-07,0,0.0
2023-06-08,0,0.0
2023-06-09,0,0.0
2023-06-10,0,0.0
2023-06-11,0,0.0
2023-06-12,0,0.0
2023-06-13,0,0.0
2023-06-14,0,0.0
2023-06-15,0,0.0
2023-06-16,0,0.0
2023-06-17,0,0.0
2023-06-18,0,0.0
2023-06-19,0,0.0
2023-06-20,0,0.0
2023-06-21,0,0.0
2023-06-22,0,0.0
2023-06-23,0,0.0
2023-06-24,0,0.0
2023-06-25,0,0.0
2023-06-26,0,0.0
2023-06-27,0,0.0
2023-06-28,0,0.0
2023-06-29,0,0.0
2023-06-30,0,0.0
2023-07-01,0,0.0
2023-07-02,0,0.0
2023-07-03,0,0.0
2023-07-04,0,0.0
2023-07-05,0,0.0
2023-07-21,0,0.0
2023-07-22,0,0.0
2023-07-23,0,0.0
2023-07-24,0,0.0
2023-07-25,0,0.0
2023-07-26,0,0.0
2023-07-27,0,0.0
2023-07-28,0,0.0
2023-07-29,0,0.0
2023-07-30,0,0.0
2023-07-31,0,0.0
2023-08-01,0,0.0
2023-08-02,0,0.0
2023-08-03,0,0.0
2023-08-04,0,0.0
2023-09-04,0,0.0
2023-09-05,0,0.0
2023-09-06,0,0.0
2023-09-07,0,0.0
2023-09-08,1,224.966
2023-09-09,1,224.966
2023-09-10,0,0.0
2023-09-11,0,0.0
2023-09-12,0,0.0
2023-09-13,0,0.0
2023-09-15,2,224.966
2023-09-16,0,0.0
2023-09-17,0,0.0
2023-09-18,0,0.0
2023-09-19,1,224.966
2023-09-20,0,0.0
2023-09-21,0,0.0
2023-09-22,2,224.966
2023-09-23,0,0.0
2023-09-24,0,0.0
2023-09-25,1,224.966
2023-09-26,1,224.966
2023-09-27,1,224.966
2023-09-28,0,0.0
2023-09-29,0,0.0
2023-09-30,0,0.0
2023-10-01,1,224.966
2023-10-02,1,224.966
2023-10-03,0,0.0
2023-10-04,0,0.0
2023-10-06,1,224.966
2023-10-08,3,224.966
2023-10-09,2,224.966
2023-10-10,11,224.966
2023-10-11,13,224.966
2023-10-12,2,224.966
2023-10-13,8,224.966
2023-10-14,3,224.966
2023-10-15,4,224.966
2023-10-16,3,224.966
2023-10-17,6,224.966
2023-10-18,5,224.966
2023-10-19,5,224.966
2023-10-20,8,224.966
2023-10-21,4,224.966
2023-10-22,6,224.966
2023-10-23,4,224.966
2023-10-24,6,224.966
2023-10-25,3,224.966
2023-10-26,5,224.966
2023-10-27,2,224.966
2023-10-28,3,224.966
2023-10-29,3,224.966
2023-10-30,1,224.966
2023-10-31,1,224.966
2023-11-01,0,0.0
2023-11-02,0,0.0
2023-11-03,1,224.966
2023-11-04,0,0.0
2023-11-05,2,224.966
2023-11-06,2,224.966
2023-11-07,0,0.0
2023-11-08,0,0.0
2023-11-09,1,224.966
2023-11-10,0,0.0
2023-11-11,1,224.966
2023-11-12,0,0.0
2023-11-13,0,0.0
2023-11-14,0,0.0
2023-11-15,0,0.0
2023-11-16,0,0.0
2023-11-17,0,0.0
2023-11-18,0,0.0
2023-11-19,0,0.0
2023-11-20,1,224.966
2023-11-21,0,0.0
2023-11-22,2,224.966
2023-11-23,1,224.966
2023-11-24,4,224.966
2023-11-25,1,224.966
2023-11-26,3,224.966
2023-11-27,2,224.966
2023-11-28,1,224.966
2023-11-29,3,224.966
2023-11-30,1,224.966
2023-12-01,0,0.0
2023-12-02,2,224.966
2023-12-03,0,0.0
2023-12-04,1,224.966
2023-12-05,3,224.966
2023-12-06,2,224.966
2023-12-07,3,224.966
2023-12-08,3,224.966
2023-12-09,1,224.966
2023-12-10,4,224.966
2023-12-11,4,224.966
2023-12-12,2,224.966
2023-12-13,2,224.966
2023-12-14,5,224.966
2023-12-15,2,224.966
2023-12-16,0,0.0
2023-12-17,0,0.0
2023-12-18,0,0.0
2023-12-19,0,0.0
2023-12-20,0,0.0
2023-12-21,0,0.0
2023-12-22,2,224.966
2023-12-23,1,224.966
2023-12-25,0,0.0
2023-12-26,0,0.0
2023-12-28,0,0.0
2023-12-29,1,224.966
2023-12-30,2,224.966
2023-12-31,1,224.966
2024-01-01,1,224.966
2024-01-02,0,0.0
2024-01-03,0,0.0
2024-01-04,2,224.966
2024-01-05,1,224.966
2024-01-06,3,224.966
2024-01-07,0,0.0
2024-01-08,0,0.0
2024-01-09,1,224.966
2024-01-10,1,224.966
2024-01-11,0,0.0
2024-01-12,1,224.966
2024-01-13,1,224.966
2024-01-14,1,224.966
2024-01-15,0,0.0
2024-01-16,1,224.966
2024-01-17,2,224.966
2024-01-18,3,224.966
2024-01-19,2,224.966
2024-01-20,2,224.966
2024-01-21,1,224.966
2024-01-22,2,224.966
2024-01-23,2,224.966
2024-01-24,0,0.0
2024-01-25,2,224.966
2024-01-26,2,224.966
2024-01-27,2,224.966
2024-01-28,3,224.966
2024-01-29,0,0.0
2024-01-30,1,224.966
2024-01-31,0,0.0
2024-02-01,4,224.966
2024-02-02,5,224.966
2024-02-03,2,224.966
2024-02-04,1,224.966
2024-02-05,2,224.966
2024-02-06,3,224.966
2024-02-07,3,224.966
2024-02-08,2,224.966
2024-02-09,1,224.966
2024-02-10,1,224.966
2024-02-11,5,224.966
2024-02-12,1,224.966
2024-02-13,2,224.966
2024-02-14,0,0.0
2024-02-15,2,224.966
2024-02-16,1,224.966
2024-02-17,3,224.966
2024-02-18,4,224.966
2024-02-19,0,0.0
2024-02-20,5,224.966
2024-02-21,10,224.966
2024-02-22,11,224.966
2024-02-23,10,224.966
2024-02-24,5,224.966
2024-02-25,8,224.966
2024-02-26,2,224.966
2024-02-27,6,224.966
2024-02-28,9,224.966
2024-02-29,2,224.966
2024-03-01,1,224.966
2024-03-02,0,0.0
2024-03-03,0,0.0
2024-03-04,0,0.0
2024-03-05,0,0.0
2024-03-06,2,224.966
2024-03-07,0,0.0
2024-03-08,0,0.0
2024-03-09,0,0.0
2024-03-10,0,0.0
2024-03-11,3,224.966
2024-03-12,2,224.966
2024-03-13,1,224.966
2024-03-14,2,224.966
2024-03-15,1,224.966
2024-03-16,0,0.0
2024-03-17,1,224.966
2024-03-18,1,224.966
2024-03-19,2,224.966
2024-03-20,1,224.966
2024-03-21,1,224.966
2024-03-22,2,224.966
2024-03-23,0,0.0
2024-03-24,2,224.966
2024-03-25,0,0.0
2024-03-26,1,224.966
2024-03-27,1,224.966
2024-03-28,0,0.0
2024-03-29,1,224.966
2024-03-30,1,224.966
2024-03-31,0,0.0
2024-04-01,2,224.966
2024-04-02,0,0.0
2024-04-04,1,224.966
2024-04-05,2,224.966
2024-04-06,0,0.0
2024-04-07,1,224.966
2024-04-08,2,224.966
2024-04-09,3,224.966
2024-04-10,0,0.0
2024-04-11,0,0.0
2024-04-12,1,224.966
2024-04-13,0,0.0
2024-04-14,0,0.0
2024-04-15,1,224.966
2024-04-16,2,224.966
2024-04-17,0,0.0
2024-04-18,0,0.0
2024-04-19,1,224.966
2024-04-20,0,0.0
2024-04-22,2,224.966
2024-04-23,0,0.0
2024-04-24,0,0.0
2024-04-25,1,224.966
2024-04-26,0,0.0
2024-04-30,1,224.966
2024-05-01,0,0.0
2024-05-02,0,0.0
2024-05-03,2,224.966
2024-05-04,0,0.0
2024-05-05,1,224.966
2024-05-06,0,0.0
2024-05-07,1,224.966
2024-05-08,0,0.0
2024-05-09,0,0.0
2024-05-10,0,0.0
2024-05-13,1,224.966
2024-05-14,1,224.966
2024-05-15,0,0.0
2024-05-16,0,0.0
2024-05-17,1,224.966
2024-05-18,2,224.966
2024-05-19,0,0.0
2024-05-20,0,0.0
2024-05-21,0,0.0
2024-05-22,0,0.0
2024-05-23,0,0.0
2024-05-24,0,0.0
2024-05-25,0,0.0
2024-05-26,0,0.0
2024-05-27,0,0.0
2024-05-28,1,224.966
2024-05-29,0,0.0
2024-05-30,0,0.0
