date,units,unit_price
2022-10-09,0,0.0
2022-10-10,0,0.0
2022-10-11,0,0.0
2022-10-12,0,0.0
2022-10-13,0,0.0
2022-10-14,0,0.0
2022-10-15,0,0.0
2022-10-16,0,0.0
2022-10-17,0,0.0
2022-10-18,0,0.0
2022-10-19,1,683.6099999999999
2022-10-20,0,0.0
2022-10-21,0,0.0
2022-10-22,0,0.0
2022-10-23,0,0.0
2022-10-24,0,0.0
2022-10-25,0,0.0
2022-10-26,0,0.0
2022-10-27,0,0.0
2022-10-28,0,0.0
2022-10-29,2,683.6099999999999
2022-10-30,0,0.0
2022-10-31,1,683.6099999999999
2022-11-01,8,1570.96
2022-11-02,1,683.6099999999999
2022-11-03,3,683.6099999999999
2022-11-04,7,683.6099999999999
2022-11-05,3,683.6099999999999
2022-11-06,9,683.6099999999999
2022-11-07,1,683.6099999999999
2022-11-08,2,683.6099999999999
2022-11-09,1,683.6099999999999
2022-11-10,2,683.6099999999999
2022-11-11,2,683.6099999999999
2022-11-12,2,683.6099999999999
2022-11-13,3,683.6099999999999
2022-11-14,3,683.6099999999999
2022-11-15,5,683.6099999999999
2022-11-16,1,683.6099999999999
2022-11-17,1,683.6099999999999
2022-11-18,5,683.6099999999999
2022-11-19,1,683.6099999999999
2022-11-20,0,0.0
2022-11-21,3,683.6099999999999
2022-11-22,1,683.6099999999999
2022-11-23,0,0.0
2022-11-24,0,0.0
2022-11-25,2,683.6099999999999
2022-11-26,1,683.6099999999999
2022-11-27,1,683.6099999999999
2022-11-28,2,683.6099999999999
2022-11-29,1,683.6099999999999
2022-11-30,0,0.0
2022-12-01,0,0.0
2022-12-02,0,0.0
2022-12-03,0,0.0
2022-12-04,0,0.0
2022-12-05,0,0.0
2022-12-06,0,0.0
2022-12-07,0,0.0
2022-12-08,0,0.0
2022-12-09,0,0.0
2022-12-10,0,0.0
2022-12-11,0,0.0
2022-12-12,0,0.0
2022-12-13,0,0.0
2022-12-14,1,683.6099999999999
2022-12-15,0,0.0
2022-12-16,0,0.0
2022-12-17,0,0.0
2022-12-18,0,0.0
2022-12-19,0,0.0
2022-12-20,0,0.0
2022-12-21,0,0.0
2022-12-22,0,0.0
2023-01-07,0,0.0
2023-01-08,0,0.0
2023-01-09,0,0.0
2023-01-10,0,0.0
2023-01-11,0,0.0
2023-01-12,0,0.0
2023-01-13,0,0.0
2023-01-14,0,0.0
2023-01-15,0,0.0
2023-01-16,0,0.0
2023-01-17,0,0.0
2023-01-18,0,0.0
2023-01-19,0,0.0
2023-01-20,0,0.0
2023-01-21,0,0.0
2023-01-22,0,0.0
2023-01-23,0,0.0
2023-01-24,0,0.0
2023-01-25,0,0.0
2023-01-26,1,207.1
2023-01-27,0,0.0
2023-01-28,0,0.0
2023-01-29,0,0.0
2023-01-30,0,0.0
2023-01-31,0,0.0
2023-02-01,0,0.0
2023-02-02,2,683.6099999999999
2023-02-03,1,186.99
2023-02-04,3,683.6099999999999
2023-02-05,0,0.0
2023-02-06,0,0.0
2023-02-07,7,645.855
2023-02-08,0,0.0
2023-02-09,0,0.0
2023-02-10,0,0.0
2023-02-11,0,0.0
2023-02-12,0,0.0
2023-02-13,1,683.6099999999999
2023-02-14,0,0.0
2023-02-15,2,683.6099999999999
2023-02-16,0,0.0
2023-02-17,1,683.6099999999999
2023-02-18,0,0.0
2023-02-19,0,0.0
2023-02-20,0,0.0
2023-02-21,1,683.6099999999999
2023-02-22,2,683.6099999999999
2023-02-23,11,683.6099999999999
2023-02-24,12,683.6099999999999
2023-02-25,17,683.6099999999999
2023-02-26,7,683.6099999999999
