date,units,unit_price
2023-01-15,0,0.0
2023-01-16,0,0.0
2023-01-17,0,0.0
2023-01-18,6,390.3756
2023-01-19,1,390.3756
2023-01-20,0,0.0
2023-01-21,1,390.3756
2023-01-22,0,0.0
2023-01-23,0,0.0
2023-01-24,0,0.0
2023-01-25,2,352.88
2023-01-26,1,390.3756
2023-01-27,2,390.3756
2023-01-28,1,390.3756
2023-01-29,1,178.94
2023-01-30,3,390.3756
2023-01-31,9,390.3756
2023-02-01,6,1051.08
2023-02-02,3,390.3756
2023-02-03,3,519.98
2023-02-04,4,390.3756
2023-02-05,1,173.14
2023-02-06,1,390.3756
2023-02-07,5,171.28
2023-02-08,2,390.3756
2023-02-09,8,390.3756
2023-02-10,1,390.3756
2023-02-11,0,0.0
2023-02-12,3,313.5
2023-02-13,4,836.0
2023-02-14,3,390.3756
2023-02-15,0,0.0
2023-02-16,1,390.3756
2023-02-17,0,0.0
2023-02-18,1,390.3756
2023-02-19,2,209.0
2023-02-20,0,0.0
2023-02-21,1,390.3756
2023-02-22,5,390.3756
2023-02-23,1,390.3756
2023-02-24,1,390.3756
2023-02-25,0,0.0
2023-02-26,1,390.3756
2023-02-27,1,104.5
2023-02-28,1,390.3756
2023-03-01,1,390.3756
2023-03-02,4,390.3756
2023-03-03,3,390.3756
2023-03-04,0,0.0
2023-03-05,0,0.0
2023-03-06,2,209.0
2023-03-07,0,0.0
2023-03-08,4,836.0
2023-03-09,2,390.3756
2023-03-10,1,104.5
2023-03-11,2,390.3756
2023-03-12,2,390.3756
2023-03-13,4,836.0
2023-03-14,2,390.3756
2023-03-15,0,0.0
2023-03-16,1,390.3756
2023-03-17,2,390.3756
2023-03-18,2,390.3756
2023-03-19,0,0.0
2023-03-20,0,0.0
2023-03-21,1,390.3756
2023-03-22,0,0.0
2023-03-23,0,0.0
2023-03-24,2,390.3756
2023-03-25,0,0.0
2023-03-26,0,0.0
2023-03-27,2,390.3756
2023-03-28,1,390.3756
2023-03-29,1,209.0
2023-03-30,1,390.3756
2023-03-31,2,390.3756
2023-04-01,1,390.3756
2023-04-02,1,390.3756
2023-04-03,3,390.3756
2023-04-04,1,209.0
2023-04-05,0,0.0
2023-04-06,0,0.0
2023-04-07,0,0.0
2023-04-08,0,0.0
2023-04-09,0,0.0
2023-04-10,0,0.0
2023-04-11,0,0.0
2023-04-12,1,390.3756
2023-04-13,0,0.0
2023-04-14,0,0.0
2023-04-15,0,0.0
2023-04-16,0,0.0
2023-04-17,0,0.0
2023-04-18,0,0.0
2023-04-19,0,0.0
2023-04-20,0,0.0
2023-04-21,0,0.0
2023-04-22,0,0.0
2023-04-23,0,0.0
2023-04-24,0,0.0
2023-04-25,1,390.3756
2023-04-26,0,0.0
2023-04-27,0,0.0
2023-04-28,0,0.0
2023-04-29,0,0.0
2023-04-30,0,0.0
2023-05-01,0,0.0
2023-05-02,0,0.0
2023-05-03,2,390.3756
2023-05-04,0,0.0
2023-05-05,1,390.3756
2023-05-06,0,0.0
2023-05-07,0,0.0
2023-05-08,1,390.3756
2023-05-09,0,0.0
2023-05-10,1,390.3756
2023-05-11,0,0.0
2023-05-12,1,390.3756
2023-05-13,0,0.0
2023-05-14,0,0.0
2023-05-15,0,0.0
2023-05-16,0,0.0
2023-05-17,0,0.0
2023-05-18,1,390.3756
2023-05-19,0,0.0
2023-05-20,0,0.0
2023-05-21,0,0.0
2023-05-22,0,0.0
2023-05-23,2,390.3756
2023-05-24,0,0.0
2023-05-25,0,0.0
2023-05-26,0,0.0
2023-05-27,0,0.0
2023-05-28,0,0.0
2023-05-29,3,390.3756
2023-05-30,1,390.3756
2023-05-31,0,0.0
2023-06-01,1,179.0
2023-06-02,0,0.0
2023-06-03,0,0.0
2023-06-04,0,0.0
2023-06-05,1,390.3756
2023-06-06,2,390.3756
2023-06-07,1,390.3756
2023-06-08,0,0.0
2023-06-09,1,390.3756
2023-06-10,3,390.3756
2023-06-11,1,390.3756
2023-06-12,0,0.0
2023-06-13,1,209.0
2023-06-14,0,0.0
2023-06-15,0,0.0
2023-06-16,0,0.0
2023-06-17,0,0.0
2023-06-18,0,0.0
2023-06-19,1,390.3756
2023-06-20,0,0.0
2023-06-21,1,390.3756
2023-06-22,0,0.0
2023-06-23,0,0.0
2023-06-24,0,0.0
2023-06-25,0,0.0
2023-06-26,1,390.3756
2023-06-27,1,390.3756
2023-06-28,1,179.0
2023-06-29,2,390.3756
2023-06-30,2,390.3756
2023-07-01,2,179.0
2023-07-02,0,0.0
2023-07-03,1,179.0
2023-07-04,12,716.0
2023-07-05,4,716.0
2023-07-06,1,390.3756
2023-07-07,2,390.3756
2023-07-08,5,390.3756
2023-07-09,6,390.3756
2023-07-10,3,268.5
2023-07-11,24,859.2
2023-07-12,52,3102.6666666666665
2023-07-13,3,390.3756
2023-07-14,4,390.3756
2023-07-15,9,1439.91
2023-07-16,12,390.3756
2023-07-17,11,879.945
2023-07-18,12,390.3756
2023-07-19,15,390.3756
2023-07-20,14,2239.86
2023-07-21,9,390.3756
2023-07-22,9,479.97
2023-07-23,7,223.986
2023-07-24,6,319.98
2023-07-25,11,1759.89
2023-07-26,13,390.3756
2023-07-27,6,191.988
2023-07-28,11,439.9725
2023-07-29,10,1599.9
2023-07-30,21,671.958
2023-07-31,32,731.3828571428571
2023-08-01,30,533.3
2023-08-02,32,511.968
2023-08-03,27,539.96625
2023-08-04,23,1839.885
2023-08-05,28,1119.93
2023-08-06,36,479.97
2023-08-07,24,639.96
2023-08-08,29,1159.9275
2023-08-09,19,1013.27
2023-08-10,15,479.97
2023-08-11,17,543.966
2023-08-12,11,879.945
2023-08-13,15,239.985
2023-08-14,31,495.969
2023-08-15,38,607.962
2023-08-16,28,235.77473684210528
2023-08-17,38,243.1848
2023-08-18,37,455.35615384615375
2023-08-19,53,498.7923529411765
2023-08-20,61,304.9809375
2023-08-21,56,497.7466666666666
2023-08-22,67,535.9665
2023-08-23,61,513.6521052631579
2023-08-24,59,1048.8233333333333
2023-08-25,53,605.6764285714286
2023-08-26,88,380.5167567567568
2023-08-27,122,390.3756
2023-08-28,125,465.0872093023256
2023-08-29,109,697.5564
2023-08-30,91,909.943125
2023-08-31,107,453.50297297297294
2023-09-01,143,468.17413043478257
2023-09-02,135,478.4052380952381
2023-09-03,44,595.4545454545455
2023-09-04,0,0.0
2023-09-05,65,254.8684210526316
2023-09-06,24,447.0
2023-09-07,0,0.0
2023-09-08,7,347.66666666666663
2023-09-09,0,0.0
2023-09-10,0,0.0
2023-09-11,0,0.0
2023-09-12,0,0.0
2023-09-13,0,0.0
2023-09-14,1,22.1675
2023-09-15,1,177.34
2023-09-16,1,29.57
2023-09-17,0,159.99
2023-09-18,0,0.0
2023-09-19,0,0.0
2023-09-20,2,360.82
2023-09-21,1,90.205
2023-09-22,1,390.3756
2023-09-23,2,180.41
2023-09-24,2,390.3756
2023-09-25,0,0.0
2023-09-26,0,4.38
2023-09-27,0,0.0
2023-09-28,0,0.0
2023-09-29,1,186.39
2023-09-30,0,0.0
2023-10-01,0,0.0
2023-10-02,0,0.0
