date,units,unit_price
2023-01-15,0,0.0
2023-01-16,0,0.0
2023-01-17,1,318.0
2023-01-18,0,0.0
2023-01-19,1,318.0
2023-01-20,0,0.0
2023-01-21,0,0.0
2023-01-22,0,0.0
2023-01-23,0,0.0
2023-01-24,11,701.875
2023-01-25,19,2424.59
2023-01-26,15,1914.15
2023-01-27,27,3445.22
2023-01-28,31,407.5122222222223
2023-01-29,70,4101.07
2023-01-30,80,423.1986363636364
2023-01-31,59,981.54
2023-02-01,100,613.2631578947368
2023-02-02,80,364.59
2023-02-03,110,479.73115384615375
2023-02-04,85,291.940303030303
2023-02-05,74,270.2658064516129
2023-02-06,40,348.33142857142855
2023-02-07,81,322.96103448275863
2023-02-08,97,250.86795454545447
2023-02-09,92,269.0052631578948
2023-02-10,58,227.87275862068964
2023-02-11,6,124.885
2023-02-12,12,222.5533333333333
2023-02-13,6,136.28571428571428
2023-02-14,9,102.21428571428572
2023-02-15,5,159.0
2023-02-16,3,79.5
2023-02-17,12,136.28571428571428
2023-02-18,11,102.88235294117648
2023-02-19,5,132.5
2023-02-20,5,61.15384615384615
2023-02-21,12,212.0
2023-02-22,19,1510.5
2023-02-23,21,1113.0
2023-02-24,9,286.2
2023-02-25,7,318.0
2023-02-26,8,318.0
2023-02-27,1,17.666666666666664
2023-02-28,3,34.07142857142857
2023-03-01,6,119.25
2023-03-02,4,90.85714285714285
2023-03-03,9,84.17647058823529
2023-03-04,6,95.4
2023-03-05,2,39.75
2023-03-06,4,70.66666666666666
2023-03-07,6,63.6
2023-03-08,5,132.5
2023-03-09,2,18.705882352941178
2023-03-10,7,79.5
2023-03-11,6,79.5
2023-03-12,7,123.66666666666666
2023-03-13,5,132.5
2023-03-14,6,79.5
2023-03-15,6,136.28571428571428
2023-03-16,2,106.0
2023-03-17,5,49.6875
2023-03-18,8,70.66666666666666
2023-03-19,0,0.0
2023-03-20,1,31.8
2023-03-21,2,31.8
2023-03-22,6,136.28571428571428
2023-03-23,0,0.0
2023-03-24,2,159.0
2023-03-25,7,79.5
2023-03-26,4,42.4
2023-03-27,2,45.42857142857143
2023-03-28,1,26.5
2023-03-29,2,28.909090909090907
2023-03-30,5,132.5
2023-03-31,2,318.0
2023-04-01,5,795.0
2023-04-02,2,318.0
2023-04-03,3,477.0
2023-04-04,5,318.0
2023-04-05,5,397.5
2023-04-06,3,318.0
2023-04-07,0,0.0
2023-04-08,1,318.0
2023-04-09,0,0.0
2023-04-10,1,318.0
2023-04-11,3,318.0
2023-04-12,0,0.0
2023-04-13,0,0.0
2023-04-14,1,318.0
2023-04-15,0,0.0
2023-04-16,0,0.0
2023-04-17,0,0.0
2023-04-18,1,318.0
2023-04-19,3,318.0
2023-04-20,0,0.0
2023-04-21,0,0.0
2023-04-22,3,238.5
2023-04-23,1,318.0
2023-04-24,3,238.5
2023-04-25,4,318.0
2023-04-26,0,0.0
2023-04-27,3,318.0
2023-04-28,2,318.0
2023-04-29,2,318.0
2023-04-30,0,0.0
2023-05-01,0,0.0
2023-05-02,0,0.0
2023-05-03,0,0.0
2023-05-04,1,318.0
2023-05-05,2,318.0
2023-05-06,1,159.0
2023-05-07,0,0.0
2023-05-08,0,0.0
2023-05-09,0,0.0
2023-05-10,1,318.0
2023-05-11,0,0.0
2023-05-12,3,318.0
2023-05-13,1,318.0
2023-05-14,0,0.0
2023-05-15,1,318.0
2023-05-16,2,318.0
2023-05-17,0,0.0
2023-05-18,0,0.0
2023-05-19,1,318.0
2023-05-20,0,0.0
2023-05-21,0,0.0
2023-05-22,0,0.0
2023-05-23,0,0.0
2023-05-24,0,0.0
2023-05-25,0,0.0
2023-05-26,1,318.0
2023-05-27,0,0.0
2023-05-28,3,318.0
2023-05-29,1,318.0
2023-05-30,0,0.0
2023-05-31,0,0.0
2023-06-01,2,318.0
2023-06-02,0,0.0
2023-06-03,0,0.0
2023-06-04,1,318.0
2023-06-05,0,0.0
2023-06-06,2,278.0
2023-06-07,1,318.0
2023-06-08,0,0.0
2023-06-09,1,139.0
2023-06-10,0,0.0
2023-06-11,1,139.0
2023-06-12,0,0.0
2023-06-13,1,318.0
2023-06-14,0,0.0
2023-06-15,1,318.0
2023-06-16,1,318.0
2023-06-17,1,318.0
2023-06-18,1,318.0
2023-06-19,0,0.0
2023-06-20,3,318.0
2023-06-21,1,318.0
2023-06-22,3,318.0
2023-06-23,0,0.0
2023-06-24,1,318.0
2023-06-25,2,318.0
2023-06-26,1,318.0
2023-06-27,4,318.0
2023-06-28,3,318.0
2023-06-29,4,318.0
2023-06-30,1,318.0
2023-07-01,9,417.0
2023-07-02,7,318.0
2023-07-03,5,695.0
2023-07-04,6,318.0
2023-07-05,6,834.0
2023-07-06,12,834.0
2023-07-07,8,1112.0
2023-07-08,9,318.0
2023-07-09,10,318.0
2023-07-10,14,318.0
2023-07-11,34,675.1428571428571
2023-07-12,25,1737.5
2023-07-13,13,318.0
2023-07-14,7,973.0
2023-07-15,7,973.0
2023-07-16,6,417.0
2023-07-17,3,318.0
2023-07-18,5,318.0
2023-07-19,12,318.0
2023-07-20,18,318.0
2023-07-21,24,3336.0
2023-07-22,17,318.0
2023-07-23,9,318.0
2023-07-24,6,417.0
2023-07-25,2,318.0
2023-07-26,15,318.0
2023-07-27,9,318.0
2023-07-28,14,318.0
2023-07-29,8,1112.0
2023-07-30,9,318.0
2023-07-31,19,1320.5
2023-08-01,10,318.0
2023-08-02,9,318.0
2023-08-03,8,318.0
2023-08-04,7,318.0
2023-08-05,16,1112.0
2023-08-06,11,318.0
2023-08-07,15,2085.0
2023-08-08,7,318.0
2023-08-09,7,318.0
2023-08-10,6,318.0
2023-08-11,9,318.0
2023-08-12,6,318.0
2023-08-13,8,318.0
2023-08-14,11,1529.0
2023-08-15,6,417.0
2023-08-16,12,834.0
2023-08-17,9,318.0
2023-08-18,78,646.8333333333333
2023-08-19,11,318.0
2023-08-20,164,2348.0
2023-08-21,107,1553.2857142857142
2023-08-22,202,1292.375
2023-08-23,91,4824.5
2023-08-24,105,1212.7777777777776
2023-08-25,63,2465.6666666666665
2023-08-26,9,417.0
2023-08-27,116,378.1935483870968
2023-08-28,148,531.8571428571429
2023-08-29,136,542.0015384615385
2023-08-30,56,353.115
2023-08-31,3,37.07333333333333
2023-09-01,0,0.0
2023-09-02,0,0.0
2023-09-03,0,0.0
2023-09-04,0,0.0
2023-09-05,0,0.0
2023-09-06,0,0.0
2023-09-07,0,0.0
2023-09-08,0,0.0
2023-09-09,0,0.0
2023-09-10,2,318.0
2023-09-11,0,0.0
2023-09-12,0,0.0
2023-09-13,0,0.0
2023-09-14,0,0.0
2023-09-15,0,0.0
2023-09-16,0,0.0
2023-09-17,0,0.0
2023-09-18,0,0.0
2023-09-19,0,0.0
2023-09-20,0,0.0
2023-09-21,0,0.0
2023-09-22,0,0.0
2023-09-23,1,318.0
2023-09-24,0,0.0
2023-09-25,0,0.0
2023-09-26,1,109.23
2023-09-27,1,23.166
2023-09-28,1,318.0
2023-09-29,0,0.0
2023-09-30,0,0.0
2023-10-01,0,0.0
2023-10-02,0,0.0
