date,units,unit_price
2023-01-07,0,0.0
2023-01-08,0,0.0
2023-01-09,0,0.0
2023-01-10,0,0.0
2023-01-11,0,0.0
2023-01-12,0,0.0
2023-01-13,0,0.0
2023-01-14,0,0.0
2023-01-15,0,0.0
2023-01-16,1,352.55
2023-01-17,2,352.55
2023-01-18,1,352.55
2023-01-19,0,0.0
2023-01-20,1,145.16
2023-01-21,0,0.0
2023-01-22,0,0.0
2023-01-23,0,0.0
2023-01-24,4,352.55
2023-01-25,1,148.96
2023-01-26,5,352.55
2023-01-27,0,0.0
2023-01-28,2,298.58
2023-01-29,18,2685.24
2023-01-30,9,447.15
2023-01-31,13,387.426
2023-02-01,2,99.28
2023-02-02,6,882.06
2023-02-03,2,288.86
2023-02-04,6,885.06
2023-02-05,6,886.56
2023-02-06,9,665.41
2023-02-07,7,352.55
2023-02-08,6,843.54
2023-02-09,15,2098.35
2023-02-10,6,352.55
2023-02-11,0,0.0
2023-02-12,4,358.0
2023-02-13,2,358.0
2023-02-14,1,179.0
2023-02-15,0,0.0
2023-02-16,1,89.5
2023-02-17,0,0.0
2023-02-18,0,0.0
2023-02-19,0,0.0
2023-02-20,0,0.0
2023-02-21,0,0.0
2023-02-22,5,895.0
2023-02-23,0,0.0
2023-02-24,2,358.0
2023-02-25,1,179.0
2023-02-26,2,352.55
2023-02-27,0,0.0
2023-02-28,1,352.55
2023-03-01,0,0.0
2023-03-02,2,179.0
2023-03-03,3,537.0
2023-03-04,0,0.0
2023-03-05,0,0.0
2023-03-06,2,119.33333333333331
2023-03-07,2,89.5
2023-03-08,2,51.14285714285714
2023-03-09,1,179.0
2023-03-10,0,0.0
2023-03-11,1,59.66666666666666
2023-03-12,0,0.0
2023-03-13,0,0.0
2023-03-14,2,71.6
2023-03-15,1,179.0
2023-03-16,3,537.0
2023-03-17,0,0.0
2023-03-18,1,179.0
2023-03-19,4,716.0
2023-03-20,2,352.55
2023-03-21,1,179.0
2023-03-22,1,179.0
2023-03-23,0,0.0
2023-03-24,0,0.0
2023-03-25,0,0.0
2023-03-26,0,0.0
2023-03-27,3,268.5
2023-03-28,0,0.0
2023-03-29,2,358.0
2023-03-30,0,0.0
2023-03-31,0,0.0
2023-04-01,1,352.55
2023-04-02,2,352.55
2023-04-03,0,0.0
2023-04-04,3,352.55
2023-04-05,3,537.0
2023-04-06,0,0.0
2023-04-07,2,352.55
2023-04-08,0,0.0
2023-04-09,0,0.0
2023-04-10,2,352.55
2023-04-11,0,0.0
2023-04-12,0,0.0
2023-04-13,0,0.0
2023-04-14,0,0.0
2023-04-15,0,0.0
2023-04-16,3,268.5
2023-04-17,0,0.0
2023-04-18,0,0.0
2023-04-19,1,352.55
2023-04-20,0,0.0
2023-04-21,0,0.0
2023-04-22,0,0.0
2023-04-23,0,0.0
2023-04-24,0,0.0
2023-04-25,2,71.6
2023-04-26,1,179.0
2023-04-27,1,89.5
2023-04-28,0,0.0
2023-04-29,2,352.55
2023-04-30,0,0.0
2023-05-01,0,0.0
2023-05-02,3,268.5
2023-05-03,3,268.5
2023-05-04,4,179.0
2023-05-05,0,0.0
2023-05-06,0,0.0
2023-05-07,0,0.0
2023-05-08,0,0.0
2023-05-09,0,119.33333333333331
2023-05-10,1,352.55
2023-05-11,1,352.55
2023-05-12,0,0.0
2023-05-13,0,0.0
2023-05-14,3,134.25
2023-05-15,1,179.0
2023-05-16,2,352.55
2023-05-17,0,0.0
2023-05-18,0,0.0
2023-05-19,1,352.55
2023-05-20,0,0.0
2023-05-21,0,0.0
2023-05-22,0,0.0
2023-05-23,0,0.0
2023-05-24,0,0.0
2023-05-25,0,0.0
2023-05-26,2,352.55
2023-05-27,0,0.0
2023-05-28,0,0.0
2023-05-29,0,0.0
2023-05-30,0,0.0
2023-05-31,0,0.0
2023-06-01,0,0.0
2023-06-02,0,0.0
2023-06-03,0,0.0
2023-06-04,0,0.0
2023-06-05,0,0.0
2023-06-06,0,0.0
2023-06-07,0,0.0
2023-06-08,0,0.0
2023-06-09,0,0.0
2023-06-10,1,352.55
2023-06-11,1,79.5
2023-06-12,0,0.0
2023-06-13,1,352.55
2023-06-14,0,0.0
2023-06-15,0,0.0
2023-06-16,0,0.0
2023-06-17,0,0.0
2023-06-18,0,0.0
2023-06-19,0,0.0
2023-06-20,0,0.0
2023-06-21,0,0.0
2023-06-22,0,0.0
2023-06-23,0,0.0
2023-06-24,0,0.0
2023-06-25,0,0.0
2023-06-26,0,0.0
2023-06-27,1,352.55
2023-06-28,4,352.55
2023-06-29,2,352.55
2023-06-30,2,149.0
2023-07-01,3,447.0
2023-07-02,3,352.55
2023-07-03,5,745.0
2023-07-04,1,149.0
2023-07-05,10,1490.0
2023-07-06,6,447.0
2023-07-07,16,2384.0
2023-07-08,11,1639.0
2023-07-09,20,745.0
2023-07-10,4,596.0
2023-07-11,51,584.5384615384615
2023-07-12,33,1229.25
2023-07-13,11,352.55
2023-07-14,7,352.55
2023-07-15,3,352.55
2023-07-16,7,521.5
2023-07-17,7,521.5
2023-07-18,11,352.55
2023-07-19,13,352.55
2023-07-20,11,819.5
2023-07-21,12,352.55
2023-07-22,7,352.55
2023-07-23,10,1490.0
2023-07-24,6,298.0
2023-07-25,3,352.55
2023-07-26,4,352.55
2023-07-27,4,352.55
2023-07-28,6,447.0
2023-07-29,10,352.55
2023-07-30,8,596.0
2023-07-31,8,1192.0
2023-08-01,15,2235.0
2023-08-02,7,1043.0
2023-08-03,7,149.0
2023-08-04,11,546.3333333333333
2023-08-05,8,1192.0
2023-08-06,11,1639.0
2023-08-07,8,1192.0
2023-08-08,5,352.55
2023-08-09,6,894.0
2023-08-10,10,745.0
2023-08-11,4,596.0
2023-08-12,12,352.55
2023-08-13,8,596.0
2023-08-14,14,352.55
2023-08-15,14,695.3333333333333
2023-08-16,10,496.6666666666666
2023-08-17,6,447.0
2023-08-18,10,372.5
2023-08-19,16,476.8
2023-08-20,18,383.1428571428571
2023-08-21,11,819.5
2023-08-22,12,447.0
2023-08-23,18,298.0
2023-08-24,11,819.5
2023-08-25,11,819.5
2023-08-26,15,372.5
2023-08-27,12,357.6
2023-08-28,18,2682.0
2023-08-29,12,298.0
2023-08-30,8,397.33333333333326
2023-08-31,4,293.485
2023-09-01,10,291.98
2023-09-02,3,437.97
2023-09-03,10,243.31666666666663
2023-09-04,10,121.65833333333332
2023-09-05,10,729.95
2023-09-06,5,364.975
2023-09-07,5,729.95
2023-09-08,1,145.99
2023-09-09,7,204.386
2023-09-10,8,194.15166666666664
2023-09-11,5,729.95
2023-09-12,2,352.55
2023-09-13,2,352.55
2023-09-14,1,352.55
2023-09-15,13,1897.87
2023-09-16,1,352.55
2023-09-17,2,352.55
2023-09-18,1,352.55
2023-09-19,2,358.0
2023-09-20,1,352.55
2023-09-21,0,0.0
2023-09-22,0,0.0
2023-09-23,2,352.55
2023-09-24,1,352.55
2023-09-25,1,352.55
2023-09-26,0,0.0
2023-09-27,0,0.0
2023-09-28,1,352.55
2023-09-29,1,352.55
2023-09-30,1,352.55
2023-10-01,0,0.0
2023-10-02,3,141.66666666666666
2023-10-03,7,486.5
2023-10-04,8,185.3333333333333
2023-10-05,10,173.75
2023-10-06,12,185.3333333333333
2023-10-07,11,169.88888888888889
2023-10-08,14,162.16666666666666
2023-10-09,18,135.66666666666666
2023-10-10,479,134.91484716157203
2023-10-11,561,160.46341463414635
2023-10-12,18,249.2
2023-10-13,44,81.94666666666666
2023-10-14,42,76.59740259740259
2023-10-15,42,79.29729729729729
2023-10-16,39,84.703125
2023-10-17,36,178.71428571428572
2023-10-18,26,1204.6666666666663
2023-10-19,17,337.57142857142856
2023-10-20,23,1065.6666666666663
2023-10-21,20,2780.0
2023-10-22,17,295.375
2023-10-23,16,1112.0
2023-10-24,16,278.0
2023-10-25,19,1320.5
2023-10-26,9,625.5
