date,units,unit_price
2023-01-15,1,234.68136363636364
2023-01-16,0,0.0
2023-01-17,1,234.68136363636364
2023-01-18,0,0.0
2023-01-19,0,0.0
2023-01-20,0,0.0
2023-01-21,2,234.68136363636364
2023-01-22,0,0.0
2023-01-23,0,0.0
2023-01-24,2,234.68136363636364
2023-01-25,2,234.68136363636364
2023-01-26,4,146.48
2023-01-27,3,439.65
2023-01-28,3,439.65
2023-01-29,26,273.2346153846154
2023-01-30,13,111.31125
2023-01-31,21,576.274
2023-02-01,18,494.1
2023-02-02,22,494.7316666666666
2023-02-03,30,200.93
2023-02-04,26,696.48
2023-02-05,16,179.04
2023-02-06,14,235.59
2023-02-07,18,220.41272727272727
2023-02-08,36,404.01
2023-02-09,46,3080.85
2023-02-10,27,733.636
2023-02-11,6,378.0
2023-02-12,1,94.5
2023-02-13,1,40.675
2023-02-14,3,283.5
2023-02-15,3,283.5
2023-02-16,4,189.0
2023-02-17,2,75.6
2023-02-18,1,63.0
2023-02-19,1,63.0
2023-02-20,3,234.68136363636364
2023-02-21,1,94.5
2023-02-22,9,1701.0
2023-02-23,4,756.0
2023-02-24,4,378.0
2023-02-25,1,234.68136363636364
2023-02-26,0,0.0
2023-02-27,5,236.25
2023-02-28,4,252.0
2023-03-01,5,236.25
2023-03-02,0,0.0
2023-03-03,2,94.5
2023-03-04,3,70.875
2023-03-05,2,126.0
2023-03-06,4,189.0
2023-03-07,1,63.0
2023-03-08,1,189.0
2023-03-09,2,75.6
2023-03-10,6,162.0
2023-03-11,5,315.0
2023-03-12,1,94.5
2023-03-13,5,135.0
2023-03-14,2,63.0
2023-03-15,1,189.0
2023-03-16,2,94.5
2023-03-17,3,189.0
2023-03-18,2,126.0
2023-03-19,1,63.0
2023-03-20,1,63.0
2023-03-21,1,189.0
2023-03-22,0,0.0
2023-03-23,0,0.0
2023-03-24,1,234.68136363636364
2023-03-25,0,0.0
2023-03-26,4,252.0
2023-03-27,3,567.0
2023-03-28,0,189.0
2023-03-29,4,234.68136363636364
2023-03-30,6,226.8
2023-03-31,1,234.68136363636364
2023-04-01,0,0.0
2023-04-02,0,0.0
2023-04-03,0,0.0
2023-04-04,2,234.68136363636364
2023-04-05,0,0.0
2023-04-06,4,234.68136363636364
2023-04-07,0,0.0
2023-04-08,0,0.0
2023-04-09,0,0.0
2023-04-10,0,0.0
2023-04-11,0,0.0
2023-04-12,0,0.0
2023-04-13,1,234.68136363636364
2023-04-14,0,0.0
2023-04-15,1,234.68136363636364
2023-04-16,0,0.0
2023-04-17,0,0.0
2023-04-18,0,0.0
2023-04-19,0,0.0
2023-04-20,12,234.68136363636364
2023-04-21,1,234.68136363636364
2023-04-22,0,0.0
2023-04-23,1,234.68136363636364
2023-04-24,1,189.0
2023-04-25,2,378.0
2023-04-26,0,0.0
2023-04-27,0,0.0
2023-04-28,0,0.0
2023-04-29,0,0.0
2023-04-30,2,189.0
2023-05-01,0,0.0
2023-05-02,2,234.68136363636364
2023-05-03,2,378.0
2023-05-04,1,234.68136363636364
2023-05-05,2,234.68136363636364
2023-05-06,0,0.0
2023-05-07,0,0.0
2023-05-08,0,0.0
2023-05-09,0,0.0
2023-05-10,0,0.0
2023-05-11,0,0.0
2023-05-12,0,0.0
2023-05-13,0,0.0
2023-05-14,0,0.0
2023-05-15,0,0.0
2023-05-16,1,189.0
2023-05-17,3,234.68136363636364
2023-05-18,1,189.0
2023-05-19,0,0.0
2023-05-20,0,0.0
2023-05-21,0,0.0
2023-05-22,0,0.0
2023-05-23,0,0.0
2023-05-24,1,234.68136363636364
2023-05-25,1,189.0
2023-05-26,0,0.0
2023-05-27,0,0.0
2023-05-28,0,0.0
2023-05-29,0,0.0
2023-05-30,0,0.0
2023-05-31,0,0.0
2023-06-01,1,234.68136363636364
2023-06-02,0,0.0
2023-06-03,0,0.0
2023-06-04,0,0.0
2023-06-05,0,0.0
2023-06-06,1,234.68136363636364
2023-06-07,0,0.0
2023-06-08,0,0.0
2023-06-09,0,0.0
2023-06-10,0,0.0
2023-06-11,2,234.68136363636364
2023-06-12,0,0.0
2023-06-13,0,0.0
2023-06-14,0,0.0
2023-06-15,0,0.0
2023-06-16,0,0.0
2023-06-17,0,0.0
2023-06-18,0,0.0
2023-06-19,0,0.0
2023-06-20,0,0.0
2023-06-21,0,0.0
2023-06-22,0,0.0
2023-06-23,1,234.68136363636364
2023-06-24,0,0.0
2023-06-25,0,0.0
2023-06-26,1,234.68136363636364
2023-06-27,1,234.68136363636364
2023-06-28,2,234.68136363636364
2023-06-29,1,159.0
2023-06-30,3,477.0
2023-07-01,0,0.0
2023-07-02,3,477.0
2023-07-03,3,95.4
2023-07-04,0,0.0
2023-07-05,5,234.68136363636364
2023-07-06,11,874.5
2023-07-07,3,238.5
2023-07-08,7,222.6
2023-07-09,8,636.0
2023-07-10,5,198.75
2023-07-11,15,340.71428571428567
2023-07-12,48,763.2
