date,units,unit_price
2023-01-05,6,223.5
2023-01-06,0,0.0
2023-01-07,0,0.0
2023-01-08,0,0.0
2023-01-09,0,0.0
2023-01-10,2,74.995
2023-01-11,1,16.665555555555557
2023-01-12,10,136.35454545454544
2023-01-13,4,66.66222222222223
2023-01-14,2,37.4975
2023-01-15,2,73.53
2023-01-16,4,44.34769230769231
2023-01-17,6,217.29
2023-01-18,10,160.95555555555555
2023-01-19,4,82.82857142857142
2023-01-20,1,29.018
2023-01-21,3,54.4875
2023-01-22,15,114.4657894736842
2023-01-23,10,132.96272727272728
2023-01-24,10,99.33333333333331
2023-01-25,5,82.77777777777777
2023-01-26,5,149.0
2023-01-27,9,121.9090909090909
2023-01-28,9,223.5
2023-01-29,5,37.25
2023-01-30,8,70.11764705882352
2023-01-31,16,125.47368421052632
2023-02-01,6,33.111111111111114
2023-02-02,19,141.55
2023-02-03,17,105.54166666666666
2023-02-04,14,149.0
2023-02-05,20,186.25
2023-02-06,18,268.2
2023-02-07,7,94.8181818181818
2023-02-08,13,113.94117647058825
2023-02-09,14,231.77777777777777
2023-02-10,20,141.9047619047619
2023-02-11,17,168.86666666666665
2023-02-12,14,149.0
2023-02-13,19,134.8095238095238
2023-02-14,5,62.08333333333333
2023-02-15,16,238.4
2023-02-16,24,447.0
2023-02-17,16,103.65217391304348
2023-02-18,5,31.041666666666664
2023-02-19,2,19.866666666666664
2023-02-20,4,59.6
2023-02-21,3,23.526315789473685
2023-02-22,0,0.0
2023-02-23,5,24.83333333333333
2023-02-24,0,12.416666666666666
2023-02-25,0,0.0
2023-02-26,2,21.285714285714285
2023-02-27,2,29.8
2023-02-28,0,29.8
2023-03-01,1,9.933333333333332
2023-03-02,0,0.0
2023-03-03,0,22.923076923076923
2023-03-04,0,16.555555555555557
2023-03-05,0,0.0
2023-03-06,0,0.0
2023-03-07,0,0.0
2023-03-08,0,0.0
2023-03-09,0,0.0
2023-03-10,0,0.0
2023-03-11,0,0.0
2023-03-12,0,0.0
2023-03-13,0,0.0
2023-03-14,0,0.0
2023-03-15,0,0.0
2023-03-16,0,0.0
2023-03-17,0,0.0
2023-03-18,0,0.0
2023-03-19,0,0.0
2023-03-20,0,0.0
2023-03-21,0,0.0
2023-03-22,0,0.0
2023-03-23,0,0.0
2023-03-24,0,0.0
2023-03-25,0,0.0
2023-03-26,0,0.0
2023-03-27,0,0.0
2023-03-28,0,0.0
