date,units,unit_price
2023-06-19,0,0.0
2023-06-20,0,0.0
2023-06-21,0,0.0
2023-06-22,0,0.0
2023-06-23,0,0.0
2023-06-24,0,0.0
2023-06-25,0,0.0
2023-06-26,0,0.0
2023-06-27,0,0.0
2023-06-28,0,0.0
2023-06-29,0,0.0
2023-06-30,0,0.0
2023-07-01,0,0.0
2023-07-02,0,0.0
2023-07-03,0,0.0
2023-07-04,0,0.0
2023-07-05,1,269.98
2023-07-06,0,0.0
2023-07-07,0,0.0
2023-07-08,0,0.0
2023-07-09,1,269.98
2023-07-10,2,269.98
2023-07-11,0,0.0
2023-07-12,0,0.0
2023-07-13,0,0.0
2023-07-14,0,0.0
2023-07-15,1,269.98
2023-07-16,1,134.99
2023-07-17,0,0.0
2023-07-18,0,0.0
2023-07-19,1,269.98
2023-07-20,0,0.0
2023-07-21,0,0.0
2023-07-22,1,269.98
2023-07-23,0,0.0
2023-07-24,0,0.0
2023-07-25,0,0.0
2023-07-26,0,0.0
2023-07-27,0,0.0
2023-07-28,1,269.98
2023-07-29,2,269.98
2023-07-30,0,0.0
2023-07-31,0,0.0
2023-08-01,0,0.0
2023-08-02,1,269.98
2023-08-03,0,0.0
2023-08-04,0,0.0
2023-08-05,0,0.0
2023-08-06,0,0.0
2023-08-07,0,0.0
2023-08-08,0,0.0
2023-08-09,0,0.0
2023-08-10,0,0.0
2023-08-11,0,0.0
2023-08-12,0,0.0
2023-08-13,0,0.0
2023-08-14,0,0.0
2023-08-15,0,0.0
2023-08-16,0,0.0
2023-08-17,0,0.0
2023-08-18,0,0.0
2023-08-19,0,0.0
2023-08-20,0,0.0
2023-08-21,0,0.0
2023-08-22,0,0.0
2023-08-23,0,0.0
2023-08-24,0,0.0
2023-08-25,0,0.0
2023-08-26,0,0.0
2023-08-27,0,0.0
2023-08-28,0,0.0
2023-08-29,0,0.0
2023-08-30,0,0.0
2023-08-31,0,0.0
2023-09-01,0,0.0
2023-09-02,0,0.0
2023-09-03,0,0.0
2023-09-04,0,0.0
2023-09-05,0,0.0
2023-09-06,0,0.0
2023-09-07,0,0.0
2023-09-08,0,0.0
2023-09-09,0,0.0
2023-09-10,0,0.0
2023-09-11,2,269.98
2023-09-12,1,269.98
2023-09-13,0,0.0
2023-09-14,6,269.98
2023-09-15,12,269.98
2023-09-16,0,0.0
2023-09-17,16,269.98
2023-09-18,3,269.98
2023-09-19,2,269.98
2023-09-20,4,269.98
2023-09-21,0,0.0
2023-09-22,4,269.98
2023-09-23,5,269.98
2023-09-24,1,269.98
2023-09-25,18,269.98
2023-09-26,6,269.98
2023-09-27,0,0.0
2023-09-28,0,0.0
2023-09-29,0,0.0
2023-09-30,3,269.98
2023-10-01,14,269.98
2023-10-02,22,269.98
2023-10-03,0,0.0
2023-10-04,1,269.98
2023-10-05,0,0.0
2023-10-06,2,269.98
2023-10-07,0,0.0
2023-10-08,6,269.98
2023-10-09,10,269.98
2023-10-10,30,269.98
2023-10-11,50,269.98
2023-10-12,1,269.98
2023-10-13,0,0.0
2023-10-14,0,0.0
2023-10-15,1,269.98
2023-10-16,1,269.98
2023-10-17,0,0.0
2023-10-18,4,269.98
2023-10-19,8,269.98
2023-10-20,2,269.98
2023-10-21,4,269.98
2023-10-22,0,0.0
2023-10-23,0,0.0
2023-10-24,1,269.98
2023-10-25,0,0.0
2023-10-26,0,0.0
2023-10-27,1,269.98
2023-10-28,2,269.98
2023-10-29,6,269.98
2023-10-30,6,269.98
2023-10-31,0,0.0
2023-11-01,12,269.98
2023-11-02,4,269.98
2023-11-03,0,0.0
2023-11-04,8,269.98
2023-11-05,2,269.98
2023-11-06,6,269.98
2023-11-07,5,269.98
2023-11-08,8,269.98
2023-11-09,83,269.98
2023-11-10,0,0.0
2023-11-11,2,269.98
2023-11-12,1,269.98
2023-11-13,0,0.0
2023-11-14,0,0.0
2023-11-15,1,269.98
2023-11-16,0,0.0
2023-11-17,0,0.0
2023-11-18,1,269.98
2023-11-19,2,269.98
2023-11-20,4,269.98
2023-11-21,0,0.0
2023-11-22,0,0.0
2023-11-23,5,269.98
2023-11-24,3,404.97
2023-11-25,1,269.98
2023-11-26,2,269.98
2023-11-27,1,269.98
2023-11-28,2,269.98
2023-11-29,0,0.0
2023-11-30,0,0.0
2023-12-01,1,269.98
2023-12-02,2,269.98
2023-12-03,0,0.0
2023-12-04,0,0.0
2023-12-05,2,269.98
2023-12-06,1,269.98
2023-12-07,1,269.98
2023-12-08,0,0.0
2023-12-09,4,269.98
2023-12-13,0,0.0
2023-12-16,10,269.98
2023-12-22,1,269.98
2023-12-23,0,0.0
2023-12-24,0,0.0
2023-12-25,0,0.0
2023-12-26,1,269.98
2023-12-27,0,0.0
2023-12-28,0,0.0
2023-12-29,0,0.0
2023-12-30,8,269.98
2023-12-31,1,269.98
2024-01-01,2,269.98
2024-01-02,1,269.98
2024-01-03,6,269.98
2024-01-04,0,0.0
2024-01-06,0,0.0
2024-01-11,0,0.0
2024-01-22,3,269.98
2024-01-23,10,269.98
2024-02-06,0,0.0
2024-02-07,0,0.0
2024-02-28,4,269.98
2024-02-29,0,0.0
2024-03-01,14,269.98
2024-03-02,1,269.98
2024-03-03,29,269.98
2024-03-04,1,269.98
2024-03-05,0,0.0
2024-03-06,0,0.0
2024-03-07,2,269.98
2024-03-08,0,0.0
2024-03-09,7,269.98
2024-03-10,6,269.98
2024-03-11,10,269.98
2024-03-12,1,269.98
2024-03-13,0,0.0
2024-03-14,1,269.98
2024-03-15,1,269.98
2024-03-16,7,269.98
2024-03-17,0,0.0
2024-03-18,3,269.98
2024-03-19,0,0.0
2024-03-20,0,0.0
2024-03-21,1,269.98
2024-03-22,1,269.98
2024-03-23,7,269.98
2024-03-24,0,0.0
2024-03-25,1,269.98
2024-03-26,4,269.98
2024-03-27,3,269.98
2024-03-28,4,269.98
2024-03-29,7,269.98
2024-03-30,1,269.98
2024-03-31,3,269.98
2024-04-01,6,269.98
2024-04-05,3,269.98
2024-04-14,1,269.98
2024-04-17,0,0.0
2024-05-28,0,0.0
2024-05-29,1,269.98
2024-05-30,0,0.0
2024-05-31,0,0.0
