date,units,unit_price
2023-02-21,0,0.0
2023-02-22,0,0.0
2023-02-23,0,0.0
2023-02-24,1,129.99
2023-02-25,1,129.99
2023-02-26,0,0.0
2023-02-27,0,0.0
2023-02-28,2,129.99
2023-03-01,0,0.0
2023-03-02,0,0.0
2023-03-03,3,117.73
2023-03-04,1,117.73
2023-03-05,0,0.0
2023-03-06,0,0.0
2023-03-07,1,234.0
2023-03-08,0,0.0
2023-03-09,2,234.0
2023-03-10,0,0.0
2023-03-11,1,234.0
2023-03-12,0,0.0
2023-03-13,0,0.0
2023-03-14,1,234.0
2023-03-15,1,119.98
2023-03-16,2,234.0
2023-03-17,1,234.0
2023-03-18,0,0.0
2023-03-19,0,0.0
2023-03-20,1,118.91
2023-03-21,1,129.99
2023-03-22,1,234.0
2023-03-23,1,234.0
2023-03-24,1,234.0
2023-03-25,1,129.99
2023-03-26,2,259.98
2023-03-27,0,0.0
2023-03-28,0,0.0
2023-03-29,1,234.0
2023-03-30,3,234.0
2023-03-31,4,234.0
2023-04-01,0,0.0
2023-04-02,0,0.0
2023-04-03,1,234.0
2023-04-04,0,0.0
2023-04-05,0,0.0
2023-04-06,0,0.0
2023-04-07,0,0.0
2023-04-08,1,234.0
2023-04-09,2,234.0
2023-04-10,1,234.0
2023-04-11,0,0.0
2023-04-12,1,234.0
2023-04-13,1,234.0
2023-04-14,1,234.0
2023-04-15,1,234.0
2023-04-16,1,234.0
2023-04-17,1,234.0
2023-04-18,1,234.0
2023-04-19,0,0.0
2023-04-20,0,0.0
2023-04-21,2,234.0
2023-04-22,0,0.0
2023-04-23,0,0.0
2023-04-24,0,0.0
2023-04-25,0,0.0
2023-04-26,1,234.0
2023-04-27,0,0.0
2023-04-28,0,0.0
2023-04-29,0,0.0
2023-04-30,0,0.0
2023-05-01,0,0.0
2023-05-02,0,0.0
2023-05-03,0,0.0
2023-05-04,0,0.0
2023-05-05,0,0.0
2023-05-06,2,234.0
2023-05-07,3,234.0
2023-05-08,1,234.0
2023-05-09,0,0.0
2023-05-10,1,234.0
2023-05-11,0,0.0
2023-05-12,1,234.0
2023-05-13,0,0.0
2023-05-14,0,0.0
2023-05-15,0,0.0
2023-05-16,2,234.0
2023-05-17,0,0.0
2023-05-18,1,234.0
2023-05-19,0,0.0
2023-05-20,1,234.0
2023-05-21,0,0.0
2023-05-22,1,234.0
2023-05-23,0,0.0
2023-05-24,1,234.0
2023-05-25,0,0.0
2023-05-26,1,234.0
2023-05-27,4,234.0
2023-05-28,1,234.0
2023-05-29,2,234.0
2023-05-30,2,234.0
2023-05-31,1,234.0
2023-06-01,2,259.98
2023-06-02,0,0.0
2023-06-03,2,234.0
2023-06-04,0,0.0
2023-06-05,2,234.0
2023-06-06,0,0.0
2023-06-07,2,234.0
2023-06-08,0,0.0
2023-06-09,0,0.0
2023-06-10,0,0.0
2023-06-11,1,129.99
2023-06-12,0,0.0
2023-06-13,0,0.0
2023-06-14,0,0.0
2023-06-15,0,0.0
2023-06-16,1,234.0
2023-06-17,4,234.0
2023-06-18,0,0.0
2023-06-19,1,234.0
2023-06-20,2,234.0
2023-06-21,1,234.0
2023-06-22,2,234.0
2023-06-23,3,234.0
2023-06-24,1,234.0
2023-06-25,8,234.0
2023-06-26,5,234.0
2023-06-27,1,234.0
2023-06-28,2,234.0
2023-06-29,2,234.0
2023-06-30,7,234.0
2023-07-01,1,234.0
2023-07-02,12,1404.0
2023-07-03,5,234.0
2023-07-04,5,234.0
2023-07-05,8,1039.92
2023-07-06,3,234.0
2023-07-07,10,234.0
2023-07-08,16,795.6
2023-07-09,12,581.43
2023-07-10,7,726.69
2023-07-11,34,845.325
2023-07-12,39,1939.275
2023-07-13,12,1193.4
2023-07-14,8,234.0
2023-07-15,5,234.0
2023-07-16,0,0.0
2023-07-17,3,234.0
2023-07-18,0,0.0
2023-07-19,5,234.0
2023-07-20,7,234.0
2023-07-21,14,234.0
2023-07-22,2,234.0
2023-07-23,3,234.0
2023-07-24,1,234.0
2023-07-25,0,0.0
2023-07-26,0,0.0
2023-07-27,1,234.0
2023-07-28,2,234.0
2023-07-29,2,234.0
2023-07-30,2,234.0
2023-07-31,3,234.0
2023-08-01,0,0.0
2023-08-02,3,234.0
2023-08-03,2,234.0
2023-08-04,0,0.0
2023-08-05,1,234.0
2023-08-06,2,234.0
2023-08-07,2,234.0
2023-08-08,0,0.0
2023-08-09,1,234.0
2023-08-10,0,0.0
2023-08-11,0,0.0
2023-08-12,0,0.0
2023-08-13,0,0.0
2023-08-14,0,0.0
2023-08-15,0,0.0
2023-08-16,0,0.0
2023-08-17,0,0.0
2023-08-18,0,0.0
2023-08-19,0,0.0
2023-08-20,0,0.0
2023-08-21,0,0.0
2023-08-22,0,0.0
2023-08-23,0,0.0
2023-08-24,0,0.0
2023-08-25,0,0.0
2023-08-26,0,0.0
2023-08-27,0,0.0
2023-08-28,0,0.0
2023-08-29,1,234.0
2023-08-30,0,0.0
2023-08-31,1,234.0
2023-09-01,0,0.0
2023-09-02,2,234.0
2023-09-03,0,0.0
2023-09-04,1,234.0
2023-09-05,0,0.0
2023-09-06,0,0.0
2023-09-07,1,234.0
2023-09-08,1,234.0
2023-09-09,0,0.0
2023-09-10,0,0.0
2023-09-11,0,0.0
2023-09-12,0,0.0
2023-09-13,1,234.0
2023-09-14,0,0.0
2023-09-15,19,234.0
2023-09-16,1,234.0
2023-09-17,0,0.0
2023-09-18,0,0.0
2023-09-25,7,234.0
2023-09-26,0,0.0
2023-09-27,1,234.0
