date,units,unit_price
2023-02-21,1,72.905
2023-02-22,1,72.905
2023-02-23,4,72.905
2023-02-24,1,95.99
2023-02-25,3,72.905
2023-02-26,3,72.905
2023-02-27,2,72.905
2023-02-28,2,37.375
2023-03-01,0,0.0
2023-03-02,1,36.605
2023-03-03,0,0.0
2023-03-04,0,0.0
2023-03-05,0,0.0
2023-03-06,0,0.0
2023-03-07,0,0.0
2023-03-08,3,72.905
2023-03-09,0,0.0
2023-03-10,1,72.58
2023-03-11,16,36.29
2023-03-12,3,109.92
2023-03-13,0,0.0
2023-03-14,3,44.178
2023-03-15,1,36.76
2023-03-16,1,36.76
2023-03-17,1,72.905
2023-03-18,2,142.93
2023-03-19,0,0.0
2023-03-20,1,70.12
2023-03-21,2,33.222
2023-03-22,2,140.24
2023-03-23,1,70.12
2023-03-24,1,70.12
2023-03-25,3,70.12
2023-03-26,1,35.275
2023-03-27,2,72.905
2023-03-28,61,4303.55
2023-03-29,1,72.905
2023-03-30,0,0.0
2023-03-31,0,0.0
2023-04-01,0,0.0
2023-04-02,1,72.905
2023-04-03,0,0.0
2023-04-04,0,0.0
2023-04-05,0,0.0
2023-04-06,0,0.0
2023-04-07,0,0.0
2023-04-08,1,99.99
2023-04-09,0,0.0
2023-04-10,2,199.98
2023-04-11,0,0.0
2023-04-12,0,0.0
2023-04-13,0,0.0
2023-04-14,2,199.98
2023-04-15,1,99.99
2023-04-16,1,72.905
2023-04-17,0,0.0
2023-04-18,0,0.0
2023-04-19,0,0.0
2023-04-20,0,0.0
2023-04-21,0,0.0
2023-04-22,0,0.0
2023-04-23,0,0.0
2023-04-24,0,0.0
2023-04-25,0,0.0
2023-04-26,0,0.0
2023-04-27,0,0.0
2023-04-28,4,72.905
2023-04-29,0,0.0
2023-04-30,0,0.0
2023-05-01,0,0.0
2023-05-02,0,0.0
2023-05-03,0,0.0
2023-05-04,0,0.0
2023-05-05,1,73.6
2023-05-06,2,49.06666666666666
2023-05-07,3,44.16
2023-05-08,0,0.0
2023-05-09,1,24.53333333333333
2023-05-10,0,0.0
2023-05-11,1,72.905
2023-05-12,5,73.22
2023-05-13,1,36.61
2023-05-14,1,72.905
2023-05-15,1,72.61
2023-05-16,1,72.905
2023-05-17,0,0.0
2023-05-18,0,0.0
2023-05-19,1,72.905
2023-05-20,6,146.44
2023-05-21,3,54.915
2023-05-22,1,73.22
2023-05-23,0,0.0
2023-05-24,1,72.905
2023-05-25,1,36.61
2023-05-26,2,146.44
2023-05-27,1,24.4
2023-05-28,2,73.2
2023-05-29,0,0.0
2023-05-30,0,0.0
2023-05-31,1,36.6
2023-06-01,0,0.0
2023-06-02,0,0.0
2023-06-03,0,0.0
2023-06-04,1,72.905
2023-06-05,3,72.905
2023-06-06,3,72.905
2023-06-07,0,0.0
2023-06-08,0,0.0
2023-06-09,0,0.0
2023-06-10,0,0.0
2023-06-11,0,0.0
2023-06-12,0,0.0
2023-06-13,0,0.0
2023-06-14,0,0.0
2023-06-15,1,72.905
2023-06-16,1,72.905
2023-06-17,0,0.0
2023-06-18,5,72.905
2023-06-19,0,0.0
2023-06-20,2,72.905
2023-06-21,0,0.0
2023-06-22,2,72.905
2023-06-23,1,72.905
2023-06-24,0,0.0
2023-06-25,3,119.61
2023-06-26,7,62.02
2023-06-27,2,15.948
2023-06-28,4,28.99636363636364
2023-06-29,2,39.87
2023-06-30,1,13.29
2023-07-01,3,26.58
2023-07-02,5,30.66923076923077
2023-07-03,4,30.54
2023-07-04,5,46.70875
2023-07-05,13,138.04142857142855
2023-07-06,10,46.68625
2023-07-07,12,90.43333333333332
2023-07-08,11,31.11458333333333
2023-07-09,19,44.61206896551724
2023-07-10,19,70.88055555555556
2023-07-11,52,71.44816326530612
2023-07-12,61,186.5604545454545
2023-07-13,7,33.575
2023-07-14,17,63.85
2023-07-15,13,79.35909090909091
2023-07-16,21,202.50571428571428
2023-07-17,8,136.1375
2023-07-18,4,268.6
2023-07-19,4,19.185714285714283
2023-07-20,4,29.844444444444445
2023-07-21,8,41.914615384615374
2023-07-22,4,74.84
2023-07-23,5,74.15
2023-07-24,3,72.905
2023-07-25,3,111.225
2023-07-26,7,72.905
2023-07-27,3,121.99
2023-07-28,2,50.36666666666667
2023-07-29,2,37.92
2023-07-30,3,76.13
2023-07-31,2,72.905
2023-08-01,2,75.7
2023-08-02,0,0.0
2023-08-03,3,114.135
2023-08-04,2,152.18
2023-08-05,1,72.905
2023-08-06,0,0.0
2023-08-07,1,40.92
2023-08-08,1,81.84
2023-08-09,0,0.0
2023-08-10,0,0.0
2023-08-11,0,0.0
2023-08-12,0,0.0
2023-08-13,0,0.0
2023-08-14,0,0.0
2023-08-15,0,0.0
2023-08-16,0,0.0
2023-08-17,0,0.0
2023-08-18,2,72.905
2023-08-19,0,0.0
2023-08-20,0,0.0
2023-08-21,0,0.0
2023-08-22,0,0.0
2023-08-23,0,0.0
2023-08-24,2,72.905
2023-08-25,0,0.0
2023-08-26,0,0.0
2023-08-27,0,0.0
2023-08-28,0,0.0
2023-08-29,0,0.0
2023-08-30,0,0.0
2023-08-31,0,0.0
2023-09-01,1,90.15
2023-09-02,1,72.905
2023-09-03,1,89.99
2023-09-04,0,0.0
2023-09-05,0,0.0
2023-09-06,0,0.0
2023-09-07,3,72.905
2023-09-08,1,72.905
2023-09-09,0,0.0
2023-09-10,1,72.905
2023-09-11,0,0.0
2023-09-12,0,0.0
2023-09-13,0,0.0
2023-09-14,2,72.905
2023-09-15,4,72.905
2023-09-16,0,0.0
2023-09-19,0,0.0
2023-09-21,0,0.0
2023-09-23,0,0.0
2023-09-25,1,72.905
2023-09-26,0,0.0
2023-09-27,0,0.0
2023-09-28,0,0.0
2023-09-29,2,72.905
2023-09-30,1,72.905
2023-10-01,17,72.905
2023-10-02,0,0.0
2023-10-03,1,72.905
2023-10-04,0,0.0
2023-10-05,1,72.905
2023-10-06,1,45.265
2023-10-07,1,90.53
2023-10-08,1,72.905
2023-10-09,0,0.0
2023-10-10,4,320.4
2023-10-11,2,22.885714285714283
2023-10-12,4,72.905
2023-10-13,2,160.8
2023-10-14,1,72.905
2023-10-15,3,80.15666666666665
2023-10-16,4,106.71333333333332
2023-10-17,0,0.0
2023-10-18,0,0.0
2023-10-19,0,0.0
2023-10-20,0,0.0
2023-10-21,0,0.0
2023-10-22,0,0.0
2023-10-23,0,0.0
2023-10-24,0,0.0
2023-10-25,0,0.0
2023-10-27,11,72.905
2023-10-28,2,72.905
2023-10-29,0,0.0
2023-10-30,0,0.0
2023-11-01,0,0.0
2023-11-03,0,0.0
2023-11-04,0,0.0
2023-11-05,2,72.905
2023-11-06,5,72.905
2023-11-07,1,72.905
2023-11-08,0,0.0
2023-11-09,42,72.905
2023-11-10,3,120.425
2023-11-11,0,0.0
2023-11-12,1,20.0825
2023-11-13,3,60.1775
2023-11-14,5,400.94
2023-11-15,1,26.726666666666663
2023-11-16,1,16.122
2023-11-17,1,72.905
2023-11-18,1,72.905
2023-11-19,1,72.905
2023-11-20,0,0.0
2023-11-21,5,80.33
2023-11-22,1,72.905
2023-11-23,2,72.905
2023-11-24,15,63.51368421052632
2023-11-25,6,30.12375
2023-11-26,5,19.090476190476192
2023-11-27,15,54.64090909090909
2023-11-28,6,80.18
2023-11-29,4,80.17
2023-11-30,1,11.452857142857145
2023-12-01,3,240.79
2023-12-02,3,40.20166666666666
2023-12-03,9,80.22666666666666
2023-12-04,3,120.24
2023-12-05,3,120.24
2023-12-06,3,80.16
2023-12-07,0,0.0
2023-12-08,1,72.905
2023-12-09,4,64.304
2023-12-10,1,80.17
2023-12-11,1,80.17
2023-12-12,2,160.34
2023-12-13,1,40.085
2023-12-14,0,0.0
2023-12-15,2,72.905
2023-12-16,2,80.46
2023-12-17,0,40.085
2023-12-18,2,160.62
2023-12-19,0,40.3
2023-12-20,0,0.0
2023-12-21,0,0.0
2023-12-22,2,161.2
2023-12-23,0,0.0
2023-12-24,0,0.0
2023-12-25,0,0.0
2023-12-26,1,72.905
2023-12-27,1,72.905
2023-12-28,1,72.905
2023-12-29,0,0.0
2023-12-30,6,72.905
2023-12-31,1,72.905
2024-01-01,1,72.905
2024-01-02,0,0.0
2024-01-03,0,0.0
2024-01-04,0,0.0
2024-01-05,0,0.0
2024-01-06,0,0.0
2024-01-07,0,0.0
2024-01-08,1,72.905
2024-01-09,0,0.0
2024-01-10,0,0.0
2024-01-11,0,0.0
2024-01-12,1,72.905
2024-01-13,2,72.905
2024-01-14,0,0.0
2024-01-15,0,0.0
2024-01-16,1,72.905
2024-01-17,0,0.0
2024-01-18,0,0.0
2024-01-19,1,72.905
2024-01-20,31,72.905
2024-01-21,8,72.905
2024-01-22,4,72.905
2024-01-23,0,0.0
2024-01-24,0,0.0
2024-01-25,3,270.42
2024-01-26,0,0.0
2024-01-27,0,0.0
2024-01-28,0,0.0
2024-01-29,1,90.14
2024-01-30,0,0.0
2024-01-31,2,72.905
2024-02-01,0,0.0
2024-02-02,0,0.0
2024-02-03,97,72.905
2024-02-04,2,72.905
2024-02-05,3,72.905
2024-02-06,0,0.0
2024-02-07,3,72.905
2024-02-08,0,0.0
2024-02-09,0,0.0
2024-02-10,0,0.0
2024-02-11,8,72.905
2024-02-12,0,0.0
2024-02-13,0,0.0
2024-02-14,1,72.905
2024-02-15,0,0.0
2024-02-16,6,72.905
2024-02-17,3,72.905
2024-02-18,0,0.0
2024-02-19,0,0.0
2024-02-20,5,72.905
2024-02-21,0,0.0
2024-02-22,17,72.905
2024-02-23,1,72.905
2024-02-24,0,0.0
2024-02-25,0,0.0
2024-02-26,0,0.0
2024-02-27,1,90.12
2024-02-28,0,0.0
2024-02-29,1,45.06
2024-03-01,0,0.0
2024-03-02,2,60.08
2024-03-03,1,89.96
2024-03-04,0,0.0
2024-03-05,0,0.0
2024-03-06,0,0.0
2024-03-07,6,72.905
2024-03-08,1,90.12
2024-03-09,0,0.0
2024-03-10,2,59.76333333333333
2024-03-11,0,0.0
2024-03-12,1,72.905
2024-03-13,0,0.0
2024-03-14,0,0.0
2024-03-15,0,0.0
2024-03-16,0,0.0
2024-03-17,0,0.0
2024-03-18,4,72.905
2024-03-19,0,0.0
2024-03-20,0,0.0
2024-03-21,1,89.31
2024-03-22,0,0.0
2024-03-23,0,0.0
2024-03-24,16,72.905
2024-03-25,0,0.0
2024-03-26,0,0.0
2024-03-27,1,72.905
2024-03-28,0,0.0
2024-03-29,1,72.905
2024-03-30,0,0.0
2024-03-31,0,0.0
2024-04-01,0,0.0
2024-04-02,0,0.0
2024-04-03,0,0.0
2024-04-04,0,0.0
2024-04-05,2,72.905
2024-04-08,4,72.905
2024-04-09,1,72.905
2024-04-11,0,0.0
2024-04-12,0,0.0
2024-04-13,0,0.0
2024-04-29,2,72.905
2024-04-30,0,0.0
2024-05-01,0,0.0
2024-05-18,0,0.0
2024-05-19,1,72.905
2024-05-20,0,0.0
2024-05-28,0,0.0
2024-05-29,0,0.0
2024-05-31,1,72.905
