date,units,unit_price
2023-02-21,0,0.0
2023-02-22,0,0.0
2023-02-23,0,0.0
2023-02-24,0,0.0
2023-02-25,0,0.0
2023-02-26,0,0.0
2023-02-27,0,0.0
2023-02-28,0,0.0
2023-03-01,0,0.0
2023-03-02,2,168.0
2023-03-03,0,0.0
2023-03-04,1,168.0
2023-03-05,1,168.0
2023-03-06,3,168.0
2023-03-07,0,0.0
2023-03-08,1,189.0
2023-03-09,0,0.0
2023-03-10,0,0.0
2023-03-11,0,0.0
2023-03-12,0,0.0
2023-03-13,0,0.0
2023-03-14,0,0.0
2023-03-15,0,0.0
2023-03-16,1,168.0
2023-03-17,0,0.0
2023-03-18,0,0.0
2023-03-19,0,0.0
2023-03-20,0,0.0
2023-03-21,0,0.0
2023-03-22,0,0.0
2023-03-23,0,0.0
2023-03-24,1,189.0
2023-03-25,0,0.0
2023-03-26,0,0.0
2023-03-27,0,0.0
2023-03-28,0,0.0
2023-03-29,0,0.0
2023-03-30,0,0.0
2023-03-31,0,0.0
2023-04-01,0,0.0
2023-04-02,0,0.0
2023-04-03,0,0.0
2023-04-04,0,0.0
2023-04-05,2,168.0
2023-04-06,1,168.0
2023-04-07,1,168.0
2023-04-08,0,0.0
2023-04-09,1,168.0
2023-04-10,0,0.0
2023-04-11,0,0.0
2023-04-12,0,0.0
2023-04-13,0,0.0
2023-04-14,0,0.0
2023-04-15,0,0.0
2023-04-16,0,0.0
2023-04-17,0,0.0
2023-04-18,0,189.0
2023-04-19,2,168.0
2023-04-20,1,84.0
2023-04-21,0,0.0
2023-04-22,0,0.0
2023-04-23,0,0.0
2023-04-24,0,0.0
2023-04-25,0,0.0
2023-04-26,0,0.0
2023-04-27,0,0.0
2023-04-28,1,42.0
2023-04-29,1,84.0
2023-04-30,1,28.0
2023-05-01,1,42.0
2023-05-02,3,504.0
2023-05-03,6,126.0
2023-05-04,8,448.0
2023-05-05,5,840.0
2023-05-06,5,168.0
2023-05-07,3,252.0
2023-05-08,7,1176.0
2023-05-09,2,112.0
2023-05-10,4,672.0
2023-05-11,2,84.0
2023-05-12,4,336.0
2023-05-13,2,84.0
2023-05-14,6,112.0
2023-05-15,3,126.0
2023-05-16,15,157.5
2023-05-17,10,420.0
2023-05-18,4,168.0
2023-05-19,5,420.0
2023-05-20,5,840.0
2023-05-21,4,672.0
2023-05-22,1,168.0
2023-05-23,4,224.0
2023-05-24,3,100.8
2023-05-25,3,168.0
2023-05-26,4,621.52
2023-05-27,4,672.0
2023-05-28,2,112.0
2023-05-29,1,56.0
2023-05-30,0,0.0
2023-05-31,0,56.0
2023-06-01,5,210.0
2023-06-02,0,0.0
2023-06-03,0,0.0
2023-06-04,0,0.0
2023-06-05,0,0.0
2023-06-06,0,0.0
2023-06-07,0,0.0
2023-06-08,0,0.0
2023-06-09,0,0.0
2023-06-10,0,0.0
2023-06-11,0,0.0
2023-06-12,0,0.0
2023-06-13,0,0.0
2023-06-14,0,0.0
2023-06-15,0,0.0
2023-06-16,0,0.0
2023-06-17,0,0.0
2023-06-18,0,0.0
2023-06-19,0,0.0
2023-06-20,0,0.0
2023-06-21,0,0.0
2023-06-22,0,0.0
2023-06-23,0,0.0
2023-06-24,0,0.0
2023-06-25,0,0.0
2023-06-26,0,0.0
2023-06-27,0,0.0
2023-06-28,0,0.0
2023-06-29,0,0.0
2023-06-30,0,0.0
2023-07-01,0,0.0
2023-07-02,0,0.0
2023-07-03,0,0.0
2023-07-04,0,0.0
2023-07-05,0,0.0
2023-07-06,0,0.0
2023-07-07,0,0.0
2023-07-08,0,0.0
2023-07-09,0,0.0
2023-07-10,0,0.0
2023-07-11,0,0.0
2023-07-12,0,0.0
2023-07-13,0,0.0
2023-07-14,0,0.0
2023-07-15,0,0.0
2023-07-16,0,0.0
2023-07-17,0,0.0
2023-07-18,0,0.0
2023-07-19,0,0.0
2023-07-20,0,0.0
2023-07-21,0,0.0
2023-07-22,0,0.0
2023-07-23,0,0.0
2023-07-24,0,0.0
2023-07-25,0,0.0
2023-07-26,0,0.0
2023-07-27,0,0.0
2023-07-28,0,0.0
2023-07-29,0,0.0
2023-07-30,0,0.0
2023-07-31,0,0.0
2023-08-01,0,0.0
2023-08-02,0,0.0
2023-08-03,0,0.0
2023-08-04,0,0.0
2023-08-20,0,0.0
2023-08-21,0,0.0
2023-08-22,0,0.0
2023-08-23,0,0.0
2023-08-24,0,0.0
2023-08-25,0,0.0
2023-08-26,0,0.0
2023-08-27,0,0.0
2023-08-28,0,0.0
2023-08-29,0,0.0
2023-08-30,0,0.0
2023-08-31,0,0.0
2023-09-01,0,0.0
2023-09-02,0,0.0
2023-09-03,0,0.0
2023-09-19,0,0.0
2023-12-07,0,0.0
