date,units,unit_price
2023-02-21,0,0.0
2023-02-22,0,0.0
2023-02-23,0,0.0
2023-02-24,0,0.0
2023-02-25,0,0.0
2023-02-26,0,0.0
2023-02-27,0,0.0
2023-02-28,0,0.0
2023-03-01,0,0.0
2023-03-02,2,744.0
2023-03-03,0,0.0
2023-03-04,0,0.0
2023-03-05,2,744.0
2023-03-06,5,744.0
2023-03-07,1,744.0
2023-03-08,0,0.0
2023-03-09,0,0.0
2023-03-10,0,0.0
2023-03-11,0,0.0
2023-03-12,1,744.0
2023-03-13,0,0.0
2023-03-14,0,0.0
2023-03-15,0,0.0
2023-03-16,0,0.0
2023-03-17,0,0.0
2023-03-18,1,744.0
2023-03-19,1,744.0
2023-03-20,0,0.0
2023-03-21,0,0.0
2023-03-22,0,0.0
2023-03-23,2,744.0
2023-03-24,1,744.0
2023-03-25,2,744.0
2023-03-26,2,744.0
2023-03-27,2,744.0
2023-03-28,2,744.0
2023-03-29,4,744.0
2023-03-30,3,744.0
2023-03-31,6,1674.0
2023-04-01,0,0.0
2023-04-02,2,744.0
2023-04-03,6,744.0
2023-04-04,6,744.0
2023-04-05,1,744.0
2023-04-06,2,744.0
2023-04-07,3,744.0
2023-04-08,1,744.0
2023-04-09,3,744.0
2023-04-10,2,744.0
2023-04-11,4,744.0
2023-04-12,4,744.0
2023-04-13,2,744.0
2023-04-14,0,0.0
2023-04-15,2,744.0
2023-04-16,1,744.0
2023-04-17,2,744.0
2023-04-18,1,744.0
2023-04-19,2,744.0
2023-04-20,3,744.0
2023-04-21,0,0.0
2023-04-22,5,744.0
2023-04-23,3,744.0
2023-04-24,4,992.0
2023-04-25,2,744.0
2023-04-26,3,744.0
2023-04-27,2,744.0
2023-04-28,3,744.0
2023-04-29,3,744.0
2023-04-30,4,744.0
2023-05-01,5,744.0
2023-05-02,6,744.0
2023-05-03,6,744.0
2023-05-04,7,744.0
2023-05-05,2,744.0
2023-05-06,4,744.0
2023-05-07,3,744.0
2023-05-08,4,744.0
2023-05-09,3,744.0
2023-05-10,3,744.0
2023-05-11,3,744.0
2023-05-12,6,744.0
2023-05-13,3,744.0
2023-05-14,6,744.0
2023-05-15,6,744.0
2023-05-16,3,744.0
2023-05-17,2,744.0
2023-05-18,3,744.0
2023-05-19,4,744.0
2023-05-20,5,744.0
2023-05-21,2,744.0
2023-05-22,5,744.0
2023-05-23,6,744.0
2023-05-24,4,744.0
2023-05-25,2,744.0
2023-05-26,3,744.0
2023-05-27,5,744.0
2023-05-28,6,744.0
2023-05-29,3,744.0
2023-05-30,2,744.0
2023-05-31,6,744.0
2023-06-01,7,744.0
2023-06-02,1,744.0
2023-06-03,3,744.0
2023-06-04,3,744.0
2023-06-05,5,744.0
2023-06-06,0,0.0
2023-06-07,0,0.0
2023-06-08,0,0.0
2023-06-09,0,0.0
2023-06-10,0,0.0
2023-06-11,0,0.0
2023-06-12,0,0.0
2023-06-13,0,0.0
2023-06-14,0,0.0
2023-06-15,0,0.0
2023-06-16,0,0.0
2023-06-17,0,0.0
2023-06-18,0,0.0
2023-06-19,0,0.0
2023-06-20,0,0.0
2023-06-21,0,0.0
2023-06-22,0,0.0
2023-06-23,0,0.0
2023-06-24,0,0.0
2023-06-25,0,0.0
2023-06-26,0,0.0
2023-06-27,0,0.0
2023-06-28,0,0.0
2023-06-29,0,0.0
2023-06-30,0,0.0
2023-07-01,0,0.0
2023-07-02,0,0.0
2023-07-03,0,0.0
2023-07-04,0,0.0
2023-07-05,0,0.0
2023-07-06,0,0.0
2023-07-07,0,0.0
2023-07-08,0,0.0
2023-07-09,0,0.0
2023-07-10,0,0.0
2023-07-11,0,0.0
2023-07-12,0,0.0
2023-07-13,0,0.0
2023-07-14,0,0.0
2023-07-15,0,0.0
2023-07-16,0,0.0
2023-07-17,0,0.0
2023-07-18,0,0.0
2023-07-19,0,0.0
2023-07-20,0,0.0
2023-07-21,0,0.0
2023-07-22,0,0.0
2023-07-23,0,0.0
2023-07-24,0,0.0
2023-07-25,0,0.0
2023-07-26,0,0.0
2023-07-27,0,0.0
2023-07-28,0,0.0
2023-07-29,0,0.0
2023-07-30,0,0.0
2023-07-31,0,0.0
2023-08-01,0,0.0
2023-08-02,0,0.0
2023-08-03,0,0.0
2023-08-04,0,0.0
2023-09-04,0,0.0
2023-09-05,0,0.0
2023-09-06,0,0.0
2023-09-07,0,0.0
2023-09-08,0,0.0
2023-09-09,0,0.0
2023-09-10,0,0.0
2023-12-07,0,0.0
2023-12-09,0,0.0
2023-12-10,0,0.0
2023-12-24,0,0.0
2023-12-30,0,0.0
