date,units,unit_price
2023-06-21,0,0.0
2023-06-22,0,0.0
2023-06-23,0,0.0
2023-06-24,0,0.0
2023-06-25,0,0.0
2023-06-26,0,0.0
2023-06-27,0,0.0
2023-06-28,0,0.0
2023-06-29,0,0.0
2023-06-30,0,0.0
2023-07-01,1,309.588
2023-07-02,0,0.0
2023-07-03,0,0.0
2023-07-04,0,0.0
2023-07-05,0,0.0
2023-07-06,1,309.588
2023-07-07,0,0.0
2023-07-08,1,309.588
2023-07-09,0,0.0
2023-07-10,0,0.0
2023-07-11,2,309.588
2023-07-12,3,309.588
2023-07-13,0,0.0
2023-07-14,0,0.0
2023-07-15,0,0.0
2023-07-16,0,0.0
2023-07-17,0,0.0
2023-07-18,0,0.0
2023-07-19,0,0.0
2023-07-20,0,0.0
2023-07-21,0,0.0
2023-07-22,0,0.0
2023-07-23,0,0.0
2023-07-24,0,0.0
2023-07-25,0,0.0
2023-07-26,0,0.0
2023-07-27,1,309.588
2023-07-28,0,0.0
2023-07-29,1,309.588
2023-07-30,0,0.0
2023-07-31,0,0.0
2023-08-01,0,0.0
2023-08-02,0,0.0
2023-08-03,2,309.588
2023-08-04,0,0.0
2023-08-05,1,309.588
2023-08-06,1,309.588
2023-08-07,0,0.0
2023-08-08,1,309.588
2023-08-09,0,0.0
2023-08-10,0,0.0
2023-08-11,0,0.0
2023-08-12,0,0.0
2023-08-13,0,0.0
2023-08-14,0,0.0
2023-08-15,0,0.0
2023-08-16,0,0.0
2023-08-17,0,0.0
2023-08-18,0,0.0
2023-08-19,0,0.0
2023-08-20,1,309.588
2023-08-21,0,0.0
2023-08-22,0,0.0
2023-08-23,0,0.0
2023-08-24,0,0.0
2023-08-25,0,0.0
2023-08-26,1,309.588
2023-08-27,2,309.588
2023-08-28,0,0.0
2023-08-29,0,0.0
2023-08-30,1,309.588
2023-08-31,0,0.0
2023-09-01,0,0.0
2023-09-02,0,0.0
2023-09-03,0,0.0
2023-09-04,1,309.588
2023-09-05,0,0.0
2023-09-06,2,309.588
2023-09-07,0,0.0
