date,units,unit_price
2024-01-12,1,76.315
2024-01-13,1,76.315
2024-01-14,2,76.315
2024-01-15,1,76.315
2024-01-16,1,76.315
2024-01-17,2,76.315
2024-01-18,1,76.315
2024-01-19,1,76.315
2024-01-20,1,76.315
2024-01-22,0,0.0
2024-01-24,0,0.0
2024-01-25,174,76.315
2024-01-26,74,76.315
2024-01-27,0,0.0
2024-01-28,106,76.315
2024-01-29,78,76.315
2024-01-30,16,76.315
2024-01-31,0,0.0
2024-02-01,0,0.0
2024-02-02,1,76.315
2024-02-03,135,76.315
2024-02-04,1,76.315
2024-02-05,0,0.0
2024-02-06,27,76.315
2024-02-07,44,76.315
2024-02-08,50,76.315
2024-02-09,26,76.315
2024-02-10,18,76.315
2024-02-11,20,76.315
2024-02-12,22,76.315
2024-02-13,37,76.315
2024-02-14,7,76.315
2024-02-15,0,0.0
2024-02-16,9,76.315
2024-02-18,0,0.0
2024-02-19,12,76.315
2024-02-20,13,76.315
2024-02-21,0,0.0
2024-02-22,36,76.315
2024-02-23,8,76.315
2024-02-24,15,76.315
2024-02-25,0,0.0
2024-02-26,1,75.45
2024-02-27,0,0.0
2024-02-28,17,76.315
2024-02-29,2,76.315
2024-03-01,1,76.315
2024-03-02,0,0.0
2024-03-03,15,76.315
2024-03-04,0,0.0
2024-03-05,6,76.315
2024-03-06,9,76.315
2024-03-07,9,76.315
2024-03-08,7,76.315
2024-03-09,5,76.315
2024-03-10,7,76.315
2024-03-11,14,76.315
2024-03-12,4,76.315
2024-03-13,1,76.315
2024-03-14,2,76.315
2024-03-15,0,0.0
2024-03-16,12,76.315
2024-03-17,6,76.315
2024-03-18,6,76.315
2024-03-19,3,76.315
2024-03-20,13,76.315
2024-03-21,0,0.0
2024-03-22,0,0.0
2024-03-23,23,76.315
2024-03-24,16,76.315
2024-03-25,18,76.315
2024-03-26,12,76.315
2024-03-27,4,76.315
2024-03-28,2,76.315
2024-03-29,2,76.315
2024-03-30,8,76.315
2024-03-31,5,76.315
2024-04-01,3,76.315
2024-04-08,0,0.0
2024-04-09,0,0.0
2024-04-10,2,76.315
2024-04-11,0,0.0
2024-04-12,1,76.315
2024-04-13,0,0.0
2024-04-14,0,0.0
2024-04-15,1,76.315
2024-04-16,0,0.0
2024-04-17,0,0.0
2024-04-18,1,76.315
2024-04-19,0,0.0
2024-04-20,0,0.0
2024-04-21,0,0.0
2024-04-22,0,0.0
2024-04-23,1,76.315
2024-04-24,1,76.315
2024-04-25,0,0.0
2024-04-26,0,0.0
2024-04-27,0,0.0
2024-04-28,0,0.0
2024-04-29,0,0.0
2024-04-30,0,0.0
2024-05-01,0,0.0
2024-05-02,1,77.18
2024-05-03,0,0.0
2024-05-04,0,0.0
2024-05-05,0,0.0
2024-05-06,0,0.0
2024-05-07,0,0.0
2024-05-08,1,76.315
2024-05-09,0,0.0
2024-05-10,1,76.315
2024-05-11,3,76.315
2024-05-12,2,76.315
2024-05-13,5,76.315
2024-05-14,5,76.315
2024-05-15,0,0.0
2024-05-16,1,76.315
2024-05-17,0,0.0
2024-05-18,1,76.315
2024-05-19,8,76.315
2024-05-20,0,0.0
2024-05-21,16,76.315
2024-05-22,33,76.315
2024-05-23,24,76.315
2024-05-24,0,0.0
2024-05-25,3,76.315
2024-05-26,10,76.315
2024-05-27,51,76.315
2024-05-28,0,0.0
2024-05-29,0,0.0
2024-05-30,24,76.315
