date,units,unit_price
2024-01-24,0,0.0
2024-01-25,2,97.99
2024-01-26,1,97.99
2024-01-27,2,97.99
2024-01-28,0,0.0
2024-01-29,0,0.0
2024-01-30,5,97.99
2024-01-31,1,97.99
2024-02-01,3,97.99
2024-02-02,0,0.0
2024-02-03,78,97.99
2024-02-04,2,97.99
2024-02-05,70,97.99
2024-02-06,40,97.99
2024-02-07,12,97.99
2024-02-08,13,97.99
2024-02-09,0,0.0
2024-02-10,1,97.99
2024-02-11,0,0.0
2024-02-12,0,0.0
2024-02-13,0,0.0
2024-02-14,1,97.99
2024-02-18,1,97.99
2024-02-19,0,0.0
2024-02-20,0,0.0
2024-02-21,1,97.99
2024-02-22,0,0.0
2024-02-23,1,97.99
2024-02-24,0,0.0
2024-02-25,0,0.0
2024-02-26,0,0.0
2024-02-27,1,97.99
2024-02-28,0,0.0
2024-02-29,1,97.99
2024-03-01,0,0.0
2024-03-02,0,0.0
2024-03-03,0,0.0
2024-03-04,0,0.0
2024-03-05,1,102.0
2024-03-06,0,0.0
2024-03-07,0,0.0
2024-03-08,1,97.99
2024-03-09,8,97.99
2024-03-10,3,97.99
2024-03-11,0,0.0
2024-03-12,1,97.99
2024-03-13,1,97.99
2024-03-14,0,0.0
2024-03-15,0,0.0
2024-03-16,2,97.99
2024-03-17,1,97.99
2024-03-18,1,97.99
2024-03-19,1,97.99
2024-03-20,0,0.0
2024-03-21,0,0.0
2024-03-22,0,0.0
2024-03-23,5,97.99
2024-03-24,0,0.0
2024-03-25,1,97.99
2024-03-26,0,0.0
2024-03-27,0,0.0
2024-03-28,0,0.0
2024-03-29,0,0.0
2024-03-30,5,97.99
2024-03-31,1,97.99
2024-04-01,0,0.0
2024-04-07,0,0.0
2024-04-08,1,97.99
2024-04-09,0,0.0
2024-04-10,0,0.0
2024-04-11,0,0.0
2024-04-12,0,0.0
2024-04-13,0,0.0
2024-04-14,1,97.99
2024-04-15,0,0.0
2024-04-16,0,0.0
2024-04-17,0,0.0
2024-04-18,0,0.0
2024-04-19,0,0.0
2024-04-20,1,97.99
2024-04-21,0,0.0
2024-04-22,4,97.99
2024-04-23,1,97.99
2024-04-24,2,97.99
2024-04-25,3,97.99
2024-04-26,1,97.99
2024-04-27,0,0.0
2024-04-28,0,0.0
2024-04-29,0,0.0
2024-04-30,1,97.99
2024-05-01,1,97.99
2024-05-02,1,97.99
2024-05-03,1,96.55
2024-05-04,1,97.99
2024-05-05,1,97.99
2024-05-06,0,0.0
2024-05-07,0,0.0
2024-05-08,0,0.0
2024-05-09,0,0.0
2024-05-10,1,97.99
2024-05-11,1,97.99
2024-05-12,1,97.99
2024-05-13,0,0.0
2024-05-14,0,0.0
2024-05-15,0,0.0
2024-05-16,0,0.0
2024-05-17,0,0.0
2024-05-18,0,0.0
2024-05-19,0,0.0
2024-05-20,0,0.0
2024-05-21,1,97.99
2024-05-22,1,97.99
2024-05-23,0,0.0
2024-05-24,6,97.99
2024-05-25,0,0.0
2024-05-26,0,0.0
2024-05-27,4,97.99
2024-05-28,0,0.0
2024-05-29,0,0.0
2024-05-30,1,97.99
